Probe Set	Accession	Gene Symbol	FC:(Tlob/ normal lobular)	pfp	Increase	Decrease
204455_at	NM_001723	DST	-22,1729	0	0	5
209351_at	BC002690	KRT14	-21,8818	0	0	5
229947_at	AI088609	PI15	-18,5185	0	0	5
204712_at	NM_007191	WIF1	-17,8571	0	0	4
201820_at	NM_000424	KRT5	-11,2613	0	0	5
209292_at	AL022726	ID4	-10,7991	0	0	5
202833_s_at	NM_000295	SERPINA1	-10,2987	0	0	4
214087_s_at	BF593509	MYBPC1	-10,0705	0	0	4
205157_s_at	NM_000422	KRT17	-9,90099	0	0	5
227742_at	AI638295	CLIC6	-9,34579	0	0	5
209301_at	M36532	CA2	-9,19118	0	0	4
243140_at	AI917901	ACTA2	-8,69565	0	0	5
211429_s_at	AF119873	SERPINA1	-8,63558	0	0	4
202037_s_at	NM_003012	SFRP1	-8,47458	0	0	4
212730_at	AK026420	DMN	-7,20981	0,0033	0	5
202342_s_at	NM_015271	TRIM2	-7,11238	0,0033	0	5
206509_at	NM_002652	PIP	-7,01262	0,0025	0	4
212236_x_at	Z19574	KRT17	-6,98812	0,0035	0	5
203951_at	NM_001299	CNN1	-6,93481	0,0037	0	5
229357_at	BF060767	ADAMTS5	-6,64011	0,0081	1	4
204734_at	NM_002275	KRT15	-6,36132	0,0039	0	4
201131_s_at	NM_004360	CDH1	-6,2461	0,0036	0	4
205044_at	NM_014211	GABRP	-6,16523	0,0032	1	4
224823_at	AA526844	MYLK	-5,94884	0,0117	0	4
242374_at	AA747563	HIAT1	-5,90319	0,0135	0	4
225817_at	AB051536	CGNL1	-5,88235	0,0139	0	4
220625_s_at	AF115403	ELF5	-5,87889	0,0061	0	5
205358_at	NM_000826	GRIA2	-5,7241	0,0024	1	4
205413_at	NM_001584	MPPED2	-5,59284	0,0116	0	4
206825_at	NM_000916	OXTR	-5,46448	0,0142	0	5
226147_s_at	AA838075	PIGR	-5,39665	0,0136	0	4
203881_s_at	NM_004010	DMD	-5,35045	0,0113	0	4
223412_at	AL136782	KBTBD7	-5,25486	0,0148	0	4
221795_at	AI346341	NTRK2	-5,10986	0,022	0	5
203438_at	AI435828	STC2	-5,0226	0,0135	0	4
215300_s_at	AK022172	FMO5	-4,93583	0,0322	0	4
1557286_at	AK001007	---	-4,89476	0,0187	0	4
221530_s_at	BE857425	BHLHB3	-4,84262	0,0218	0	5
227194_at	BF106962	FAM3B	-4,82393	0,0133	0	4
201983_s_at	AW157070	EGFR	-4,7824	0,0322	0	5
209270_at	L25541	LAMB3	-4,76417	0,0219	0	5
226753_at	AW138704	FAM76B	-4,71921	0,0402	0	4
227314_at	N95414	ITGA2	-4,69484	0,0324	0	4
218247_s_at	NM_016626	RKHD2	-4,66636	0,0365	0	4
209170_s_at	AF016004	GPM6B	-4,65333	0,0348	0	4
220324_at	NM_024882	C6orf155	-4,55373	0,0366	0	4
1565162_s_at	D16947	MGST1	-4,52694	0,0169	0	4
216918_s_at	AL096710	DST	-4,49236	0,0319	0	5
232528_at	AI338705	UBE2E3	-4,48632	0,0432	1	4
228554_at	AL137566	---	-4,48229	0,0329	0	5
227627_at	AV690866	SGK3	-4,47628	0,0321	0	4
229596_at	AW271617	MGC35366	-4,46828	0,0449	1	4
225297_at	AV715391	CCDC5	-4,4287	0,0329	0	4
203075_at	AW151617	SMAD2	-4,37828	0,0405	0	4
242865_at	AI332638	NPTN	-4,3573	0,0493	1	4
241060_x_at	H37807	TSPAN5	-4,33088	0,0325	0	4
209555_s_at	M98399	CD36	-4,32526	0,0132	1	4
220230_s_at	NM_016229	CYB5R2	-4,32152	0,0318	0	4
230061_at	AW338625	TM4SF18	-4,29738	0,0364	1	4
204004_at	AI336206	PAWR	-4,28449	0,0291	0	4
205380_at	NM_002614	PDZK1	-4,22119	0,0112	0	4
225645_at	AI763378	EHF	-4,17188	0,0364	0	4
226671_at	AI150000	---	-4,1425	0,0669	0	4
213375_s_at	N80918	CG018	-4,13907	0,0708	0	4
226493_at	AI627249	KCTD18	-4,12882	0,057	0	5
217744_s_at	NM_022121	PERP	-4,12371	0,0325	1	4
221958_s_at	AA775681	C1orf139	-4,11692	0,0579	1	4
219850_s_at	NM_012153	EHF	-4,095	0,0238	0	4
220038_at	NM_013257	SGK3	-4,08497	0,017	0	4
207938_at	NM_015886	PI15	-4,07498	0,0329	0	4
222035_s_at	AI984479	PAPOLA	-4,07	0,065	1	4
209512_at	BC004331	HSDL2	-4,06835	0,0657	0	4
205073_at	NM_000775	CYP2J2	-4,05351	0,057	0	4
202504_at	NM_012101	TRIM29	-4,03063	0,0364	0	5
200974_at	NM_001613	ACTA2	-4,00641	0,0567	0	5
201496_x_at	S67238	MYH11	-4,00641	0,0745	0	4
227702_at	AA557324	CYP4X1	-4	0,0327	0	4
1565666_s_at	AW864944	MUC6	-3,9984	0,019	0	4
204485_s_at	NM_005486	TOM1L1	-3,98089	0,0488	0	4
241387_at	AW276701	PTK2	-3,96197	0,0683	0	4
