Gene title	GenBank Accession #	Fold change a	Function
Insulin-induced gene 1	NM_005542	-2.50.4	Cholesterol biosynthesis
HMG-CoA reductase	NM_000859	-1.51.1	Cholesterol biosynthesis
Mevalonate kinase	NM_000431	-1.61.7	Cholesterol biosynthesis
Mevalonate pyrophosphate decarboxylase	NM_002461	-1.71.3	Cholesterol biosynthesis
7-Dehydrocholesterol reductase	NM_001360	-1.61.1	Cholesterol biosynthesis
Isopentenyl pyrophosphate isomerase	NM_004508	-1.51.3	Cholesterol biosynthesis
KIT ligand	NM_000899	4.21.4	Ras/Erk signaling
ELK1	NM_005229	1.81.2	Ras/Erk signaling
Stat-3	NM_003150	1.81.5	Ras/Erk signaling
Shc	NM_003029	1.71.3	Ras/Erk signaling
Estrogen receptor	NM_000125	1.61.2	Ras/Erk signaling
c-Kit	NM_000222	1.51.6	Ras/Erk signaling
Caveolin 1	NM_001753	-4.12.2	Ras/Erk signaling
Caveolin 2	NM_001233	-2.21.7	Ras/Erk signaling
PPAR-gamma	NM_005037	-1.71.4	Ras/Erk signaling
