Gene name	Accession No
Bik	X89986
Caspase-8	U60520
JunB	X51345
AP-ß	X95694
AP-gamma	X95693
Erg-1	M21535
GLI-3	M57609
IkappaBalpha	M69043
IRF-2	X15949
N-Myc	M13228
Per2	AB002345
Pax5	M96944
LXRalpha	U22662
RXRgamma	U38480
RAC3	AF010227
PPARgamma	L40904
MCR	M16801
MEK-5	U25265
MEK kinase-2	AF111105
Raf-1	X03484
Raf-B	M95712
KKIAMRE	U35146
Rhotekin	AI970663
IKKalpha	AF080157
JAK1	M64174
MuSK	AF006464
TGFß2	M19154
GDF-8	AF019627
Inhibin alpha	M13981
FGF-1	X51943
FGF-5	M37825
FGF-6	X63454
HGF ß chain	E08541
IGF-BP3	M35878
TNFß	D12614
IL2	U25676
IL10	M57627
IL15	AF031167
IL18	D49950
SCF	M59964
MCP-2	Y16645
MCP-3	X72308
Neurophysin II	X03172
Delta	AF003522
Angiotensinogen	K02215
Gonadotropin alpha peptide	V00518
Somatostatin	J00306
VIP	M36634
Gastrin	V00511
IP10	X02530
MIP-3alpha	U77035
EphA5	L36644
EphB6	D83492
Insulin receptor	M10051
MC1-R	X67594
MC4-R	L08603
ß2-AR	M15169
FRP-3	U24163
Notch 2	AF097645
Thrombin R	M62424
IFNgammaR2	U05875
IL2Rgamma	D11086
IL15Ralpha	U31628
c-Kit	X06182
CXCR-4	AF025375
Slap	D89077
Shb	X75342
Sos1	L13858
Dbl	J03639
Ral GDS	U14417
RGS4	U27768
PI4-Kalpha	AJ011121
FRP1	U49844
Sam68	M88108
PPP1CA	X70848
CD45	Y00062
p120	AF062343
Ref-1	D90373
HSP60	M34664
HSP90ß	M16660
GRP94	X15187
HSP105ß	AB003333
MMP3	J03209
TACE	U86755
Cathepsin G	M16117
Pin1	U49070
Calpastatin	U26724
Moesin	M69066
Radixin	L02320
LAT	AF036905
Fyb	AF001862
Furin	X17094
PAI-2	M16006
CD3gamma	X04145
CD3xi	X03884
CD3zeta	J04132
CD8ß 1	X13444
CD5	X04391
CD72	M54992
CD6	X60992
CD7	X06180
CD20	X12530
CD27	M63928
CD28	J02988
CD35	Y00816
CD38	M34461
CD40L	L07414
CD42a	X52997
CD43	J04168
CD46 BC1	M58050
CD59	X16447
CD69	L07555
CD74	X03339
TCR?	U36759
TCRß	L07294
TCR?	Y00790
CD138	J05392
ICAM3	X69819
