Accession	Correl	Gene name	Function	Correlation
N52651	0.62	EST	Unknown	Positive
AA022679	0.61	EST	Unknown	Positive
H68885	0.58	TSSC3 (tumor supp. subtrans. cand 3)	Apoptosis	Positive
R93069	0.58	EST	Unknown	Positive
N26536	0.57	ATPase, Cu2+ transporting, � polypeptide	Ion channels	Positive
N36174	0.57	5-Hydroxytryptamine (serotonin) receptor 2B	G-protein signaling	Positive
AA621761	0.56	EST	Unknown	Positive
AA456595	0.54	EST	Unknown	Positive
W94295	0.53	EST	Unknown	Positive
T58775	0.53	Chemokine (C-C motif) ligand 16	Chemotaxis	Positive
AA702640	0.53	Dopa decarboxylase	Amino acid bioch.	Positive
AA449289	0.53	Smoothelin	Cytoskeleton	Positive
AA022601	0.52	EST	Unknown	Positive
H51438	0.51	EST	Unknown	Positive
R35051	0.51	alpha-Methylacyl-CoA racemase	Lipid biology	Positive
N20968	0.50	EST	Unknown	Positive
AA989217	0.50	Ca2+-promoted Ras inactivator	Unknown	Positive
AA401883	0.50	Sialidase 1 (lysosomal sialidase)	Glycoprotein modif.	Positive
N20072	0.50	Ribose 5-phosphate isomerase A	Pentose phos. path	Positive
H63865	0.49	EST	Unknown	Positive
AA457485	0.49	EST	Unknown	Positive
AA677706	0.49	Lactotransferrin	Endopeptidase	Positive
R70888	0.49	EST	Unknown	Positive
W04706	0.49	EST	Unknown	Positive
N90783	0.49	Purinergic receptor (family A group 5)	Unknown	Positive
AA427782	0.49	Cation-chloride cotransporter-interacting protein	Ion channels	Positive
AA136666	0.49	EST	Unknown	Positive
N92048	0.48	EST	Unknown	Positive
AA677403	0.48	Glycoprotein hormones, alpha polypeptide	Cell-cell signaling	Positive
R35892	0.48	EST	Unknown	Positive
N73301	0.48	EST	Unknown	Positive
AA453994	0.47	EST	Unknown	Positive
AA133167	0.47	EST	Unknown	Positive
T95262	0.46	Translocation protein 1	Memb. targeting	Positive
W56760	0.46	EST	Unknown	Positive
AA431429	0.46	EST	Unknown	Positive
AA149287	0.46	EST	Unknown	Positive
N50904	0.46	EST	Unknown	Positive
W87826	0.46	EST	Unknown	Positive
W92233	0.46	EST	Unknown	Positive
W51795	0.46	Heat shock 27-kDa protein 2	Heat shock resp.	Positive
H59559	0.46	EST	Unknown	Positive
R28303	0.46	EST	Unknown	Positive
T98717	0.46	EST	Unknown	Positive
W89074	0.45	EST	Unknown	Positive
W02624	0.45	EST	Unknown	Positive
AA496002	0.45	EST	Unknown	Positive
T51024	0.45	Diphosphate dimethylallyl diphosph. isomerase 2	Unknown	Positive
H52673	0.45	Bak	Apoptosis	Positive
AA682399	0.45	Angiogenin, ribonuclease, RNase A family, 5	RNA processing	Positive
AA701545	0.45	Ribonuclease, RNase A family, k6	RNA processing	Positive
N70057	0.45	Leukocyte-specific transcript 1	Defense/immunity	Positive
W47387	0.45	EST	Unknown	Positive
AA404479	0.45	Mitogen-activated protein kinase 14	Signal trans/stress	Positive
AA011598	0.44	EST	Unknown	Positive
N63032	0.44	EST	Unknown	Positive
AA147202	0.44	A kinase (PRKA) anchor protein 13	Signal transduction	Positive
AA464708	0.44	Eukaryotic translation initiation factor 2, subunit 3	Protein synthesis	Positive
N51226	0.43	EST	Unknown	Positive
T51539	0.43	EST	Unknown	Positive
W85876	0.43	EST	Unknown	Positive
H42894	0.43	EST	Unknown	Positive
AA453273	0.43	U6 snRNA-associated Sm-like protein	RNA process/splice	Positive
H87770	0.43	EST	Unknown	Positive
W61361	0.43	SERPINB8	Protease inhibitor	Positive
R64190	0.43	Arginyl aminopeptidase	Protein modification	Positive
T50788	0.43	UDP glycosyltransferase 2 family, polypep. B15	Xenobiotic metab.	Positive
T55337	0.43	EST	Unknown	Positive
AA490680	0.42	Transcobalamin II; macrocytic anemia	Vitamin transport	Positive
AA460950	0.42	SMARCAL1	Transcription	Positive
R95893	0.42	EST	Unknown	Positive
T82948	0.42	EST	Unknown	Positive
W47158	0.42	Engulfment and cell motility 2	Unknown	Positive
AA676234	0.42	EST	Unknown	Positive
N64840	0.42	Folate hydrolase	Folate uptake	Positive
AA975384	0.42	KCNA5	Ion channels	Positive
AA131466	0.42	EST	Unknown	Positive
R08261	0.42	EST	Unknown	Positive
W72227	0.42	EST	Unknown	Positive
W88801	0.42	EST	Unknown	Positive
AA598836	0.42	Cullin 4A	Tumor suppressor	Positive
R52797	0.42	Hepatocyte growth factor	Growth factor	Positive
AA476263	0.42	Phosphorylase kinase �	Glycogen metab.	Positive
AA453288	0.42	EST	Unknown	Positive
AA454584	0.41	EST	Unknown	Positive
AA136699	0.41	EST	Unknown	Positive
AA454691	0.41	Trinucleotide repeat containing 5	Unknown	Positive
AA009671	0.41	EST	Unknown	Positive
T57540	0.41	EST	Unknown	Positive
AA486790	0.41	Cullin 1	Tumor suppressor	Positive
AA490263	0.41	NIMA-related kinase 3	Cell proliferation	Positive
W93482	0.41	EST	Unknown	Positive
T60109	0.41	RAB40B, member RAS oncogene family	Unknown	Positive
T95815	0.41	EST	Unknown	Positive
AA455301	0.41	GPAA1P anchor attachment protein 1 homolog	Protein modification	Positive
AA157499	0.41	Mitogen-activated protein kinase 13	Sig trans/stress	Positive
T53022	0.41	EST	Unknown	Positive
H01039	0.40	EST	Unknown	Positive
AA702544	0.40	EST	Unknown	Positive
R98070	0.40	EST	Unknown	Positive
AA680300	0.40	Dipeptidylpeptidase 7	Peptidase	Positive
R09890	0.40	EST	Unknown	Positive
AA054421	0.40	Tripartite motif-containing 31	Unknown	Positive
AA256386	0.40	START domain containing 13	Unknown	Positive
H99394	0.40	EST	Unknown	Positive
H77714	0.40	EST	Unknown	Positive
AA004321	0.40	EST	Unknown	Positive
R52934	0.40	EST	Unknown	Positive
AA486275	0.40	Ser/Cyst prot. inhib. clade B, memb. 1	Protease Inhib.	Positive
AA620755	0.40	EST	Unknown	Positive
AA142943	0.40	Downstream of tyrosine kinase 1	Signal transduction	Positive
N70632	0.40	Alcohol dehydrogenase 8	Redox regulation	Positive
T51895	0.40	EphB4	Memb. Prot.	Positive
AA022935	0.40	EST	Unknown	Positive
AA024866	0.40	EST	Unknown	Positive
W81196	0.40	CDC42 effector protein (Rho GTPase binding) 2	Unknown	Positive
AA029703	0.39	EST	Unknown	Positive
N72128	0.39	ESTa	Unknown	Positive
N57872	0.39	Alanine-glyoxylate aminotransferase	Amino acid bioch.	Positive
AA872397	0.39	Lectin, galactoside-binding, soluble, 2	Sugar binding	Positive
N72116	0.39	Solute carrier family 11, member 2	Transport	Positive
AA610111	0.39	EST	Unknown	Positive
AA448094	0.39	EST	Kinase	Positive
H99479	0.39	Sec23-interacting protein p125	Protein transport	Positive
R89765	0.39	EST	Unknown	Positive
W92045	0.38	EST	Unknown	Positive
AA458533	0.38	Forkhead box J1	Transcription	Positive
T95234	0.38	EST	Unknown	Positive
AA005115	0.38	EST	Unknown	Positive
AA490300	0.38	PDGFA-associated protein 1	Cell proliferation	Positive
AA872379	0.38	SMT3 suppressor of mif two 3 homolog 1	C�some seg/repair	Positive
H61059	0.38	EST	Unknown	Positive
AA521015	0.38	EST	Unknown	Positive
