Gene name	Accession no.	Symbol	Ratio (mean ± SD, or range)	Function
GATA-binding protein 3	H72474	GATA3	0.32 ± 0.02	Transcription factors/nuclear proteins
Amplified in breast cancer (AIB1) [steroid receptor coactivator 3 (SRC3)]1	H52110	AIB1	0.38 ± 0.09	Transcription factors/nuclear proteins
DNA-binding protein NEFA precursor (nucleobindin 2)1	AA485214	NUCB2	0.44 ± 0.03	Transcription factors/nuclear proteins
Pre-B cell leukemia transcription factor 11	AA403031	PBX1	0.51 ± 0.04	Transcription factors/nuclear proteins
Heat shock protein HSP90-alpha (HSP90A)1	H88504	HSPCA	0.25 ± 0.06	Stress response: oxidative stress/xenobiotic response/detoxification
Probable trans-1,2-dihydrobenzene-1,2-diol dehydrogenase	AA916325	DHDH	0.41 ± 0.13	Stress response: oxidative stress/xenobiotic response/detoxification
Ubiquinol-cytochrome c reductase complex subunit IV requiring protein	T67270	NA	0.42 ± 0.03	Stress response: oxidative stress/xenobiotic response/detoxification
RAG (recombination activating gene) cohort 1	AA676460	RCH1	0.43 ± 0.04	Stress response: oxidative stress/xenobiotic response/detoxification
Nuclear mitotic apparatus protein 1 (NuMA)	AA598659	NUMA1	0.39 ± 0.18	Cell cycle and DNA replication/repair/metabolism
Similar to group IIC secretory phospholipase A2 precursor	R91516	LOC391013	0.35 ± 0.27	Signal transduction
14-3-3 theta (similar to 14-3-3 tau)	N21624	NA	0.37 ± 0.11	Signal transduction
Protein kinase, cAMP-dependent, regulatory, type I, alpha	AA630507	PRKAR1A	0.45 ± 0.10	Signal transduction
Protein phosphatase 1, catalytic subunit, gamma isoform	A1015359	PPP1CC	0.47 ± 0.11	Signal transduction
Phosphoglycerate kinase 1	AA599187	PGK1	0.33 ± 0.02	Biosynthesis and metabolism
L-kynurenine hydrolase1	H87471	KYNU	0.38 ± 0.07	Biosynthesis and metabolism
NAD+-specific isocitrate dehydrogenase gamma subunit precursor	AA459380	IDH3G	0.42 ± 0.01	Biosynthesis and metabolism
Monoamine oxidase A1	AA011096	MAOA	0.44 ± 0.11	Biosynthesis and metabolism
Patched homolog (receptor for sonic hedgehog)	AA169807	PTCH	0.45 ± 0.09	Ligands and receptors
KIAA0045 (thyroid hormone receptor interactor 12)	AA700390	TRIP12	0.48 ± 0.07	Ligands and receptors
Kinectin 1 (kinesin receptor)1	AA459106	KTN1	0.67 ± 0.05	Ligands and receptors
alphaTubulin (clone ch13lambda7)	H23366	NA	0.28 ± 0.08	Cell adhesion/cytoskeleton/cell structure/organelles
Thrombospondin 11	NM_003246	THBS1	0.35 ± 0.02	Cell adhesion/cytoskeleton/cell structure/organelles
Laminin, ß2 (laminin S)	AA156802	LAMB2	0.41 ± 0.24	Cell adhesion/cytoskeleton/cell structure/organelles
Laminin, gamma11	H24650	LAMC1	0.42 ± 0.23	Cell adhesion/cytoskeleton/cell structure/organelles
Vascular cell adhesion molecule 1	H07071	VCAM1	0.42 ± 0.22	Cell adhesion/cytoskeleton/cell structure/organelles
Membrane-associated protein (HEM-1)1	AA668726	HEM1	0.32 ± 0.08	Membrane proteins/transport/ion channels/trafficking
Placental protein Diff33 (tumor differentiatially expressed 1) (transmembrane)	H23366	TDE1	0.40 ± 0.13	Membrane proteins/transport/ion channels/trafficking
ADP-ribosylation factor 4 (vesicular trafficking)	AH008182	ARF4	0.42 ± 0.01	Membrane proteins/transport/ion channels/trafficking
Importin-alpha homolog (SRP1 gamma)	AA668178	SRP1G	0.45 ± 0.03	Membrane proteins/transport/ion channels/trafficking
Ukatp-1 (Potassion ion channel, inwardly rectifying)1	AA036956	KCNJ8	0.58 ± 0.12	Membrane proteins/transport/ion channels/trafficking
Peripheral myelin protein 221	R26960	PMP22	0.25 ± 0.05	Differentiation/development/tissue-specific expression
SM22-alpha homolog (transgelin 2)	H08564	TAGLN2	0.39 ± 0.01	Differentiation/development/tissue-specific expression
Carcinoembryonic antigen precursor1	AA130584	CEA	0.44 ± 0.10	Differentiation/development/tissue-specific expression
Nonspecific cross reacting antigen1	AA054073	NCA	0.27 ± 0.08	Immune response/inflammation/antiviral responses
Interferon-induced 17-kDa protein (also called ISG15)1	AA406020	GIP2	0.34 ± 0.07	Immune response/inflammation/antiviral responses
P68 protein [annexin VI (p68)]	H27564	ANX6	0.38 ± 0.12	Immune response/inflammation/antiviral responses
Aryl hydrocarbon receptor-interacting protein (ARA9)	AA455316	AIP	0.44 ± 0.02	Immune response/inflammation/antiviral responses
Ubiquitin conjugating enzyme (UbcH8)1	A292074	UBE2E2A	0.41 ± 0.07	RNA and protein processing/metabolism
Eukaryotic translation initiation factor 4E	AA193254	EIF4E	0.42 ± 0.04	RNA and protein processing/metabolism
Calpain, small polypeptide	AA676484	CAPN4	0.45 ± 0.09	RNA and protein processing/metabolism
Dipeptidyldipeptidase VI1	W96197	DPP6	0.47 ± 0.16	RNA and protein processing/metabolism
Human 54-kDa protein mRNA	AA056465	NA	0.37 ± 0.07	Other: miscellaneous and unknown function
XAP-5 [DNA segment on chromosome X (unique) 9928 expressed sequence]1	AI005515	DXS9928E	0.41 ± 0.07	Other: miscellaneous and unknown function
KIAA0241 (encodes protein with unknown function)	AA971406	KIAA0241	0.43 ± 0.08	Other: miscellaneous and unknown function
