Symbol	Description	LLID	GeneList
ACADSB	Acyl-Coenzyme A dehydrogenase, short/branched chain	36	Intrinsic
B3GNT5	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5	84002	Intrinsic
BF	B factor, properdin	629	Intrinsic
C5ORF18 (=DP1)	chromosome 5 open reading frame 18	7905	Intrinsic
CDK2AP1	CDK2-associated protein 1	8099	Intrinsic
COX6C	cytochrome c oxidase subunit VIc	1345	Intrinsic
CX3CL1	Chemokine (C-X3-C motif) ligand 1	6376	Intrinsic
CYB5	cytochrome b-5	1528	Intrinsic
DSC2 (ESTs)	Desmocollin 2	1824	Intrinsic
EGFR	Epidermal growth factor receptor (erythroblastic leukemia viral (v-erb-b) oncogene homolog, avian)	1956	Intrinsic
ERBB2	V-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)	2064	Intrinsic
ESR1	Estrogen receptor 1	2099	Intrinsic
FLJ14525	Hypothetical protein FLJ14525	84886	Intrinsic
FOXA1	Forkhead box A1	3169	Intrinsic
FZD7	Frizzled homolog 7 (Drosophila)	8324	Intrinsic
GARS	Glycyl-tRNA synthetase	2617	Intrinsic
GATA3	GATA binding protein 3	2625	Intrinsic
GRB7	Growth factor receptor-bound protein 7	2886	Intrinsic
GSTP1	Glutathione S-transferase pi	2950	Intrinsic
HSD17B4	hydroxysteroid (17-beta) dehydrogenase 4	3295	Intrinsic
KIAA0310	KIAA0310 gene product	9919	Intrinsic
KIT	V-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	3815	Intrinsic
KRT17	Keratin 17	3872	Intrinsic
KRT5	Keratin 5 (epidermolysis bullosa simplex, Dowling-Meara/Kobner/Weber-Cockayne types)	3852	Intrinsic
NAT1	N-acetyltransferase 1 (arylamine N-acetyltransferase)	9	Intrinsic
PGR	Progesterone receptor	5241	Intrinsic
PLOD1	procollagen-lysine 1, 2-oxoglutarate 5-dioxygenase 1	5351	Intrinsic
PTP4A2	protein tyrosine phosphatase type IVA, member 2	8073	Intrinsic
RABEP1	Rabaptin-5	9135	Intrinsic
RARRES3	retinoic acid receptor responder (tazarotene induced) 3	5920	Intrinsic
S100A11	S100 calcium binding protein A11 (calgizzarin)	6282	Intrinsic
SDC2	Syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan)	6383	Intrinsic
SLC39A6	solute carrier family 39 (zinc transporter), member 6	25800	Intrinsic
SLC7A6	Solute carrier family 7 (cationic amino acid transporter, y+ system), member 6	9057	Intrinsic
SLPI	secretory leukocyte protease inhibitor (antileukoproteinase)	6590	Intrinsic
SMA3	SMA3	10571	Intrinsic
TAP1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP	6890	Intrinsic
TRIM29	Tripartite motif-containing 29	23650	Intrinsic
XBP1	X-box binding protein 1	7494	Intrinsic
BIRC5	baculoviral IAP repeat-containing 5 (survivin)	332	Proliferation
BUB1	budding uninhibited by benzimidazoles 1 homolog (yeast)	699	Proliferation
CENPF	Centromere protein F, 350/400ka (mitosin)	1063	Proliferation
CKS2	CDC28 protein kinase regulatory subunit 2	1164	Proliferation
FAM54A (=DUFD1)	family with sequence similarity 54, member A	113115	Proliferation
GTPBP4	GTP binding protein 4	23560	Proliferation
HSPA14	heat shock 70kDa protein 14	51182	Proliferation
MKI67	Antigen identified by monoclonal antibody Ki-67	4288	Proliferation
MYBL2	v-myb myeloblastosis viral oncogene homolog (avian)-like 2	4605	Proliferation
NEK2	NIMA (never in mitosis gene a)-related kinase 2	4751	Proliferation
PCNA	Proliferating cell nuclear antigen	5111	Proliferation
STK6	serine/threonine kinase 6	6790	Proliferation
TOP2A	Topoisomerase (DNA) II alpha 170kDa	7153	Proliferation
TTK	TTK protein kinase	7272	Proliferation
