Accession no.	Gene name	Comments^a	Fold change in gene expression AS:C	Fold change in gene expression AS:L	Fold change in gene expression AS:MM
M21121	Chemokine (C-C motif) ligand 5 (CCL5)	Mediator of chemotaxis and cell adhesion	40	17.2	2.5
AA401492	GNAS complex locus (GNAS)	Transmembrane GTP binding protein, mutated in cancer	6	6.6	2
U79293	Human clone 23948 mRNA sequence	-	4.5	4.9	2.1
AF070620	Homo Sapiens clone 24694 mRNA sequence	-	3.5	2.5	2.8
Z54367	Plectin	Organizes cytoskeleton for maintaining cellular integrity	-2.6	-2	-2.7
D13989	Rho GDP dissociation inhibitor (GDI) · (ARHGDIA)	Regulates actin cytoskeleton/ cell adhesion	-2.8	-2.6	-2.1
NM_018154	Anti-silencing function 1B (ASF1B)	Histone chaperone involved in nucleo-some formation, chromatin silencing, transcription and DNA repair	-2.9	-2.5	-2.1
NM_017947	Molybdenum cofactor sulfurase (HMCS)	-	-3	-2.9	-2.2
NM_005813	Protein kinase C, nu (PRKCN)	Protein kinase C subfamily of serine/threonine kinases	-3.1	-3.3	-2.1
BE646386	Likely ortholog of mouse exocyst component protein (EXO70)	Involved in vesicular transport of proteins from Golgi apparatus to plasma membrane	-3.6	-4.5	-2.7
D86862	Paxillin (PXN)	Cytoskeletal protein involved in actin-membrane attachment at sites of cell adhesion to the extracellular matrix	-3.6	-2.9	-2.4
NM_002880	v-raf-1 murine leukemia viral oncogene homolog 1 (RAF1)	Antisense target of this study	-3.8	-3.8	-4
X61094	GM2 ganglioside activator protein (GM2A)	Metabolizes ganglioside	-4.4	-3.5	-2.1
AL513917	Solute carrier family 16 (monocarboxylic acid transporters), member 3 (SLC16A3)	Catalizes the rapid transport across the plasma membrane of carboxylates like lactate, pyruvates	-5	-3.2	-2.8
NM_001191	BCL2-like 1 (BCL2L1)	Bcl-XL - belongs to Bcl-2 family, inhibitor of apoptosis	-6.2	-3.5	-2.1
AF176039	High mobility group AT-hook 1 (HMGA1)	DNA binding protein. Involved in the transcriptional regulation of genes near the A+T rich region	-7.2	-3.2	-3.1
NM_002862	Glycogen phosphorylase, brain (PYGB)	Involved in carbohydrate metabolism. Overexpressed in tumor cells	-21.1	-24.8	-17.4
