Reporter ID	Reporter name	Score	Fold change
NM_014754	Phosphatidylserine synthase 1	4.467	5.109
NM_021200	Pleckstrin homology domain containing, family B (evectins) member 1	4.402	4.323
BM542736	Cyclin-dependent kinase 6	4.294	4.855
NM_005428	Vav 1 oncogene	4.281	4.94
NM_014763	Mitochondrial ribosomal protein L19	4.26	4.372
AK092450	MRNA (clone ICRFp507I1077)	4.095	4.381
NM_005436	Coiled-coil domain containing 6	4.028	4.225
NM_021189	Immunoglobulin superfamily, member 4B	3.924	5.298
NM_005444	RCD1 required for cell differentiation1 homolog (S. pombe)	3.917	3.399
AB051461	Leucine rich repeat containing 27	3.917	3.556
NM_014772	KIAA0427	3.908	3.266
NM_014737	Ras association (RalGDS/AF-6) domain family 2	3.878	3.306
BM556332	Chromosome 10 open reading frame 75	3.857	3.772
BM688744	RAP1A, member of RAS oncogene family	3.848	2.976
AK093645	Phospholipase A2, group IIF	3.843	3.778
NM_021212	HCF-binding transcription factor Zhangfei	3.814	3.402
AB050501	Homo sapiens AOC3 gene for vascular adhesion protein-1, exon 2	3.809	4.644
AK094585	Hypothetical protein FLJ37266	3.754	3.042
NM_014746	Ring finger protein 144	3.746	3.515
AK091150	LOC440460	3.659	3.118
NM_021062	Homo sapiens H2B histone family, member F (H2BFF), mRNA	3.623	3.404
NM_015630	Enhancer of polycomb homolog 2 (Drosophila)	3.622	3.356
AK074962	Transmembrane emp24 protein transport domain containing 7	3.587	3.467
NM_021179	Hypothetical protein LOC57821	3.54	3.386
D78576	Human DNA for 14-3–3 protein eta chain, exon1	3.519	3.197
NM_005398	Protein phosphatase 1, regulatory (inhibitor) subunit 3C	3.506	3.51
NM_006411	1-acylglycerol-3-phosphate O-acyltransferase 1 (lysophosphatidic acid acyltransferase, alpha)	3.504	3.321
BM475617	Tropomyosin 4	3.493	3.195
AB051503	Centaurin, beta 5	3.491	2.913
NM_021242	MID1 interacting protein 1 (gastrulation specific G12-like (zebrafish))	3.481	2.746
BM128045	Neurocalcin delta	3.476	3.473
AF219991	Homo sapiens intestinal N-acetylglucosamine-6-O-sulfotransferase (CHST5) and corneal N-acetylglucosamine-6-O-sulfotransferase (CHST6) genes, complete cds	3.439	3.101
AK095695	Hypothetical protein MGC21644	3.434	2.754
NM_005420	Sulfotransferase family 1E, estrogen-preferring, member 1	3.396	3.158
NM_021168	RAB40C, member RAS oncogene family	3.386	3.249
AB046847	KIAA1627 protein	3.34	3.04
NM_019843	Eukaryotic translation initiation factor 4E nuclear import factor 1	3.329	3.235
NM_004588	Sodium channel, voltage-gated, type II, beta	3.31	2.067
AL133064	Acyl-Coenzyme A binding domain containing 5	3.271	2.989
NM_021153	Cadherin 19, type 2	3.234	3.256
AB046800	Netrin-G1 ligand	3.198	2.963
NM_020421	AarF domain containing kinase 1	3.173	2.353
NM_005421	T-cell acute lymphocytic leukemia 2	3.148	2.068
BE675486	Slingshot homolog 2 (Drosophila)	3.141	4.408
NM_032320	K+ channel tetramerization protein	3.135	3.035
NM_014790	Jak and microtubule interacting protein 2	3.069	2.603
NM_004046	ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit, isoform 1, cardiac muscle	3.059	2.263
NM_025189	Zinc finger protein 430	3.033	2.382
AK094989	Zinc finger protein 585B	3.025	2.3
NM_000732	CD3D antigen, delta polypeptide (TiT3 complex)	3.021	2.338
NM_021073	Bone morphogenetic protein 5	3.016	2.71
NM_017825	ADP-ribosylhydrolase like 2	3.016	2.342
NM_003288	Tumor protein D52-like 2	3.008	2.036
AI718785	Meis1, myeloid ecotropic viral integration site 1 homolog (mouse)	-3.121	0.389
NM_005078	Transducin-like enhancer of split 3 (E(sp1) homolog, Drosophila)	-3.124	0.411
AK056323	Homo sapiens, clone IMAGE:5303499, mRNA	-3.136	0.364
NM_013302	Similar to NAD(P) dependent steroid dehydrogenase-like	-3.177	0.498
M94859	Calnexin	-3.28	0.244
