SPOT ID	Well ID	Clone IMAGE	Title	Gene	Map
1004	200900	144932	putative oral tumor suppressor protein (doc-1)	CDK2AP1	12q24.31
1005	200914	283301	KIAA0914 gene product	KIAA0914	4
1010	200924	245136	KIAA0431 protein	KIAA0431	16q24
1016	200948	138991	collagen, type VI, alpha 3	COL6A3	2q37
1053	202642	244654	elaC (E.coli) homolog 1	ELAC1	18q21
1057	202650	205049	protein kinase H11	H11	12
1084	205548	289638	ESTs		5
1087	205554	795877	serum-inducible kinase	SNK	5q12.1-q13.2
1112	207476	268778	PKA-R1 alpha=cAMP-dependent protein kinase type I-alpha-catalytic regulatory chain	PRKAR1A	17q23-q24
1114	207972	272262	ESTs, Weakly similar to JC5314 CDC28/cdc2-like kinase associating arginine-serine cyclophilin [H.sapiens]		7
1134	208048	292736	hypothetical protein	H41	3p13-q23
1143	208570	530310	KIAA0143 protein	KIAA0143	8p11.23-q23.3
1147	208578	970613	RAD21 (S. pombe) homolog	RAD21	8q24
1151	208598	50888	peroxiredoxin 3	PRDX3	10q25-q26
1158	208624	866694	butyrate-induced transcript 1	HSPC121	15
1162	208932	447786	KIAA0442 protein	KIAA0442	7
1168	208956	131268	growth factor receptor-bound protein 14	GRB14	2q22-q24
1178	208988	253009	histone deacetylase 3	HDAC3	5q31
1185	201826	783698	lipin 1	LPIN1	2p21
1204	201900	789091	H2A histone family, member L	H2AFL	6p21.3
1216	202428	297392	metallothionein 1X	MT1X	16q13
1217	202430	789069	lysyl oxidase	LOX	5q23.3-q31.2
1218	202432	782513	interferon, alpha-inducible protein (clone IFI-6-16)	G1P3	1p35
1228	202476	789049	CCAAT-box-binding transcription factor	CBF2	2p
1229	202478	207358	glucose transporter (HepG2)	SLC2A1	1p35-p31.3
1231	202482	294487	programmed cell death 4 (neoplastic transformation inhibitor)	PDCD4	10q24
124	207399	758293	likely ortholog of mouse NPC derived proline rich protein 1	FLJ10773	1q41
1318	27220	842180	cathepsin B	CTSB	8p22
