Groups	Unigene	Gene name	Day
Transcription factor and DNA binding protein	Hs.21599	Kruppel-like factor 7 (ubiquitous)	10up, 14down
Cytoskeleton related	Hs.167	Microtubule-associated protein 2	4down, 10up
ECM and cell adhesion	Hs.3314	Selenoprotein P, plasma, 1	2down, 10up
ECM and cell adhesion	Hs.287820	Fibronectin 1	5down, 10up
ECM and cell adhesion	Hs.188401	Annexin A10	2, 14down, 10up
Signaling	Hs.125790	Leuclne-rich repeal-containing 2	2, 14down, 10up
Signaling	Hs.23643	Mst3 and SOK1-related kinase	2, 14down, 10up
Signaling	Hs.274382	Protein kinase, interferon-inducible double-stranded RNA dependent	2down, 10up
Signaling	Hs.247302	Twisted gastrulation	10up, 14down
Signaling	Hs.180383	Dual specificity phosphatase 6	2, 5, 14up, 10down
Signaling	Hs.136309	SH3-domain GRB2-like endophilin B1	10up, 14down
Signaling	Hs.183858	Transcriptional intermediary factor 1	5up, 10down
Ligands	Hs.170310	Cat eye syndrome chromosome region, candidate 1	2, 14down, 10up
Metabolism	Hs.1869	Phosphoglucomutase 1	2, 14down, 10up
Metabolism	Hs.77910	3-Hydroxy-3-methylglutaryl-coenzyme A synthase 1 (soluble)	4, 14up, 10down
Metabolism	Hs.79345	Coagulation factor VIII, procoagulant component (hemophilia A)	10up, 14down
Metabolism	Hs.251871	CTP synthase	5up, 10down
Translation and protein processing	Hs.177486	Amyloid beta (A4) precursor protein (protease nexin-II, Alzheimer disease)	4up, 10down
Translation and protein processing	Hs.173125	Peptidylprolyl Isomerase F (cyclophilin F)	4up, 10down
Translation and protein processing	Hs.211539	Eukaryotic translation Initiation factor 2, subunit 3 (gamma, 52kD)	2down, 10up
RNA binding, transcription and processing	Hs.169900	Poly(A) binding protein, cytoplasmic 4 (inducible form)	2, 4up, 10down
RNA binding, transcription and processing	Hs.54780	Transcription termination factor, RNA polymerase I	2, 14down, 10up
RNA binding, transcription and processing	Hs.118194	Debranching enzyme homolog 1 (S. cerevisiae)	10up, 14down
Receptor and membrane protein	Hs.154210	Endothelial differentiation, sphingolipid G-protein-coupled receptor, 1	10up, 14down
Receptor and membrane protein	Hs.6639	G protein-coupled receptor 107	5, 6up, 10down
Receptor and membrane protein	Hs.53250	Bone morphogenetic protein receptor, type II (serine/threonine kinase)	2, 4, 14down, 10up
Receptor and membrane protein	Hs.50984	Sarcoma amplified sequence	2, 14down, 10up
Receptor and membrane protein	Hs.22180	5-Hydroxytryptamine (serotonin) receptor 6	2down, 10up
Receptor and membrane protein	Hs.5422	glycoprotein M6B	2down, 10up
Receptor and membrane protein	Hs.199067	v-erb-b2 Erythroblastic leukemia viral oncogene homolog 3 (avian)	2down, 10up
Transporter	Hs.169902	Solute carrier family 2 (facilitated glucose transporter), member 1	2, 4, 5up, 10down
Cell cycle	Hs.175043	Cyclin M4	2, 14down, 10up
