Symbol	Fold change	Accession	Synonyms
ANPEP	715.5	NM_001150.1	CD13;LAP1;PEPN;gp150
ENG	479.5	NM_000118.1	END;ORW;HHT1;ORW1;CD105
SCN9A	251.2	NM_002977.1	PN1;NE-NA
TRPV2	187.9	NM_016113.3	VRL;VRL1;VRL-1;MGC12549
RAMP1	182.3	NM_005855.1
F2RL2	152.03	NM_004101.2	PAR3
NTSR1	141.15	NM_002531.1	NTR
GABRA2	122.05	NM_000807.1
SLC16A4	106.6	NM_004696.1	MCT4
ITGA4	103.6	NM_000885.2	CD49D
NCAM2	93.31	NM_004540.2	NCAM21;MGC51008
IL1R1	86.8	NM_000877.2	P80;IL1R;IL1RA;CD121A;D2S1473;IL-1R-alpha
PDGFRA	80.25	NM_006206.2	CD140A;PDGFR2
VCAM1	71.3	NM_080682.1	INCAM-100
SSFA2	69.74	NM_006751.3	CS1;CS-1;KRAP;SPAG13;KIAA1927
TRHDE	58.63	NM_013381.1	PAP-II
EDG2	55.82	NM_001401.3	LPA1;edg-2;vzg-1;Gpcr26;Mrec1.3;rec.1.3
NT5E	48.15	NM_002526.1	eN;NT5;NTE;eNT;CD73;E5NT
FLRT2	46.51	NM_013231.2	KIAA0405
FAP	44.43	NM_004460.2	FAPA;DPPIV;SEPRASE
