Probe set ID	Symbol	Description	RefSeq Transcript ID	Cytoband	Status
215063_x_at	FLJ20331	hypothetical protein FLJ20331	AL390149	chr1p31.2	Overexpressed in H/TCRBCL
211979_at	GPR107	G protein-coupled receptor 107	AB046844	chr9q34.2	Overexpressed in H/TCRBCL
213119_at	SLC36A1	solute carrier family 36 (proton/amino acid symporter), member 1	AW058600	chr5q33.1	Overexpressed in H/TCRBCL
211512_s_at	OGFR	opioid growth factor receptor	AF172450	chr20q13.3	Overexpressed in H/TCRBCL
33850_at	MAP4	microtubule-associated protein 4	W28892	chr3p21	Overexpressed in H/TCRBCL
212691_at	NUP188	nucleoporin 188kDa	AW131863	chr9q34.13	Overexpressed in H/TCRBCL
209235_at	CLCN7	chloride channel 7	AL031600	chr16p13	Overexpressed in H/TCRBCL
212198_s_at	TM9SF4	transmembrane 9 superfamily protein member 4	AL515964	chr20q11.21	Overexpressed in H/TCRBCL
212516_at	CENTD2	centaurin, delta 2	AB018325	chr11q13.3	Overexpressed in H/TCRBCL
212518_at	PIP5K1C	phosphatidylinositol-4-phosphate 5-kinase, type I, gamma	AB011161	chr19p13.3	Overexpressed in H/TCRBCL
221686_s_at	RECQL5	RecQ protein-like 5	AL136869	chr17q25.2-q25.3	Overexpressed in H/TCRBCL
203402_at	KCNAB2	potassium voltage-gated channel, shaker-related subfamily, beta member 2	AL520102	chr1p36.3	Overexpressed in H/TCRBCL
210756_s_at	NOTCH2	Notch homolog 2 (Drosophila)	AF308601	chr1p13-p11	Overexpressed in H/TCRBCL
220998_s_at	UNC93B1	unc-93 homolog B1 (C. elegans) /// unc-93 homolog B1 (C. elegans) /// unc-93 homolog B1 (C. elegans)	NM_030930	chr11q13	Overexpressed in H/TCRBCL
206666_at	GZMK	granzyme K (serine protease, granzyme 3; tryptase II) /// granzyme K (serine protease, granzyme 3; tryptase II)	NM_002104	chr5q11-q12	Overexpressed in H/TCRBCL
34206_at	CENTD2	centaurin, delta 2	AB018325	chr11q13.3	Overexpressed in H/TCRBCL
214080_x_at	PRKCSH	protein kinase C substrate 80K-H	AI815793	chr19p13.2	Overexpressed in H/TCRBCL
201460_at	MAPKAPK2	mitogen-activated protein kinase-activated protein kinase 2	AI141802	chr1q32	Overexpressed in H/TCRBCL
