HG U133A probe set	Gene Symbol	Gene Title	NPM1-mut	NPM1-WT	Fold change	t statistic	P	q
37384_at	PPM1F	protein phosphatase 1F (PP2C domain containing)	833.1	1509.8	-1.8	-6.2	<0.0001	0.0020
204069_at	MEIS1	Meis1, myeloid ecotropic viral integration site 1 homolog (mouse)	1241.5	412.3	3.0	6.7	<0.0001	0.0020
213844_at	HOXA5	homeo box A5	3462.4	946.9	3.7	6.9	<0.0001	0.0020
214655_at	GPR6	G protein-coupled receptor 6	11.6	42.8	-3.7	-6.6	<0.0001	0.0020
200023_s_at	EIF3S5	eukaryotic translation initiation factor 3, subunit 5 epsilon, 47kDa /// eukaryotic translation initiation factor 3, subunit 5 epsilon, 47kDa	6115.4	7861.9	-1.3	-6.5	<0.0001	0.0064
203582_s_at	RAB4A	RAB4A, member RAS oncogene family	462.0	644.9	-1.4	-6.3	<0.0001	0.0064
205453_at	HOXB2	homeo box B2	2363.6	981.2	2.4	5.6	<0.0001	0.0064
210709_at	---	---	16.6	61.0	-3.7	-5.6	<0.0001	0.0064
218964_at	ARID3B	AT rich interactive domain 3B (BRIGHT- like)	54.7	144.5	-2.6	-5.5	<0.0001	0.0064
201113_at	TUFM	Tu translation elongation factor, mitochondrial	2409.3	3669.6	-1.5	-5.9	<0.0001	0.0079
214651_s_at	HOXA9	homeo box A9	4234.5	1233.1	3.4	5.6	<0.0001	0.0091
203589_s_at	TFDP2	transcription factor Dp-2 (E2F dimerization partner 2)	599.4	329.3	1.8	5.5	<0.0001	0.0096
201432_at	CAT	catalase	24168.4	14478.9	1.7	5.3	<0.0001	0.0102
203749_s_at	RARA	retinoic acid receptor, alpha	172.0	414.3	-2.4	-5.5	<0.0001	0.0102
213147_at	HOXA10	homeo box A10	1693.8	858.4	2.0	5.1	<0.0001	0.0115
206194_at	HOXC4	homeo box C4	199.5	312.3	-1.6	-5.4	<0.0001	0.0149
211585_at	NPAT	nuclear protein, ataxia-telangiectasia locus	158.1	74.2	2.1	5.4	<0.0001	0.0149
213150_at	HOXA10	homeo box A10	1289.5	680.5	1.9	5.0	<0.0001	0.0158
210213_s_at	ITGB4BP	integrin beta 4 binding protein	1492.6	1851.6	-1.2	-5.2	<0.0001	0.0171
218886_at	PAK1IP1	PAK1 interacting protein 1	286.9	149.6	1.9	5.5	<0.0001	0.0171
201451_x_at	RHEB	Ras homolog enriched in brain	79.6	22.7	3.5	7.2	<0.0001	0.0176
201663_s_at	SMC4L1	SMC4 structural maintenance of chromosomes 4-like 1 (yeast)	3357.6	1556.9	2.2	7.2	<0.0001	0.0176
202067_s_at	LDLR	low density lipoprotein receptor (familial hypercholesterolemia)	18.3	114.5	-6.3	-5.0	<0.0001	0.0176
208212_s_at	ALK	anaplastic lymphoma kinase (Ki-1)	162.6	97.6	1.7	4.9	<0.0001	0.0176
202283_at	SERPINF1	serine (or cysteine) proteinase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 1	45.0	528.7	-11.7	-4.9	<0.0001	0.0179
211425_x_at	SSX4	synovial sarcoma, X breakpoint 4	231.7	138.4	1.7	4.9	<0.0001	0.0179
210540_s_at	B4GALT4	UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 4	151.9	89.2	1.7	5.0	<0.0001	0.0183
201413_at	HSD17B4	hydroxysteroid (17-beta) dehydrogenase 4	2070.0	1477.0	1.4	5.4	<0.0001	0.0207
207324_s_at	DSC1	desmocollin 1	18.7	49.6	-2.6	-4.8	<0.0001	0.0239
204133_at	RNU3IP2	RNA, U3 small nucleolar interacting protein 2	89.1	219.3	-2.5	-5.5	<0.0001	0.0239
218257_s_at	UGCGL1	UDP-glucose ceramide glucosyltransferase-like 1	399.9	284.8	1.4	4.8	<0.0001	0.0239
220798_x_at	FLJ11535	hypothetical protein FLJ11535	366.8	151.1	2.4	5.1	<0.0001	0.0239
211606_at	---	---	153.6	88.1	1.7	4.9	<0.0001	0.0252
209905_at	HOXA9	homeo box A9	2680.2	656.2	4.1	5.2	<0.0001	0.0266
211525_s_at	GP5	glycoprotein V (platelet)	95.2	47.3	2.0	5.2	<0.0001	0.0266
217167_x_at	GK	glycerol kinase	139.4	65.9	2.1	5.2	0.0001	0.0312
210662_at	KYNU	kynureninase (L-kynurenine hydrolase)	32.7	18.1	1.8	4.7	0.0001	0.0313
218084_x_at	FXYD5	FXYD domain containing ion transport regulator 5	5963.5	9299.2	-1.6	-5.3	0.0001	0.0313
220665_at	LUZP4	leucine zipper protein 4	189.6	107.9	1.8	4.9	0.0001	0.0313
220856_x_at	---	---	3165.4	2494.5	1.3	4.9	0.0001	0.0313
208414_s_at	HOXB3	homeo box B3	263.1	142.9	1.8	4.6	0.0001	0.0357
204399_s_at	EML2	echinoderm microtubule associated protein like 2	178.5	109.6	1.6	4.5	0.0001	0.0398
