Accession no.	Description	Ratio Clinical sample Test 6	Ratio Clinical sample Test 7	Description
NM_00436	Cadherin 1, type 1, E-cadherin (epithelial) (CDH1)	1.6402	2.595	Up-Regulated
NM_02475	Hypothetical protein FLJ21799 (FLJ21799), mRNA	1.4666	2.5602	Up-Regulated
NM_00041	Hemochromatosis (HFE), transcript variant 1, mRNA	1.6633	2.5534	Up-Regulated
NM_00163	Annexin A8 (ANXA8), mRNA	1.5068	2.373	Up-Regulated
NM_00510	Fasciculation and elongation protein zeta 1 (zygin I) (FEZ1), transcript variant 1, mRNA	1.4061	2.2706	Up-Regulated
NM_00079	Dihydrofolate reductase (DHFR), mRNA	1.2092	2.086	Up-Regulated
NM_00222	Inositol 1,4,5-triphosphate receptor, type 3 (ITPR3)	1.7483	2.0594	Up-Regulated
NM_01505	mRNA for KIAA0640 protein, partial cds	1.2948	2.027	Up-Regulated
NM_00403	Annexin A2 (ANXA2), mRNA	1.9147	1.2682	Up-Regulated
NM_01473	KIAA0305 gene product (KIAA0305), mRNA	-1.5647	-1.452	Down-Regulated
NM_00366	cDNA DKFZp566L083 (from clone DKFZp566L083)	-1.122	-1.2432	Down-Regulated
NM_00722	Polyamine-modulated factor 1 (PMF1), mRNA	-2.0161	-1.1489	Down-Regulated
NM_00196	Early growth response 1 (EGR1), mRNA	-1.7786	-1.1222	Down-Regulated
NM_00470	cDNA DKFZp434N2412 (from clone DKFZp434N2412)	-1.2104	-1.0796	Down-Regulated
NM_00123	Cyclin H (CCNH), mRNA	-1.2768	-1.0792	Down-Regulated
