Rank	ProbeSet	A	P-Value	High=>	Gene	Chromosome	Description
1	40782_at	0.827	0.000123	Group1	SDR1	1p36.1	short-chain dehydrogenase/reductase 1
2	38794_at	0.825	0.00016	Group2	UBTF	17q21.3	upstream binding transcription factor, RNA polymerase I
3	41111_at	0.810	0.000662	Group2	BCAT2	19q13	branched chain aminotransferase 2, mitochondrial
4	109_at	0.804	0.001155	Group2	RAB9P40	9q34.11	Rab9 effector p40
5	34891_at	0.804	0.001181	Group2	DNCL1	12q24.23	dynein, cytoplasmic, light polypeptide 1
5	1062_g_at	0.804	0.001181	Group1	IL10RA	11q23	interleukin 10 receptor, alpha
7	34261_at	0.802	0.001504	Group2	PCYT2	17q25.3	phosphate cytidylyltransferase 2, ethanolamine
8	40070_at	0.801	0.001641	Group2	RBM10	Xp11.23	RNA binding motif protein 10
9	35143_at	0.800	0.001714	Group1	DKFZP566A1524	2p24.3	hypothetical protein DKFZp566A1524
10	41577_at	0.800	0.001752	Group1	PPP1R16B	20q12	protein phosphatase 1, regulatory (inhibitor) subunit 16B
11	31842_at	0.800	0.00179	Group2	BCS1L	2q33	BCS1-like (yeast)
12	41590_at	0.799	0.001911	Group2	CGI-87	2p25.3	CGI-87 protein
13	39516_at	0.799	0.001996	Group2	POP5	12q24.31	RNase MRP/RNase P protein-like
14	33397_at	0.798	0.002129	Group2	CDIPT	16p12.1	CDP-diacylglycerol--inositol 3-phosphatidyltransferase (phosphatidylinositol synthase)
15	37656_at	0.797	0.002322	Group2	SCAP	3p21.31	SREBP CLEAVAGE-ACTIVATING PROTEIN
16	37211_at	0.795	0.002817	Group2	BDH	3q29	3-hydroxybutyrate dehydrogenase (heart, mitochondrial)
17	33225_at	0.794	0.00294	Group2	MGC13010	8q24.3	hypothetical protein MGC13010
18	36076_g_at	0.793	0.003487	Group2	RABL4	22q13.1	RAB, member of RAS oncogene family-like 4
19	39004_at	0.792	0.003716	Group2	MRPS11	15q25	mitochondrial ribosomal protein S11
20	33161_at	0.790	0.004591	Group2	MGC15523	17q25.3	hypothetical protein MGC15523
21	32051_at	0.789	0.00489	Group2	MGC2840	11pter-p15.5	hypothetical protein MGC2840 similar to a putative glucosyltransferase
22	776_at	0.788	0.005431	Group2	PIGF	2p21-p16	phosphatidylinositol glycan, class F
23	37352_at	0.787	0.005782	Group1	SP100	2q37.1	nuclear antigen Sp100
24	39752_at	0.787	0.005904	Group2	101F6	3p21.3	putative tumor suppressor 101F6
25	36035_at	0.786	0.006552	Group2	GPAA1	8q24.3	GPAA1P anchor attachment protein 1 homolog (yeast)
26	40623_at	0.785	0.00669	Group2	UBE3B	12q24.12	ubiquitin protein ligase
27	39628_at	0.785	0.00683	Group1	RAB9A	Xp22.2	RAB9A, member RAS oncogene family
28	36652_at	0.785	0.00683	Group2	UROS	10q25.2-q26.3	uroporphyrinogen III synthase (congenital erythropoietic porphyria)
29	38944_at	0.784	0.007576	Group1	MADH3	15q21-q22	MAD, mothers against decapentaplegic homolog 3 (Drosophila)
30	38575_at	0.784	0.007895	Group1	MALT1	18q21	mucosa associated lymphoid tissue lymphoma translocation gene 1
31	1061_at	0.783	0.008399	Group1	IL10RA	11q23	interleukin 10 receptor, alpha
32	32975_g_at	0.782	0.008934	Group2	RRP4	9q34	homolog of Yeast RRP4 (ribosomal RNA processing 4), 3-5-exoribonuclease
33	38384_at	0.782	0.00912	Group2	GART	21q22.11	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase
34	34404_at	0.782	0.009309	Group2	COPS7A	12p13.31	COP9 constitutive photomorphogenic homolog subunit 7A (Arabidopsis)
35	38980_at	0.781	0.010313	Group1	MAP3K7IP2	6q25.1-q25.3	mitogen-activated protein kinase kinase kinase 7 interacting protein 2
36	41591_at	0.780	0.010526	Group2	HAN11	17q24.2	WD-repeat protein
37	32756_at	0.780	0.010743	Group2	ECH1	19q13.1	enoyl Coenzyme A hydratase 1, peroxisomal
38	37246_at	0.778	0.012388	Group2	24432	16q22.1	hypothetical protein 24432
38	32197_at	0.778	0.012388	Group2	SLC25A11	17p13.3	solute carrier family 25 (mitochondrial carrier; oxoglutarate carrier), member 11
40	39733_at	0.777	0.013989	Group1	HERPUD1	16q12.2-q13	homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1
41	40345_at	0.775	0.016108	Group1	IREB2	15q24.1	iron-responsive element binding protein 2
42	32198_at	0.775	0.016435	Group2	FLJ20452	15q23	hypothetical protein FLJ20452
43	35176_at	0.774	0.018534	Group2	DPAGT1	11q23.3	dolichyl-phosphate (UDP-N-acetylglucosamine) N-acetylglucosaminephosphotransferase 1 (GlcNAc-1-P transferase)
44	33314_at	0.774	0.018908	Group2	GCDH	19p13.2	glutaryl-Coenzyme A dehydrogenase
45	41133_at	0.772	0.021736	Group2	G3BP	5q33.1	Ras-GTPase-activating protein SH3-domain-binding protein
45	40390_at	0.772	0.021736	Group1	SDS	12q24.21	serine dehydratase
47	37654_at	0.771	0.024001	Group2	SNX17	2p23-p22	sorting nexin 17
48	35326_at	0.770	0.024969	Group2	YIF1	11q13	Yip1 interacting factor homolog (S. cerevisiae)
49	32745_at	0.770	0.025467	Group2	MRPL40	22q11.21	mitochondrial ribosomal protein L40
50	39253_s_at	0.770	0.025974	Group1	RALA	7p15-p13	v-ral simian leukemia viral oncogene homolog A (ras related)
