GenBank	Symbol	Gene name	Function of the encoded protein	D	Expression
AA434387	CD34	CD34 antigen	Possible adhesion molecule with a role in early hematopoiesis	15	+
AB037762	MEF-2	Myelin gene expression factor 2	Transcription coactivator activity	5	+
X06182	KIT	Stem cell factor receptor	Receptor for stem cell factor, cell growth and maintenance	4	+
AF186111	EGFL7	EGF-like-domain, multiple 7/NEU1	Calcium ion binding, signal transduction	4	+
M62424	F2R	Coagulation factor II (thrombin) receptor	Regulation of cell cycle	4	+
NM_002845	PTPRM	Protein tyrosine phosphatase, receptor type, M	Signal transduction, growth control	4	+
AA100426	MOX2	OX-2 membrane glycoprotein precursor	Regulates myeloid cell activity	3	+
U62027	C3AR1	Complement component 3a receptor 1	Stimulates chemotaxis, granule enzyme release	7	-
NM_080792	PTPNS1	Protein tyrosine phosphatase, non-receptor S1	Negative regulation of receptor tyrosine kinase-coupled responses	5	-
U02687	FLT3	fms-related tyrosine kinase 3	Marker in hematopoietic stem cell differentiation	5	-
M62880	ITGB7	Integrin, B7	Differentiation, receptor for fibronectin and VCAM	5	-
AI828515	TNFSF13	Tumor necrosis factor (ligand) SF13	Tumor necrosis factor receptor binding, induction of apoptosis	5	-
AB007854	GAS7	Growth arrest-specific 7	Cell cycle arrest, differentiation	3	-
U49278	UBE2V1	Ubiquitin-conjugating enzyme E2 v 1	Cell differentiation, ubiquitin-protein ligase activity	3	-
