UniGene Cluster ID	Gene Symbol	Gene name
Hs.118722	FUT8	fucosyltransferase 8 (alpha (1,6) fucosyltransferase)
Hs.1369	CD55	decay accelerating factor for complement (CD55, Cromer blood groupsystem)
Hs.157441	SPI1	spleen focus forming virus (SFFV) proviral integration oncogene spi1
Hs.1741	ITGB7	integrin, beta 7
Hs.238730	RASSF5	NORE1 protein
Hs.35384	RING1	ring finger protein 1
Hs.356386	RAB7A	RAB7, member RAS oncogene family
Hs.73722	APEX1	APEX nuclease (multifunctional DNA repair enzyme)
Hs.78781	VEGFB	vascular endothelial growth factor B
Hs.79440	IGF2BP3	IGF-II mRNA-binding protein 3
Hs.80887	LYN	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog
Hs.81256	S100A4	S100 calcium binding protein A4 (calcium protein, calvasculin, metastasin, murine placental homolog)
Hs.81687	NME3	non-metastatic cells 3, protein expressed in
Hs.82028	TGFBR2	Transforming growth factor, beta receptor II (70-80kD)
Hs.846	CXCR2	interleukin 8 receptor, beta
Hs.85701	PIK3CA	phosphoinositide-3-kinase, catalytic, alpha polypeptide
Hs.9235	NME4	non-metastatic cells 4, protein expressed in
Hs.99491	RASGRP2	RAS guanyl releasing protein 2 (calcium and DAG-regulated)
