Probe ID	Mean fold change	Gene Description
205837_s_at	0.2	synonyms: GPA, MN, MNS; Homo sapiens glycophorin A (includes MN blood group), mRNA (cDNA clone MGC:12403 IMAGE:3930700), complete cds.; Glycophorin A (includes MN blood group)
205501_at	0.2	qe04f11.x1 Soares_testis_NHT Homo sapiens cDNA clone IMAGE:1738029 3, mRNA sequence.; CDNA FLJ25677 fis, clone TST04054
208376_at	0.2	synonyms: CKR4, K5-5, CMKBR4, ChemR13, CC-CKR-4, MGC88293, HGCN:14099; chemokine (C-C) receptor 4; go_component: integral to plasma membrane [goid 0005887] [evidence TAS] [pmid 7642634]; go_function: C-C chemokine receptor activity [goid 0016493] [evidence IEA]; go_function: rhodopsin-like receptor activity [goid 0001584] [evidence IEA]; go_process: chemotaxis [goid 0006935] [evidence TAS] [pmid 7642634]; go_process: immune response [goid 0006955] [evidence TAS] [pmid 7642634]; go_process: inflammatory response [goid 0006954] [evidence TAS] [pmid 7642634]; go_process: cytosolic calcium ion concentration elevation [goid 0007204] [evidence TAS] [pmid 7642634]; go_process: G-protein coupled receptor protein signaling pathway [goid 0007186] [evidence IEA]; Homo sapiens chemokine (C-C motif) receptor 4 (CCR4), mRNA.; Chemokine (C-C motif) receptor 4
206835_at	0.2	synonym: STR; go_component: extracellular [goid 0005576] [evidence NAS] [pmid 1718282]; go_function: protein binding [goid 0005515] [evidence IPI] [pmid 1718282]; go_function: hydroxyapatite binding [goid 0046848] [evidence NAS] [pmid 1741693]; go_function: structural constituent of tooth enamel [goid 0030345] [evidence NAS] [pmid 1718282]; go_function: extracellular matrix constituent, lubricant activity [goid 0030197] [evidence NAS] [pmid 1718282]; go_process: ossification [goid 0001503] [evidence TAS] [pmid 1313424]; go_process: saliva secretion [goid 0046541] [evidence NAS] [pmid 1718282]; go_process: negative regulation of bone mineralization [goid 0030502] [evidence NAS] [pmid 1313424]; Homo sapiens statherin (STATH), mRNA.; Statherin
209821_at	0.2	Homo sapiens mRNA for DVS27-related protein, complete cds.; Chromosome 9 open reading frame 26 (NF-HEV)
208337_s_at	0.2	synonyms: B1F, CPF, FTF, B1F2, hB1F, LRH-1, FTZ-F1, hB1F-2, FTZ-F1beta; isoform 2 is encoded by transcript variant 2; CYP7A promoter-binding factor; fetoprotein-alpha 1 (AFP) transcription factor; b1-binding factor, hepatocyte transcription factor which activates enhancer II of hepatitis B virus; liver receptor homolog 1; go_component: nucleus [goid 0005634] [evidence IEA]; go_component: nucleus [goid 0005634] [evidence TAS] [pmid 9786908]; go_function: transcription factor activity [goid 0003700] [evidence IEA]; go_function: steroid hormone receptor activity [goid 0003707] [evidence IEA]; go_function: RNA polymerase II transcription factor activity, enhancer binding [goid 0003705] [evidence TAS] [pmid 9786908]; go_process: morphogenesis [goid 0009653] [evidence TAS] [pmid 9786908]; go_process: transcription from Pol II promoter [goid 0006366] [evidence TAS] [pmid 9786908]; go_process: regulation of transcription, DNA-dependent [goid 0006355] [evidence IEA]; Homo sapiens nuclear receptor subfamily 5, group A, member 2 (NR5A2), transcript variant 2, mRNA.; Nuclear receptor subfamily 5, group A, member 2
220870_at	0.2	Hypothetical protein PRO1598
208421_at	0.2	RIG-like 14-1
206811_at	0.3	synonyms: ADCY3, HBAC1; Adenylyl cyclase-8, brain; go_component: plasma membrane [goid 0005886] [evidence TAS] [pmid 8076676]; go_component: integral to membrane [goid 0016021] [evidence IEA]; go_component: membrane fraction [goid 0005624] [evidence TAS] [pmid 8163524]; go_function: lyase activity [goid 0016829] [evidence IEA]; go_function: magnesium ion binding [goid 0000287] [evidence IEA]; go_function: guanylate cyclase activity [goid 0004383] [evidence IEA]; go_function: calcium- and calmodulin-responsive adenylate cyclase activity [goid 0008294] [evidence TAS] [pmid 8163524]; go_process: cAMP biosynthesis [goid 0006171] [evidence IEA]; go_process: learning and/or memory [goid 0007611] [evidence TAS] [pmid 8076676]; go_process: intracellular signaling cascade [goid 0007242] [evidence IEA]; Homo sapiens adenylate cyclase 8 (brain) (ADCY8), mRNA.; Adenylate cyclase 8 (brain)
216849_at	0.3	Homo sapiens mRNA; cDNA DKFZp586L111 (from clone DKFZp586L111).; FLJ16124 protein
216429_at	0.3	Homo sapiens cDNA: FLJ21769 fis, clone COLF7354.; Transcribed locus, weakly similar to XP_375174.1 hypothetical gene supported by BC037839 [Homo sapiens]
217624_at	0.3	zx86c10.s1 Soares ovary tumor NbHOT Homo sapiens cDNA clone IMAGE:810642 3 similar to contains Alu repetitive element;contains element L1 repetitive element ;, mRNA sequence.; Actin related protein 2/3 complex, subunit 1B, 41kDa
216750_at	0.3	Homo sapiens cDNA: FLJ21218 fis, clone COL00537.; Amyloid beta (A4) precursor protein-binding, family B, member 2 (Fe65-like)
214985_at	0.3	Homo sapiens clone 24739 mRNA sequence.; Clone 24739 mRNA sequence
207808_s_at	0.4	synonyms: PSA, PROS; Protein S, alpha; go_component: extracellular [goid 0005576] [evidence NAS] [pmid 14718574]; go_function: calcium ion binding [goid 0005509] [evidence IEA]; go_function: structural molecule activity [goid 0005198] [evidence IEA]; go_function: endopeptidase inhibitor activity [goid 0004866] [evidence TAS] [pmid 8146182]; go_process: cell adhesion [goid 0007155] [evidence IEA]; go_process: blood coagulation [goid 0007596] [evidence TAS] [pmid 9657428]; Homo sapiens protein S (alpha) (PROS1), mRNA.; Protein S (alpha)
221386_at	0.4	synonyms: OR228, OLFRA04, OR17-228; go_component: integral to plasma membrane [goid 0005887] [evidence TAS] [pmid 8921386]; go_function: receptor activity [goid 0004872] [evidence TAS] [pmid 8921386]; go_function: olfactory receptor activity [goid 0004984] [evidence IEA]; go_process: perception of smell [goid 0007608] [evidence IEA]; go_process: signal transduction [goid 0007165] [evidence TAS] [pmid 8921386]; go_process: G-protein coupled receptor protein signaling pathway [goid 0007186] [evidence IEA]; Homo sapiens olfactory receptor, family 3, subfamily A, member 2 (OR3A2), mRNA.; Olfactory receptor, family 3, subfamily A, member 2
220583_at	0.4	Homo sapiens hypothetical protein FLJ22596 (FLJ22596), mRNA.; chordin-like 2
208519_x_at	0.4	synonyms: GnRH-II, LH-RHII; isoform a preproprotein is encoded by transcript variant 1; progonadoliberin II; luteinizing hormone-releasing hormone II; luliberin II; go_component: extracellular [goid 0005576] [evidence IEA]; go_component: soluble fraction [goid 0005625] [evidence TAS] [pmid 9419371]; go_function: hormone activity [goid 0005179] [evidence TAS] [pmid 9419371]; go_process: development [goid 0007275] [evidence IEA]; go_process: signal transduction [goid 0007165] [evidence TAS] [pmid 9419371]; Homo sapiens gonadotropin-releasing hormone 2 (GNRH2), transcript variant 1, mRNA.; Gonadotropin-releasing hormone 2
221065_s_at	0.4	N-acetylgalactosamine-4-O-sulfotransferase; GALNAC-4-ST1; go_component: integral to membrane [goid 0016021] [evidence ISS]; go_component: integral to membrane [goid 0016021] [evidence NAS] [pmid 10988300]; go_component: integral to membrane [goid 0016021] [evidence NAS] [pmid 11001942]; go_function: transferase activity [goid 0016740] [evidence IEA]; go_function: N-acetylgalactosamine 4-O-sulfotransferase activity [goid 0001537] [evidence ISS]; go_function: N-acetylgalactosamine 4-O-sulfotransferase activity [goid 0001537] [evidence IDA] [pmid 10988300]; go_function: N-acetylgalactosamine 4-O-sulfotransferase activity [goid 0001537] [evidence NAS] [pmid 11001942]; go_process: hormone biosynthesis [goid 0042446] [evidence ISS]; go_process: hormone biosynthesis [goid 0042446] [evidence IEP] [pmid 10988300]; go_process: proteoglycan biosynthesis [goid 0030166] [evidence ISS]; go_process: proteoglycan biosynthesis [goid 0030166] [evidence IDA] [pmid 10988300]; go_process: central nervous system development [goid 0007417] [evidence ISS]; go_process: central nervous system development [goid 0007417] [evidence NAS] [pmid 10988300]; Homo sapiens carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 8 (CHST8), mRNA.; Carbohydrate (N-acetylgalactosamine 4-0) sulfotransferase 8
221916_at	0.4	7j78a07.x1 Soares_NSF_F8_9W_OT_PA_P_S1 Homo sapiens cDNA clone IMAGE:3392532 3, mRNA sequence.; Neurofilament, light polypeptide 68kDa
