Probe set	Representative publicID	Gene title
201429_s_at	NM_000998	Ribosomal protein L37a
200025_s_at	NM_000988	Ribosomal protein L27
200034_s_at	NM_000970	Ribosomal protein L6
200038_s_at	NM_000985	Ribosomal protein L17
200949_x_at	NM_001023	Ribosomal protein S20
212042_x_at	BG389744	Ribosomal protein L7
200716_x_at	NM_012423	Ribosomal protein L13a
208904_s_at	BC000354	Ribosomal protein S28
208856_x_at	BC003655	Ribosomal protein, large, P0
216520_s_at	AF072098	Tumor protein, translationally controlled 1
200019_s_at	NM_001997	Ribosomal protein S30
200927_s_at	AA919115	RAB14, member RAS oncogene family
202649_x_at	NM_001022	Ribosomal protein S19
200937_s_at	NM_000969	Ribosomal protein L5
211927_x_at	BE963164	Eukaryotic translation elongation factor 1 gamma
212773_s_at	BG165094	Translocase of outer mitochondrial membrane 20 homolog (yeast)
213890_x_at	AI200589	Ribosomal protein S16
208724_s_at	BC000905	RAB1A, member RAS oncogene family
200081_s_at	BE741754	Ribosomal protein S6
200005_at	NM_003753	Eukaryotic translation initiation factor 3, subunit 7 zeta, 66/67 kDa
217915_s_at	NM_016304	Chromosome 15 open reading frame 15
218268_at	NM_022771	TBC1 domain family, member 15
217747_s_at	NM_001013	Ribosomal protein S9
201259_s_at	AI768845	Synaptophysin-like 1
217719_at	NM_016091	Eukaryotic translation initiation factor 3, subunit 6 interacting protein
211937_at	NM_001417	Eukaryotic translation initiation factor 4B
218041_x_at	NM_018573	Solute carrier family 38, member 2
214351_x_at	AA789278	Ribosomal protein L13
221726_at	BE250348	Ribosomal protein L22
204102_s_at	NM_001961	Eukaryotic translation elongation factor 2
209510_at	AF064801	Ring finger protein 139
200024_at	NM_001009	Ribosomal protein S5
201337_s_at	NM_004781	Vesicle-associated membrane protein 3 (cellubrevin)
200632_s_at	NM_006096	N-myc downstream regulated gene 1
218084_x_at	NM_014164	FXYD domain containing ion transport regulator 5
212202_s_at	BG493972	DKFZP564G2022 protein
221646_s_at	AF267859	Zinc finger, DHHC-type containing 11
203544_s_at	NM_003473	Signal transducing adaptor molecule 1
218562_s_at	NM_018202	Transmembrane protein 57
206890_at	NM_005535	Interleukin 12 receptor, beta 1
204426_at	NM_006815	Coated vesicle membrane protein
208330_at	NM_021926	Aristaless-like homeobox 4
221718_s_at	M90360	A kinase (PRKA) anchor protein 13
209288_s_at	AL136842	CDC42 effector protein (Rho GTPase binding) 3
202393_s_at	NM_005655	Kruppel-like factor 10
209732_at	BC005254	C-type lectin domain family 2, member B
209795_at	L07555	CD69
212509_s_at	BF968134	Matrix-remodeling associated 7
209543_s_at	M81104	CD34
213075_at	AL050002	Olfactomedin-like 2A
201904_s_at	BF031714	CTD small phosphatase-like
215177_s_at	AV733308	Integrin, alpha 6
201325_s_at	NM_001423	Epithelial membrane protein 1
