Probe Set ID	Gene Title	Gene Symbol	LocusLink
37253_at	phosphatidylinositol-4-phosphate 5-kinase, type I, beta	PIP5K1B	8395
35145_at	MAX binding protein	MNT	4335
1797_at	cyclin-dependent kinase inhibitor 2D (p19, inhibits CDK4)	CDKN2D	1032
943_at	runt-related transcription factor 1 (acute myeloid leukemia 1; aml1 oncogene)	RUNX1	861
35228_at	carnitine palmitoyltransferase 1B (muscle)	CPT1B	1375
36943_r_at	pleiomorphic adenoma gene-like 1	PLAGL1	5325
32172_at	SMART/HDAC1 associated repressor protein	SHARP	23013
37363_at	metastasis suppressor 1	MTSS1	9788
36641_at	capping protein (actin filament) muscle Z-line, alpha 2	CAPZA	2830
32115_r_at	adenosine A2a receptor	ADORA2A	135
36588_at	unc-84 homolog A (C. elegans)	UNC84A	23353
35304_at	RAB6A, member RAS oncogene family	RAB6A	5870
36238_at	myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 7	MLLT7	4303
36192_at	secernin 1	SCRN1	9805
41052_s_at	calcium channel, voltage-dependent, P/Q type, alpha 1A subunit	CACNA1A	773
37468_at	Janus kinase 2 (a protein tyrosine kinase)	JAK2	3717
36112_r_at	splicing factor, arginine/serine-rich 2	SFRS2	6427
40375_at	early growth response 3	EGR3	1960
39933_at	dual specificity phosphatase 7	DUSP7	1849
33891_at	chloride intracellular channel 4	CLIC4	25932
39345_at	Niemann-Pick disease, type C2	NPC2	10577
39182_at	epithelial membrane protein 3	EMP3	2014
33817_at	heterogeneous nuclear ribonucleoprotein A3	HNRPA3	220988
1395_at	ras homolog gene family, member C	RHOC	389
37420_i_at	major histocompatibility complex, class I, F	HLA-F	3134
38472_at	KIAA0143 protein	KIAA0143	23167
35786_at	KIAA0476	KIAA0476	9909
41442_at	core-binding factor, runt domain, alpha subunit 2; translocated to, 3	CBFA2T3	863
32119_at	Homo sapiens, clone IMAGE:4214654, mRNA
32623_at	gamma-aminobutyric acid (GABA) B receptor, 1	GABBR1	2550
37043_at	inhibitor of DNA binding 3, dominant negative helix-loop-helix protein	ID3	3399
40091_at	B-cell CLL/lymphoma 6 (zinc finger protein 51)	BCL6	604
654_at	MAX interactor 1	MXI1	4601
39072_at	MAX interactor 1	MXI1	4601
36243_at	toll-like receptor 1	TLR1	7096
35747_at	stromal cell derived factor receptor 1	SDFR1	27020
36031_at	inhibitor of growth family, member 1	ING1	3621
41746_at	NHP2 non-histone chromosome protein 2-like 1 (S. cerevisiae)	NHP2L1	4809
41562_at	B lymphoma Mo-MLV insertion region (mouse)	BMI1	648
37052_at	diacylglycerol kinase, gamma 90kDa	DGKG	1608
33372_at	RAB31, member RAS oncogene family	RAB31	11031
33859_at	sin3-associated polypeptide, 18kDa	SAP18	10284
38893_at	neutrophil cytosolic factor 4, 40kDa	NCF4	4689
35326_at	Yip1 interacting factor homolog (S. cerevisiae)	YIF1	10897
32554_s_at	transducin (beta)-like 1X-linked	TBL1X	6907
41202_s_at	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2	CTDSP2	10106
40567_at	tubulin, alpha 3	TUBA3	7846
39591_s_at	fibrinogen-like 2	FGL2	10875
1527_s_at	hypothetical gene CG018	CG018	90634
35765_at	ADP-ribosylation factor related protein 1	ARFRP1	10139
