Gene Description	Accession No.	P Value	Fold-Change
T-cell–specific human MAL gene	X76220	1.50E-11	-22.2
Monocyte immunoglobulin-like receptor (MIR7 )	AF004230	3.10E-05	-10.5
MCF-7ADR progression associated protein	Y07909	5.00E-07	-7.6
Type 2 inositol-1,4,5-trisphosphate receptor	D26350	1.30E-07	-6.4
Tumor-associated membrane protein (EMPI)	U43916	6.70E-06	-5.6
CD24 signal transducer (B cell)	L33930	1.90E-06	-4.8
Transferrin receptor	M11507	7.40E-04	4.6
Butyrophilin-like receptor	AB020625	1.20E-06	-4.3
Thymidine kinase gene (tk)	M15205	3.00E-05	4.2
Beta Ig-h3	M77349	2.80E-04	4.1
Profilin II	L10678	1.10E-04	3.7
LIM protein (ZNF185 )	Y09538	2.00E-05	-3.7
Integrin alpha6(ITGA6)	L40385	2.20E-04	3.7
Poliovirus receptor (exon 1)	X64116	8.50E-05	-3.7
Integrin alpha6 beta4	X53587	3.40E-04	3.7
Integrin alpha6B	S66213	4.40E-04	3.6
Protein-tyrosine phosphatase (B23)	U15932	1.50E-06	-3.4
Selenium binding protein	U29091	1.50E-05	-3.4
Inositol polyphosphate 4-phosphatase type II	U96919	7.40E-04	3.3
alpha3 beta1(VLA-3) integrin receptor	M59911	1.40E-04	3.3
Collagen binding protein 2 (Colligin)	D83174	5.20E-04	3.3
Heparan sulfate D-glucosaminyl-3-O-sulfotransferase	AF019386	3.30E-05	-3.3
Autotaxin (tumor cell motility stimulating protein)	L35594	2.10E-04	-3.2
Estrogen-regulated LIV-1 protein	U41060	3.40E-04	3.1
Epithelial cell receptor protein-tyrosine kinase (eck)	M59371	3.30E-05	-3.1
Human T-cell differentiation antigen Leu-2/T8	M12824	8.20E-04	-2.9
T200 leukocyte common antigen (CD45, LC-A)	Y00062	8.80E-04	-2.8
ORCTL2S	AF037066	5.50E-04	-2.8
Type 3 inositol-1,4,5-trisphosphate receptor	U01062	4.10E-04	2.7
5T4 oncofetal trophoblast glycoprotein	Z29083	1.10E-04	2.7
Protein-tyrosine phosphatase	X68277	2.80E-04	-2.7
Protocadherin 42	L11370	2.20E-04	-2.7
Serine/threonine kinase (STK-1)	AF015254	2.00E-04	2.6
Cholesterol 25-hydroxylases	AF059214	2.80E-04	-2.6
MET proto-oncogene	J02958	7.70E-04	2.5
Low-density lipoprotein receptor	L00352	1.10E-04	-2.4
Retinal short-chain dehydrogenase/reductase (retSDR1)	AF061741	2.20E-04	-2.2
Kinase Myt1 (Myt1)	U56816	9.20E-04	2.2
Microsomal glutathione S-transferase II (microsomal GST-II)	U77604	1.40E-04	-2.2
RhoE = 26 kd-GTPase homolog	S82240	9.00E-04	-2.1
