PROBESET	GENE SYMBOL	BIOLOGICAL DESCRIPTION
201881_s_at	ARIH1	ubiquitin-dependent protein catabolism /// ubiquitin cycle
204833_at	ATG12	autophagic vacuole formation /// ubiquitin cycle /// autophagy /// apoptosis /// autophagy /// protein modification
218751_s_at	FBXW7	protein ubiquitination /// ubiquitin cycle
218247_s_at	RKHD2	ubiquitin cycle
218286_s_at	RNF7	electron transport /// ubiquitin cycle /// anti-apoptosis /// redox signal response /// induction of apoptosis by oxidative stress
211069_s_at	SUMO1	protein modification /// ubiquitin cycle /// negative regulation of transcription /// negative regulation of transcription /// protein sumoylation /// negative regulation of transcription factor activity
201177_s_at	UBA2	ubiquitin cycle /// protein modification
218521_s_at	UBE2W	ubiquitin cycle /// protein modification
208619_at	DDB1	nucleotide-excision repair /// ubiquitin cycle /// DNA repair /// response to DNA damage stimulus /// DNA repair
219641_at	DET1	ubiquitin cycle
210331_at	HECW1	protein modification /// ubiquitin cycle
38710_at	OTUB1	ubiquitin cycle /// immune response
65521_at	UBE2D4	protein modification /// ubiquitin cycle
200684_s_at	UBE2L3	ubiquitin-dependent protein catabolism /// ubiquitin cycle /// protein modification /// protein modification
201387_s_at	UCHL1	ubiquitin-dependent protein catabolism /// protein deubiquitination /// ubiquitin cycle /// ubiquitin-dependent protein catabolism
