Function	Gene	Genbank	Fold Induction
Apoptosis	death-associated protein 1 (DAP1)	X76105	2.3
Apoptosis	PDGF associated protein	U41745	2.0
Cell adhesion	integrin alpha 5 (ITGA5); VLA5; CD49E antigen	X06256	4.9
Cell adhesion	beta catenin (CTNNB)	X87838	3.8
Chromatin	high mobility group protein HMG2	X62534	2.1
Cytoskeletal	desmin (DES)	U59167	2.4
Cytoskeletal	cytokeratin 18	M26326	2.2
DNA Damage and Repair	ubiquitin-conjugating enzyme E2 17-kDa	M74524	2.3
DNA Damage and Repair	ataxia telangiectasia (ATM)	U33841	2.1
DNA Synthesis & Cell Cycle	DNA topoisomerase III (TOP3)	U43431	2.4
DNA Synthesis & Cell Cycle	p33ING1	AF001954	2.0
DNA Synthesis & Cell Cycle	E2F dimerization partner 1	L23959	2.0
Immune system	CD99	M16279	3.0
Immune system	CD59	M34671	2.6
Kinase	casein kinase I gamma 2 (CKI-gamma 2)	U89896	4.2
Kinase	STE20-like kinase 3	AF024636	2.2
Protease Related	bleomycin hydrolase (BLM hydrolase)	X92106	2.4
Protease Related	cathepsin L	X12451	2.4
Protease Related	MMP11	X57766	2.1
Protein Modification	CD75	X62822	2.1
Receptors	CD32	M31932	3.4
Receptors	insulin-like growth factor binding protein 2 (IGFBP2)	M35410	2.9
Receptors	NOTCH1	M73980	2.3
Signal Transducers	N-ras	X02751	25.9
Signal Transducers	shb proto-oncogene	X75342	3.2
Signal Transducers	integrin-linked kinase (ILK)	U40282	2.9
Signal Transducers	linker for activation of T-cells (LAT)	AF036906	2.2
Signal Transducers	HRS	D84064	2.1
Signal Transducers	STAT3	L29277	2.1
Signalling Molecules	FGF8	U36223	2.5
Signalling Molecules	macrophage migration inhibitory factor (MIF)	M25639	2.1
Transcription	fos-related antigen (FRA1)	X16707	2.3
Transcription	jun-B	M29039	2.2
Translation	EIF4E	M15353	2.9
Translation	translation initiation factor EIF-2B alpha subunit	X95648	2.1
Xenobiotic metabolism	microsomal glutathione S-transferase II	U77604	2.0
