Rank	Description	Symbol	Function	Unigene Identification  Number
1	Human alpha satellite and Satellite-3 junction DNA sequence		Nuclear matrix/scaffold protein binding	247946
2	Pepsinogen A	PGA5	Proteolysis	432854
3	GW128 protein	YWHAB	Signal transduction/cell cycle control	279920
4	Oligophrenin 1	OPHN1	G-protein modulator; cell adhesion	128824
5	CDC14	CDC14A	Phosphatase; protein phosphatase	65993
6	Junction plakoglobin	JUP	Signal transduction; oncogene, cell adhesion	2340
7	Ribophorin II	RPN2	Glycosyl transferase; T-cell activation	406532
8	C1 inhibitor	SERPING1	Protease inhibitor	151242
9	Kruppel-related Zinc finger	ZNF300	Transcription factor; mRNA transcription	288928
10	Nucleolar autoantigen	SSA1	Zinc finger; transcription factor	1042
