PROBESET	GENE SYMBOL	BIOLOGICAL DESCRIPTION
208847_s_at	ADH5	ethanol oxidation
201030_x_at	LDHB	tricarboxylic acid cycle intermediate metabolism /// anaerobic glycolysis /// protein folding /// apoptosis /// glycolysis /// protein folding /// anti-apoptosis
220200_s_at	SETD8	chromatin modification
202591_s_at	SSBP1	DNA replication
205412_at	ACAT1	---
214261_s_at	ADH6	ethanol oxidation
32836_at	AGPAT1	phosphatidic acid biosynthesis /// metabolism /// phospholipid biosynthesis /// phospholipid metabolism
207396_s_at	ALG3	protein amino acid glycosylation
203545_at	ALG8	protein amino acid N-linked glycosylation /// transport
206121_at	AMPD1	nucleotide metabolism /// purine ribonucleoside monophosphate biosynthesis
212348_s_at	AOF2	electron transport /// transcription /// regulation of transcription, DNA-dependent /// chromatin modification
205894_at	ARSE	skeletal development /// metabolism
206435_at	B4GALNT1	carbohydrate metabolism /// glycosphingolipid metabolism /// lipid glycosylation
204154_at	CDO1	sulfur amino acid biosynthesis /// electron transport /// inflammatory response /// taurine biosynthesis /// L-cysteine metabolism /// cysteine metabolism
206227_at	CILP	nucleobase, nucleoside, nucleotide and nucleic acid metabolism
204925_at	CTNS	amino acid metabolism /// transport /// L-cystine transport
207608_x_at	CYP1A2	electron transport
206424_at	CYP26A1	electron transport /// metabolism
207718_x_at	CYP2A6 /// CYP2A7 /// CYP2A7P1 /// CYP2A13	electron transport
208126_s_at	CYP2C18	electron transport
216058_s_at	CYP2C19	electron transport
205073_at	CYP2J2	electron transport /// icosanoid metabolism /// regulation of heart contraction /// fatty acid metabolism
206878_at	DAO	electron transport
208159_x_at	DDX11	nucleobase, nucleoside, nucleotide and nucleic acid metabolism /// cell cycle /// ATP synthesis coupled proton transport
213378_s_at	DDX11 /// DDX12 /// LOC642846 /// LOC652053	nucleobase, nucleoside, nucleotide and nucleic acid metabolism /// cell cycle /// ATP synthesis coupled proton transport
208382_s_at	DMC1	DNA metabolism /// cell cycle /// meiosis /// meiotic recombination /// spermatogenesis /// female gamete generation /// meiosis /// meiotic recombination
33768_at	DMWD	meiosis
203305_at	F13A1	blood coagulation /// peptide cross-linking /// blood coagulation
216787_at	FKBP1B	protein folding /// muscle contraction
89977_at	FLJ20581	metabolism
206263_at	FMO4	electron transport /// xenobiotic metabolism
204948_s_at	FST	development /// negative regulation of follicle-stimulating hormone secretion
206109_at	FUT1	carbohydrate metabolism /// protein amino acid glycosylation /// L-fucose catabolism /// carbohydrate metabolism
222280_at	GAPDHS	glucose metabolism /// glycolysis /// sperm motility /// positive regulation of glycolysis
212379_at	GART	purine nucleotide biosynthesis /// de novo IMP biosynthesis /// biosynthesis /// purine base biosynthesis
221028_s_at	GFOD2	electron transport /// metabolism
203157_s_at	GLS	glutamine catabolism /// glutamine metabolism
204187_at	GMPR	nucleotide metabolism /// response to cold /// nucleobase, nucleoside, nucleotide and nucleic acid metabolism
205752_s_at	GSTM5	metabolism
220853_at	GTDC1	biosynthesis
215316_at	HIBADH	pentose-phosphate shunt /// valine metabolism /// valine metabolism
219064_at	ITIH5	hyaluronan metabolism
203682_s_at	IVD	electron transport /// metabolism
212068_s_at	KIAA0515	phosphoenolpyruvate-dependent sugar phosphotransferase system
206945_at	LCT	carbohydrate metabolism
210682_at	LPO	response to oxidative stress /// hydrogen peroxide catabolism
209623_at	MCCC2	leucine catabolism
213333_at	MDH2	glycolysis /// tricarboxylic acid cycle /// malate metabolism /// tricarboxylic acid cycle intermediate metabolism
160020_at	MMP14	peptidoglycan metabolism /// proteolysis /// proteolysis
209708_at	MOXD1	catecholamine metabolism /// histidine catabolism
218455_at	NFS1	sulfur amino acid metabolism /// protein complex assembly /// metabolism
205851_at	NME6	GTP biosynthesis /// UTP biosynthesis /// CTP biosynthesis /// apoptosis /// anti-apoptosis /// nucleotide metabolism /// nucleoside triphosphate biosynthesis /// pyrimidine ribonucleoside triphosphate biosynthesis
209755_at	NMNAT2	biosynthesis /// NAD biosynthesis /// pyridine nucleotide biosynthesis
215278_at	NNT	tricarboxylic acid cycle /// electron transport /// electron transport /// proton transport /// proton transport
210519_s_at	NQO1	electron transport /// xenobiotic metabolism /// nitric oxide biosynthesis /// synaptic transmission, cholinergic /// response to toxin
214306_at	OPA1	mitochondrial fission /// inner mitochondrial membrane organization and biogenesis /// visual perception /// sensory perception of sound /// mitochondrial fusion /// biosynthesis /// axon transport of mitochondrion /// positive regulation of anti-apoptosi
121_at	PAX8	GTP biosynthesis /// UTP biosynthesis /// CTP biosynthesis /// transcription /// regulation of transcription, DNA-dependent /// morphogenesis /// cell differentiation /// development
210976_s_at	PFKM	glycogen metabolism /// glycolysis /// regulation of glycolysis
60528_at	PLA2G4B	inflammatory response /// parturition /// phospholipid catabolism /// lipid catabolism /// arachidonic acid metabolism /// calcium-mediated signaling /// glycerophospholipid catabolism /// glycerophospholipid catabolism
49077_at	PPME1	protein amino acid demethylation /// aromatic compound metabolism /// protein amino acid demethylation
200871_s_at	PSAP /// PLSCR3	lipid metabolism /// sphingolipid metabolism /// glycosphingolipid metabolism /// lipid transport /// lysosome organization and biogenesis /// phospholipid scrambling /// glycosphingolipid metabolism
205128_x_at	PTGS1	prostaglandin biosynthesis /// prostaglandin biosynthesis /// lipid metabolism /// fatty acid biosynthesis /// physiological process /// blood pressure regulation /// keratinocyte differentiation /// lipid biosynthesis
222217_s_at	SLC27A3	lipid metabolism /// fatty acid metabolism /// metabolism
213820_s_at	STARD5	steroid biosynthesis /// lipid transport /// transport
214413_at	TAT	amino acid and derivative metabolism /// L-phenylalanine catabolism /// tyrosine catabolism /// biosynthesis /// aromatic amino acid family catabolism /// L-phenylalanine catabolism /// tyrosine catabolism /// aromatic amino acid family metabolism
205943_at	TDO2	tryptophan metabolism /// neurotransmitter metabolism
204532_x_at	UGT1A4	metabolism
