Gene Symbol	Accession No	Chromosomal location	Name	Function
AFP	NM_001134	4q11-q13	alpha-fetoprotein	plasma protein synthesized by the fetal liver
ALDH2	NM_000690	12q24.2	aldehyde dehydrogenase 2 family (mitochondrial)	liver enzyme involved in alcohol metabolism
APCS	NM_001639	1q21-q23	amyloid P component, serum	secreted glycoprotein
APOC4	NM_001646	19q13.2	apolipoprotein C-IV	secreted liver protein
AQP9	NM_020980	15q22.1-22.2	aquaporin 9	water-selective membrane channel
BUB1	AF043294	2q14	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)	kinase involved in spindle checkpoint
C1S	M18767	12p13	complement component 1, s subcomponent	component of the cleavage and polyadenylation specificity factor complex
CYP2E1	AF182276	10q24.3-qter	cytochrome P450, family 2, subfamily E, polypeptide 1	cytochrome P450 family member involved in drug metabolism
DLG7	NM_014750	14q22.3	discs, large homolog 7 (Drosophila)	cell cycle regulator involved in kinetocore formation
DUSP9	NM_001395	Xq28	dual specificity phosphatase 9	phosphatase involved in regulation of MAP Kinases
E2F5	U15642	8q21.2	E2F transcription factor 5, p130-binding	transcription factor involved in cell cycle regulation
GHR	NM_000163	5p13-p12	Growth hormone receptor	transmembrane receptor for growth hormone
HPD	NM_002150	12q24-qter	4-hydroxyphenylpyruvate dioxygenase	enzyme involved in  amino-acid degradation
IGSF1	NM_001555	Xq25	immunoglobulin superfamily, member 1	cell recognition and regulation of cell behavior
NLE1	NM_018096	17q12	notchless homolog 1 (Drosophila)	unknown
RPL10A	NM_007104	6p21.3-p21.2	ribosomal protein L10a	ribosomal protein of 60S subunit
