Function	Gene	Genbank	Fold Induction
Apoptosis	hemopoietic-specific early response protein	U29680	5.8
Apoptosis	MCL-1	L08246	5.2
Apoptosis	TNF-alpha converting enzyme	U69611	5.0
Apoptosis	glutathione synthetase	U34683	3.5
Apoptosis	CD40 receptor-associated factor 1 (CRAF1)	U21092	3.0
Apoptosis	DAP kinase 1	X76104	2.8
Apoptosis	DNA repair protein XRCC9	U70310	2.7
Apoptosis	p33ING1	AF001954	2.5
Cell adhesion	integrin alpha 7B precursor	X74295	5.2
Cell adhesion	integrin beta 8 precursor	M73780	4.4
Chaperones	HSC70-interacting protein; progesterone receptor-associated P48 protein	U28918	3.4
DNA damage and repair	DNA ligase I	M36067	4.4
DNA damage and repair	RAD23A	D21235	3.6
DNA damage and repair	G/T mismatch-specific thymine DNA glycosylase	U51166	3.5
DNA damage and repair	ataxia telangiectasia (ATM)	U33841	3.4
DNA damage and repair	Ku 70-kDa subunit	M32865	3.0
DNA damage and repair	RAD21	D38551	2.7
DNA damage and repair	ubiquitin-conjugating enzyme E2 17-kDa	M74524	2.6
DNA Synthesis & Cell Cycle	p21CIP1/ WAF1	U09579	8.7
DNA Synthesis & Cell Cycle	CDC16HS	U18291	5.6
DNA Synthesis & Cell Cycle	linker for activation of T-cells (LAT)	AF036905	3.8
DNA Synthesis & Cell Cycle	Cyclin A	X51688	3.4
DNA Synthesis & Cell Cycle	CLK3	L29220	3.0
Immune modulation	immunoglobulin heavy chain binding protein (BIP)	M19645	4.1
Nucleotide Metabolism	deoxycytidylate deaminase (dCMP deaminase)	L39874	2.3
Nucleotide Metabolism	uridine phosphorylase (UDRPase; UP)	X90858	2.3
Protease related	monocyte ARG-serpin	M18082	25.5
Protease related	MMP9	J05070	10.1
Protease related	CD147	L20471	6.2
Protease related	MMP8; neutrophil collagenase precursor	J05556	5.2
Protease related	Von Hippel-Lindau tumor suppressor protein (VHL)	L15409	4.2
Protease related	MMP11	X57766	2.8
Protein modification	CD13	M22324	5.4
Protein modification	suppressor for yeast mutant	D66904	3.8
Protein modification	CD75	X62822	2.7
Receptors	CD87	U08839	14.4
Receptors	sex	X87852	6.1
Receptors	CD82	U20770	5.1
Receptors	CD126; IL-6R	M20566	3.7
Receptors	IL-17 receptor	U58917	3.7
Receptors	ERBB-3	M29366	3.6
Receptors	tie-1	X60957; S89716	3.3
Receptors	FC-epsilon-receptor gamma subunit	M33195	2.8
Receptors	RAR-alpha	X06538	2.7
Receptors	mitogen-activated protein kinase p38	L35253	2.4
Receptors	NOTCH1	M73980	2.0
Ribosomal	40S ribosomal protein S9	U14971	3.8
RNA Processing	polypyrimidine tract-binding protein (PTB)	X65372	5.2
RNA Processing	2-5A synthetase 2	M87434	3.9
Signal Transducers	N-ras	X02751	21.7
Signal Transducers	EB1 protein	U24166	6.6
Signal Transducers	STAT1	M97935	6.2
Signal Transducers	p21-rac2	M64595	4.1
Signal Transducers	calcium/calmodulin-dependent protein kinase I (CAMKI)	L41816	3.3
Signal Transducers	c-src kinase	X59932	3.1
Signal Transducers	KIAA0151	D63485	3.1
Signal Transducers	alpha1 catenin	D13866	3.1
Signal Transducers	Wnt-8B	X91940	2.9
Signal Transducers	phospholipase A2	M86400	2.8
Signal Transducers	MAP kinase p38	L35253	2.8
Signal Transducers	MYD88	U70451	2.8
Signal Transducers	MAPKK 1	L05624	2.8
Signal Transducers	C-fgr; SRC2	M19722	2.7
Signal Transducers	vav oncogene	X16316	2.7
Signal Transducers	RalB GTP-binding protein	M35416	2.3
Signal Transducers	rhoC	L25081	2.3
Signal Transducers	protein kinase C inhibitor 1	U51004	2.2
Signal Transducers	integrin-linked kinase (ILK)	U40282	2.2
Signal Transducers	ribosomal protein S6 kinase II alpha 3	U08316	2.1
Signal Transducers	C-fes proto-oncogene	X52192	2.0
Signalling Molecules	platelet basic protein precursor (PBP)	M54995	17.1
Signalling Molecules	IL-1	K02770	8.7
Signalling Molecules	VEGF	M32977	5.5
Signalling Molecules	hepatoma-derived growth factor (HDGF)	D16431	3.2
Signalling Molecules	transforming growth factor-beta 3 (TGF-beta3)	J03241	2.4
Signalling Molecules	PDGF associated protein	U41745	2.3
Signalling Molecules	fibroblast growth factor 8	U36223	2.3
Trafficking	cytohesin-1	U59752	5.9
Trafficking	TRAM protein	X63679	3.1
Transcription	butyrate response factor 1	X79067	10.5
Transcription	NF-kappa-B p100 subunit	X61498	6.3
Transcription	IRF1	X14454	5.2
Transcription	c-jun; AP-1	J04111	4.8
Transcription	DNA-binding protein CPBP	U44975	3.9
Transcription	ELF1	M82882	2.5
Transcription	TAX1-binding protein 151 (TXBP151)	U33821	2.1
Unclassified	polyhomeotic 2 homolog (HPH2)	U89278	3.4
Xenobiotic metabolism	neutrophil cytosol factor 2	M25665	6.4
