Function	Gene	Genbank	Fold Supression
Amino acid metaobolism	aminoacylase 1 (ACY1)	L07548	2.3
Amino acid metaobolism	branched-chain amino acid aminotransferase mitochondrial precursor (BCAT(M))	U68418	2.1
Cell adhesion	thrombospondin 2	L12350	11.2
Cell adhesion	integrin beta 5	J05633	3.1
Cell adhesion	integrin alpha 4	L12002	2.7
DNA Damage and Repair	RAD52	U12134	2.3
DNA Damage and Repair	RAD23A	D21235	2.3
DNA Synthesis & Cell Cycle	cyclin-dependent kinase regulatory subunit 1	X54941	4.8
DNA Synthesis & Cell Cycle	p19-INK4D	U40343	3.6
DNA Synthesis & Cell Cycle	protein D123	D14878	2.7
DNA Synthesis & Cell Cycle	replication factor C 37-kDa subunit	M87339	2.1
Immune system	HLA class II histocompatibility antigen alpha chain	K01171	2.5
Immune system	HLA-DR antigen-associated invariant subunit	X00497	2.2
Nucleotide metabolism	UMK	D78335	2.7
Receptors	TGF beta receptor III	L07594	3.8
Receptors	CDW40 antigen	X60592	3.1
Receptors	antigen KI-67 (MKI67)	X65550	2.7
RNA Processing	polypyrimidine tract-binding protein	X65372	2.2
RNA Processing	allograft inflammatory factor 1 (AIF1)	U19713	6.4
Signal Transducers	NCK melanoma cytoplasmic src homolog (HSNCK)	X17576	4.1
Signal Transducers	MYD88	U70451	3.0
Signal Transducers	CRK-like protein	X59656	2.9
Signal Transducers	vav oncogene	X16316	2.5
Signal Transducers	EB1 protein	U24166	2.3
Signal Transducers	MAP kinase p38	L35253	2.2
Signal Transducers	endothelin 2 (ET2)	M65199	4.4
Signalling Molecules	IFN-gamma antagonist	A25270	3.3
Signalling Molecules	importin beta 1 subunit	L38951	3.6
Trafficking	atr-1	X55544	5.7
Transcription	ets transcription factor; NERF2	U43188	5.1
Transcription	E2F-3	Y10479	3.2
Transcription	BRCA1-associated ring domain protein (BARD1)	U76638	3.2
Transcription	early growth response protein 1 (hEGR1)	X52541	2.8
Transcription	zinc finger 5 protein	D89859	2.7
Transcription	NF-kappaB transcription factor p65 subunit	L19067	2.4
Transcription	tripartite motif-containing 22	X82200	2.3
Transcription	leukocyte interferon-inducible peptide	X02492	2.9
