Gene identifier	Gene name	Fold change MSC + CXCL7 versus MSC - CXCL7	Fold change (range) MSC + CXCL7	Fold change (range) MSC - CXCL7	Gene annotation
NM_001511	CXCL1	193.8	121.8	276.2	Chemokine
NM_002089	CXCL2	61.1	31.5	86.9	Chemokine
NM_002090	CXCL3	76.7	51.7	117.3	Chemokine
NM_002994	CXCL5	27.7	17.7	44.6	Chemokine
NM_002993	CXCL6	135	57	214.8	Chemokine
NM_000584	CXCL8 (interleukin 8, IL8)	146.6	37.7	249.9	Chemokine
NM_005409	CXCL11	8	2.5	14.4	Chemokine
NM_002982	CCL2	8.1	2.9	18.2	Chemokine
NM_005408	CCL13	3.5	2.4	5	Chemokine
NM_000600	Interleukin 6 (IL6)	14.6	6.8	33.2	gp130 mediated chemotaxis
NM_002309	Leukemia inhibitory factor	8.3	2.4	22.3	gp130 mediated chemotaxis
NM_002184	IL6 signal transducer	1.9	1.8	2.1	gp130 mediated chemotaxis
NM_002662	Phospholipase D1	2	1.8	2.3	IL8 mediated chemotaxis
NM_001540	Heat shock 27kDa protein 1	-2	-1.8	-2.4	p38 MAPK-dependent chemotaxis
NM_000963	Prostaglandin-endoperoxide synthase 2	11.9	3	27.8	Prostaglandin metabolism
NM_005525	Hydroxysteroid (11-beta) dehydrogenase 1	5.5	2.8	11.4	Prostaglandin metabolism
NM_004878	Prostaglandin E synthase	1.9	1.6	2	Prostaglandin metabolism
NM_019035	Protocadherin 18	-2.7	-1.6	-4.4	Cell adhesion
NM_007115	Tumor necrosis factor, alpha-induced protein 6	12.8	8.3	18.8	Cell adhesion, binds hyaluronan
M14333	FYN oncogene	2.4	1.9	2.8	Integrin mediated cell adhesion
BC003551	Transglutaminase 2	4.2	1.7	9.4	Positive regulator of cell adhesion
NM_003392	Wingless-type MMTV integration site family, member 5A	2.9	2.3	3.7	Cell adhesion/morphogenesis
NM_012134	Leiomodin 1	-4.3	-3.2	-5.7	Cytoskeleton
NM_133477	Synaptopodin 2	-3.8	-2.8	-5.4	Cytoskeleton
NM_004079	Cathepsin S	5	3.7	6.5	Matrix degradation/remodeling
NM_002421	Matrix metallopeptidase 1	128.2	34.9	203.9	Matrix degradation/remodeling
NM_002427	Matrix metallopeptidase 13	6.2	2.4	10.7	Matrix degradation/remodeling
NM_000935	Procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2	3	1.7	5.2	Matrix synthesis/collagen
NM_001523	Hyaluronan synthase 1	5.2	1.7	13.3	Matrix synthesis/hyaluronan
NM_018371	Chondroitin beta1,4, N-acetylgalactosaminyl-transferase	5.4	3.7	6.8	Matrix synthesis/proteoglycan
M35533	Lipopolysaccharide binding protein	3.4	2.1	5.5	Toll-like receptor signaling pathway
NM_020529	Nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha	3.5	2.2	4.6	Toll-like receptor signaling pathway
NM_000600	Interleukin 6 (IL6)	14.6	6.8	33.2	Toll-like receptor signaling pathway
NM_000584	CXCL8 (interleukin 8, IL8)	146.6	37.7	249.9	Toll-like receptor signaling pathway
NM_005409	CXCL11	8	2.5	14.4	Toll-like receptor signaling pathway
