P	Gene symbol	Map	Description
0.0499	HIST1H2BC	6p21.3	histone 1, H2bc
0.0492			CDNA clone IMAGE:5259731
0.0489	BOLA3	2p13.1	bolA-like 3 (E. coli)
0.0486	FBXO10	9p13.2	Chromosome 9 open reading frame 105
0.0484	APOBEC3G	22q13.1-q13.2	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G
0.0484	IRF2	4q34.1-q35.1	interferon regulatory factor 2
0.0484	KIAA1698	11q12.3	KIAA1698 protein
0.0484	NDUFA8	9q33.2-q34.11	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 8, 19kDa
0.0484	ZNF416	19q13.4	zinc finger protein 416
0.0482	CDC14B	9q22.33	CDC14 cell division cycle 14 homolog B (S. cerevisiae)
0.0482	CDK5R1	17q11.2	cyclin-dependent kinase 5, regulatory subunit 1 (p35)
0.0482	FLJ11046	3q12.2	Hypothetical protein FLJ11046
0.0482	MBNL2	13q32.1	Muscleblind-like 2 (Drosophila)
0.0482	SAMSN1	21q11	SAM domain, SH3 domain and nuclear localisation signals, 1
0.0482	ZNF573		zinc finger protein 573
0.0468	IL6ST	5q11	Interleukin 6 signal transducer (gp130, oncostatin M receptor)
0.0466	BUCS1	16p12.3	Acyl-CoA synthetase medium-chain family member 1
0.0463	KIAA0317	14q24.3	KIAA0317
0.0463	SFRS6	20q12-q13.1	splicing factor, arginine/serine-rich 6
0.0457	ICOSLG	21q22.3	inducible T-cell co-stimulator ligand
0.0453	KIAA1727	4q31.3	KIAA1727 protein
0.0452	PCNX	14q24.2	pecanex homolog (Drosophila)
0.0452	ZCCHC7	9p13.2	Zinc finger, CCHC domain containing 7
0.0449	KLF2	19p13.13-p13.11	Kruppel-like factor 2 (lung)
0.0429	HSPA1A	6p21.3	heat shock 70kDa protein 1A
0.0423	ABCB1	7q21.1	ATP-binding cassette, sub-family B (MDR/TAP), member 1
0.0423	RANBP2	2q12.3	RAN binding protein 2
0.0421	FGL2	7q11.23	fibrinogen-like 2
0.0421	FLJ20232	22q13	hypothetical protein FLJ20232
0.0421	H1FX	3q21.3	H1 histone family, member X
0.0416	RAPGEF5	7p15.3	Rap guanine nucleotide exchange factor (GEF) 5
0.0415	CASP8	2q33-q34	caspase 8, apoptosis-related cysteine peptidase
0.0415	H3F3B	17q25	H3 histone, family 3B (H3.3B)
0.0412	ALOX5	10q11.2	Arachidonate 5-lipoxygenase
0.0412	CYFIP1	15q11	cytoplasmic FMR1 interacting protein 1
0.0412	FLJ38426	15q14	Hypothetical protein FLJ38426
0.0412	ZNF559	19q13.12	zinc finger protein 559 ; zinc finger protein 559
0.041	LAT2	7q11.23	linker for activation of T cells family, member 2
0.0409	ADRB2	5q31-q32	adrenergic, beta-2-, receptor, surface
0.0409	APBB2	4p14	Amyloid beta (A4) precursor protein-binding, family B, member 2 (Fe65-like)
0.0409	RAB31	18p11.3	RAB31, member RAS oncogene family
0.0408	HDAC9	7p21.1	Histone deacetylase 9
0.0408	LOC388650	1p22.1	Ribosomal protein L5
0.0405	DIRC2	3q21.1	disrupted in renal carcinoma 2
0.0405	RHOB	2p24	ras homolog gene family, member B
0.0402	FLJ38379	2q37.3	hypothetical protein FLJ38379
0.04	API5	11p12-q12	Apoptosis inhibitor 5
0.0397	NEK3	13q14.13	NIMA (never in mitosis gene a)-related kinase 3
0.0395	RSN	12q24.3	Restin (Reed-Steinberg cell-expressed intermediate filament-associated protein)
0.0393	LOC440092	12p11.22	hypothetical gene supported by BC035168
0.0391	PLXNC1	12q23.3	plexin C1
0.0389	RAB12, member RAS oncogene family	18p11.22	RAB12, member RAS oncogene family
0.0388	HIST1H2BC	6p21.3	histone 1, H2bc
0.0385	PTD012	11q21	PTD012 protein
0.0383	IGHA1 ; IGHA2 ; MGC27165	14q32.33	immunoglobulin heavy constant alpha 1 ; immunoglobulin heavy constant alpha 2 (A2m marker) ; hypothetical protein MGC27165
0.0383	LOC201895	4p14	Hypothetical protein LOC201895
0.0382	GOLPH3L	1q21.2	golgi phosphoprotein 3-like
0.0382	SOCS5	2p21	suppressor of cytokine signaling 5
0.038	DDX17	22q13.1	DEAD (Asp-Glu-Ala-Asp) box polypeptide 17 ; DEAD (Asp-Glu-Ala-Asp) box polypeptide 17
0.0375	PRKCBP1	20q13.12	protein kinase C binding protein 1
0.0366	GOLGA5	14q32.12-q32.13	golgi autoantigen, golgin subfamily a, 5
0.0366	KIF1B	1p36.2	kinesin family member 1B
0.0363	APBB2	4p14	amyloid beta (A4) precursor protein-binding, family B, member 2 (Fe65-like)
0.0358	TMEM14C	6p24.1	transmembrane protein 14C
0.0358			Clone DNA71180 cerebellin (UNQ755)
0.0357	RAB2	8q12.1	RAB2, member RAS oncogene family
0.0357	TA-LRRP	1p22.2	Leucine rich repeat containing 8 family, member B
0.0357	TSN	2q21.1	translin
0.0355	HDHD2	18q21.1	haloacid dehalogenase-like hydrolase domain containing 2
0.0355	MCPH1	8p23.1	microcephaly, primary autosomal recessive 1
0.0355	RAPGEF2	4q32.1	Rap guanine nucleotide exchange factor (GEF) 2
0.0352	C1orf121	1q44	chromosome 1 open reading frame 121
0.0352	FLJ39779	14q24.1	FLJ39779 protein
0.0352	GSTT1	22q11.23	glutathione S-transferase theta 1
0.0352	HIST1H1C	6p21.3	histone 1, H1c
0.0352	RHOB	2p24	ras homolog gene family, member B
0.0349	PPP1R10	6p21.3	protein phosphatase 1, regulatory subunit 10
0.0348	C16orf34	16p13.3	chromosome 16 open reading frame 34
0.0348	LOC54103	7q11.23	Hypothetical protein LOC54103
0.0344	MGST3	1q23	microsomal glutathione S-transferase 3
0.0342	ACSM3	16p13.11	acyl-CoA synthetase medium-chain family member 3
0.0342	AIM2	1q22	absent in melanoma 2
0.0342	HIST2H4	1q21	Histone 2, H4
0.0342	SNX9	6q25.1-q26	sorting nexin 9
0.0342	ZFP36L2	2p22.3-p21	zinc finger protein 36, C3H type-like 2
0.034	ATP5C1	10p15.1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1
0.034	KLF12	13q22	Kruppel-like factor 12
0.0336	HCG8	6p21.3	HLA complex group 8
0.0332	MGC10744	17p13.1	hypothetical protein MGC10744 ; hypothetical protein MGC10744
0.0332	PRR8	7q36.3	proline rich 8
0.0331	ANXA5	4q26-q28|4q28-q32	annexin A5
0.033	SOS1	2p22-p21	Son of sevenless homolog 1 (Drosophila)
0.0322	IRF5	7q32	interferon regulatory factor 5
0.032	MDM4	1q32	Mdm4, transformed 3T3 cell double minute 4, p53 binding protein (mouse)
0.032	NKTR	3p23-p21	natural killer-tumor recognition sequence
0.0319	PRR8	7q36.3	proline rich 8
0.0315	APOBEC3G ; APOBEC3F	22q13.1-q13.2 ; 22q13.1	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3G ; apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3F
0.0315	EZH2	7q35-q36	Enhancer of zeste homolog 2 (Drosophila)
0.0312	CRELD1	3p25.3	cysteine-rich with EGF-like domains 1
0.0311	PRO0149	16p13.2	PRO0149 protein
0.031	PIGR	1q31-q41	polymeric immunoglobulin receptor
0.0309	FLJ10726	11q23.1	Hypothetical protein FLJ10726
0.0305	MTSS1	8p22	metastasis suppressor 1
0.0301	IL6ST	5q11	interleukin 6 signal transducer (gp130, oncostatin M receptor)
0.03	HSPA1B	6p21.3	heat shock 70kDa protein 1B
0.0298	SCAP2	7p21-p15	src family associated phosphoprotein 2
0.0297	ALDH6A1	14q24.3	Aldehyde dehydrogenase 6 family, member A1
0.0297	JAK1	1p32.3-p31.3	Janus kinase 1 (a protein tyrosine kinase)
0.0296	APBB2	4p14	Amyloid beta (A4) precursor protein-binding, family B, member 2 (Fe65-like)
0.0291	FLJ20232	22q13	hypothetical protein FLJ20232
0.0291	OTUD1	10p12.31	OTU domain containing 1
