Accession Number	Gene Name	Gene Symbol	Locus Link	Reporter Id	Golub score	Sign#
AA278402	microtubule-actin crosslinking factor 1	MACF1	23499	712527	4.989854	+
AA234897	MADS box transcription enhancer factor 2, polypeptide C (myocyte enhancer factor 2C)	MEF2C	4208	687270	4.500701	+
BX108026	caspase 5, apoptosis-related cysteine protease	CASP5	838	341763	3.740445	+
R15978	hypothetical protein MGC2452	MGC2452	84730	53245	3.683956	+
R13534	mitochondrial ribosomal protein S21	MRPS21	54460	26307	3.595174	-
R98532	hypothetical protein AD158	AD158	84230	201168	3.482898	+
AA682490	H. Sapiens transcribed sequences		0	450645	3.471276	-
AA682502	BCL2-like 11 (apoptosis facilitator)	BCL2L11	10018	450653	3.462854	-
W93688	H. Sapiens mRNA; cDNA DKFZp762M127 (from clone DKFZp762M127)		0	357298	3.41335	+
AI478660	likely ortholog of mouse zinc finger protein 30	ZFP30	22835	2161986	3.39139	+
T67053	H. Sapiens cDNA FLJ26905 fis, clone RCT01427, highly similar to Ig lambda chain C regions		0	66560	3.163876	-
T67053	H. Sapiens cDNA FLJ26905 fis, clone RCT01427, highly similar to Ig lambda chain C regions		0	66560	3.112659	-
AA504752	nucleoporin 210	NUP210	23225	825647	3.065285	+
W78831	Multiple Cluster Hits:512732&26232	NEIL1 / MAN2C1	79661, 4123	415610	3.019601	-
BX089501	CD58 antigen, (lymphocyte function-associated antigen 3)	CD58	965	490368	2.995411	+
H18531	H. Sapiens, clone IMAGE:5728597, mRNA		375159	50877	2.978755	-
H12784	KIAA0738 gene product	KIAA0738	9747	148763	2.970682	+
AA608512	UPF3 regulator of nonsense transcripts homolog A (yeast)	UPF3A	65110	950568	2.920029	-
AA485626	S-adenosylhomocysteine hydrolase	AHCY	191	840364	2.886312	-
AA505081	Multiple Cluster Hits:82389&160918	MRPL48 / SIMP	51642, 201595	825669	2.865924	+
AA451811	Rho GTPase activating protein 21	ARHGAP21	57584	795277	2.789704	+
AI301753	eukaryotic translation initiation factor 2, subunit 3 gamma, 52kDa	EIF2S3	1968	1897592	2.778318	-
AA449419	formin-like 2	FMNL2	114793	785549	2.715999	+
AI886264	bone morphogenetic protein 7 (osteogenic protein 1)	BMP7	655	2440877	2.654079	-
AW004895	heat shock 60kDa protein 1 (chaperonin)	HSPD1	3329	2565316	2.575154	-
AA458953	KIAA1181 protein	KIAA1181	57222	810846	2.532262	+
AA465459	DEAD (Asp-Glu-Ala-Asp) box polypeptide 21	DDX21	9188	814117	2.511958	-
R71440	serine (or cysteine) proteinase inhibitor, clade H (heat shock protein 47), member 1, (collagen binding protein 1)	SERPINH1	871	142788	2.493988	+
AA521345	BTB (POZ) domain containing 2	BTBD2	55643	826133	2.492681	+
AA464708	eukaryotic translation initiation factor 2, subunit 3 gamma, 52kDa	EIF2S3	1968	810237	2.439912	-
H99944	polyposis locus protein 1	DP1	7905	263267	2.399816	+
AA190339	dual specificity phosphatase 3 (vaccinia virus phosphatase VH1-related	DUSP3	1845	627417	2.382874	+
