Rank order	Probe set ID	Gene symbol	Gene description	Relative expressionb	LDA statistic
1	35361_at	PINK1	PTEN induced putative kinase 1	-	-0.0029
2	39320_at	CASP1	Caspase 1, apoptosis-related cysteine protease (interleukin 1, beta, convertase)	-	-0.0026
3	40139_at	FRAP1	FK506 binding protein 12-rapamycin associated protein 1	+	-0.0023
4	906_at	STAT4	Signal transducer and activator of transcription 4	-	-0.0023
5	40089_at	WBSCR20	Williams Beuren syndrome chromosome region 20	-	-0.0022
6	37320_at	PTDSS1	Phosphatidylserine synthase 1	+	-0.0022
7	39607_at	MTMR8	Myotubularin related protein 8	+	-0.0021
8	35662_at	CASP6	Caspase 6, apoptosis-related cysteine protease	+	-0.0019
9	39986_at	DKFZP586D0919	Hepatocellularcarcinoma-associated antigen HCA557a	-	-0.0019
10	41196_at	KPNB1	Karyopherin (importin) beta 1	+	-0.0018
11	1633_g_at	PIM2	Pim-2 oncogene	+	-0.0018
12	37679_at	IFRD1	Interferon-related developmental regulator 1	+	-0.0018
13	37232_at	KIAA0586	KIAA0586 gene product	-	-0.0017
14	38431_at	MAPK9	Mitogen-activated protein kinase 9	-	-0.0017
15	33650_at	DDX27	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 27	-	-0.0017
16	40071_at	CYP1B1	Cytochrome P450, subfamily I (dioxin-inducible), polypeptide 1 (glaucoma 3, primary infantile)	-	-0.0016
17	38171_at	HAN11	WD-repeat protein	-	-0.0015
18	2039_s_at	FYN	FYN oncogene related to SRC, FGR, YES	-	-0.0015
19	36787_at	GATA1	GATA binding protein 1 (globin transcription factor 1)	-	-0.0015
20	36437_s_at		Homo sapiens KB07 protein mRNA, partial cds	+	-0.0014
21	32033_at	CHKB	Choline kinase beta	+	-0.0014
22	32045_at	DATF1	Death associated transcription factor 1	+	-0.0014
23	35127_at	HIST1H2AE	histone 1, H2ae	+	-0.0014
24	39993_at	PIGA	Phosphatidylinositol glycan, class A (paroxysmal nocturnal hemoglobinuria)	-	-0.0013
25	41692_at	SYNJ1	Synaptojanin 1	-	-0.0013
26	31670_s_at	CAMK2G	Calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma	-	-0.0013
27	36703_at	CCL25	Chemokine (C-C motif) ligand 25	+	-0.0013
28	440_at	NFIC	Nuclear factor I/C (CCAAT-binding transcription factor)	-	-0.0013
29	34560_at	S100A5	S100 calcium binding protein A5	-	-0.0013
30	34348_at	SPINT2	Serine protease inhibitor, Kunitz type, 2	+	-0.0013
31	36476_at	SMAP	Thyroid hormone receptor coactivating protein	-	-0.0013
32	41715_at	PIK3C2B	Phosphoinositide-3-kinase, class 2, beta polypeptide	+	-0.0013
33	39054_at	GSTM1	Glutathione S-transferase M1	-	-0.0013
34	36945_at	C12orf8	Chromosome 12 open reading frame 8	+	-0.0013
35	37950_at	PREP	Prolyl endopeptidase	-	-0.0013
36	36100_at	VEGF	Vascular endothelial growth factor	+	-0.0013
37	36603_at	GCN1L1	GCN1 general control of amino-acid synthesis 1-like 1 (yeast)	+	-0.0012
38	39997_at	PFC	Properdin P factor, complement	-	-0.0012
39	41264_at		Homo sapiens mRNA; cDNA DKFZp586F1322 (from clone DKFZp586F1322)	+	-0.0012
40	38735_at	KIAA0513	KIAA0513 gene product	-	-0.0012
41	31842_at	BCS1L	BCS1-like (yeast)	+	-0.0012
42	32955_at	HSPC132	Hypothetical protein HSPC132	+	-0.0012
43	36176_at	TBCC	Tubulin-specific chaperone c	+	-0.0012
44	35371_at	LRBA	Vesicle trafficking, beach and anchor containing	-	-0.0012
45	39112_at	USF2	Upstream transcription factor 2, c-fos interacting	+	-0.0012
46	182_at	ITPR3	Inositol 1,4,5-triphosphate receptor, type 3	+	-0.0012
47	35743_at	CPSF4	Cleavage and polyadenylation specific factor 4, 30kD subunit	+	-0.0012
48	1685_at	SPHAR	S-phase response (cyclin-related)	+	-0.0012
49	31802_at	KIAA0226	KIAA0226 gene product	+	-0.0012
50	40447_at	LPIN2	Lipin 2	-	-0.0012
51	36652_at	UROS	Uroporphyrinogen III synthase (congenital erythropoietic porphyria)	-	-0.0012
52	38340_at	HIP1R	Huntington interacting protein-1 related	+	-0.0012
53	447_g_at	CSNK1G2	Casein kinase 1, gamma 2	-	-0.0012
54	40376_at	ARSE	Arylsulfatase E (chondrodysplasia punctata 1)	+	-0.0012
55	37445_at	TMEM5	Transmembrane protein 5	-	-0.0012
56	39705_at	SIN3B	SIN3 homolog B, transcriptional regulator (yeast)	+	-0.0012
57	38567_at	CD1D	CD1D antigen, d polypeptide	-	-0.0012
58	34723_at	COX11	COX11 homolog, cytochrome c oxidase assembly protein (yeast)	-	-0.0011
59	33448_at	SPINT1	Serine protease inhibitor, Kunitz type 1	+	-0.0011
60	34818_at	ETV5	Ets variant gene 5 (ets-related molecule)	-	-0.0011
61	32842_at	BCL7A	B-cell CLL/lymphoma 7A	+	-0.0011
62	35201_at	HNRPL	Heterogeneous nuclear ribonucleoprotein L	-	-0.0011
63	41275_at	E2F5	E2F transcription factor 5, p130-binding	+	-0.0011
64	36012_at	C13orf24	Chromosome 13 open reading frame 24	+	-0.0011
65	37061_at	CHIT1	Chitinase 1 (chitotriosidase)	-	-0.0011
66	1067_at	FLT3LG	Fms-related tyrosine kinase 3 ligand	+	-0.0011
67	32624_at	GARNL1	GTPase activating Rap/RanGAP domain-like 1	-	-0.0011
68	2028_s_at	E2F1	E2F transcription factor 1	+	-0.0011
69	39784_at	EIF2S1	Eukaryotic translation initiation factor 2, subunit 1 (alpha, 35kD)	-	-0.0011
70	39727_at	DUSP11	Dual specificity phosphatase 11 (RNA/RNP complex 1-interacting)	-	-0.0011
