GenBankTM No.	Gene	Description	-Fold increase a	p valueb	Function
X12662	ARG1	Arginase	115.5	0.0002	Cell metabolism
L06797	CXCR4	Chemokine (C-X-C motif), receptor 4 (fusin)	58.8	<0.0001	Chemokine receptor
U81607	AKAP12	A kinase (PRKA) anchor protein (gravin) 12	15.9	0.0002	Cell signaling
U78095	SPINT2	Serine protease inhibitor, Kunitz type, 2	15.5	0.0002	Protease inhibitor
D50917	KIAA0127	KIAA0127 gene product	15.3	<0.0001	Unknown
M31166	PTX3	Pentraxin 3	13.8	<0.0001	Immune response
D13639	CCND2	Cyclin D2	11.1	<0.0001	Cell cycle
M26311	S100A9	S100 calcium-binding protein A9	10.6	0.0006	Neutrophil function
D10923	HM74	Chemokine receptor; G protein-coupled receptor family	10.1	<0.0001	Chemokine receptor
X61123	BTG1	B-cell translocation gene 1, anti-proliferative	9.9	0.01	Cell cycle
M21624	TCRD	T-cell receptor delta locus	8.1	<0.0001	Immune response
U72649	BTG2	B-cell translocation gene 2, anti-proliferative	6.9	<0.0001	Cell cycle
U29680	BCL2A1	BCL2-related protein A1 (BFL1)	6.9	<0.0001	Apoptosis
U28488	C3AR1	Complement component 3a receptor 1	6.3	<0.0001	Neutrophil function
X53296	IL1RN	Interleukin 1 receptor antagonist	5.6	0.0005	Immune response
U79288		EST	5.5	<0.0001	Unknown
D25217	KIAA0027	KIAA0027	5.4	0.02	Unknown
AF000424	LST1	Leukocyte-specific transcript 1	5.3	<0.0001	Interferon-inducible protein
X70940	EEF1A2	Eukaryotic translation elongation factor 1, alpha 2	5.3	<0.0001	Protein translation
AJ000480	C8FW	C8FW gene; phosphoprotein	5.1	<0.0001	Unknown
U26173	NFIL3	Nuclear factor, interleukin-3 regulated	4.9	<0.0001	Transcription factor
X06985	HMOX1	Heme oxygenase 1	4.8	<0.0001	Other
U55206	GGH	y-Glutamyl hydrolase	4.5	<0.0001	Other
U29953	PEDF	Pigment epithelium-derived factor	4.5	<0.0001	Anti-angiogenic factor
U25138	KCNMB1	Potassium large conductance calcium-activated channel, subfamily M,  B member 1	4.3	<0.0001	Ion channel
HG4322- HT4592	TUBB	Tubulin,  B-polypeptide	4	<0.0001	Cytoskeletal
D14520	BTEB2	Basic transcription element-binding protein 2	3.9	0	Transcription factor
U77643	SECTM1	Secreted and transmembrane 1	3.6	<0.0001	Unknown
U77396	LITAF	LPS-induced TNFa factor	3.6	<0.0001	Neutrophil function
D00749	CD7	CD7 antigen; T cell surface antigen	3.5	<0.0001	Unknown
Y00339	CA2	Carbonic anhydrase II	3.4	<0.0001	Cell metabolism
D87468	KIAA0278	Similar to rat growth factor Arc (U19866)	3.4	0	Unknown
Z81326	PI12	Protease inhibitor 12 (neuroserpin)	3.4	<0.0001	Protease inhibitor
X89986	BIK	BCL2-interacting killer (apoptosis-inducing)	3.3	<0.0001	Apoptosis
M30894	CD3G	CD3 antigen,  y-subunit	3.2	<0.0001	Cell signaling
M97796	ID2	Inhibitor of DNA binding 2	3.2	<0.0001	Transcription factor
U59863	TANK	TRAF family member-associated NF- kB activator	3.2	<0.0001	Cell signaling
U59877	RAB31	Ras-associated protein RAB31	3.2	<0.0001	Unknown
U02082	TIM	Oncogene TIM	3.2	<0.0001	Cytoskeletal
U19523	GCH1	GTP cyclohydrolase 1	2.8	<0.0001	Cell metabolism
M55542	GBP1	Guanylate binding protein 1, interferon-inducible, 67 kDa	2.8	<0.0001	Interferon-inducible protein
U76189	EXTL2	Exostosin-like 2	2.8	<0.0001	Other
U02556	TCTE1L	T-complex associated testis-expressed 1-like	2.7	<0.0001	Unknown
L09229	FACL1	Fatty acid CoA ligase, long chain 1	2.7	<0.0001	Cell metabolism
Y00062	PTPRC	Protein-tyrosine phosphatase, receptor type, C	2.7	<0.0001	Cell signaling
X65965	SOD2	Superoxide dismutase 2	2.6	<0.0001	Cell metabolism
X91911	RTVP1	Glioma pathogenesis-related protein	2.6	<0.0001	Immune response
M64572	PTPN3	Protein-tyrosine phosphatase, non-receptor type 3	2.5	<0.0001	Cell signaling
X05908	ANX1	Annexin 1; lipocortin 1	2.4	<0.0001	Neutrophil function
M33308	VCL	Vinculin	2.4	<0.0001	Cytoskeletal
D87464	KIAA0274	KIAA0274 gene product	2.3	<0.0001	Unknown
L13391	RGS2	Regulator of G protein signaling 2, 24 kDa	2.2	<0.0001	Cell signaling
