Accession Number	Gene Name	Gene Symbol	Locus Link	Reporter Id	Golub score	Sign#
H99430	PRKC, apoptosis, WT1, regulator	PAWR	5074	262268	0.906551	+
AA778198	pre-B-cell leukemia transcription factor 3	PBX3	5090	448386	0.875944	-
AA159688	ecotropic viral integration site 2B	EVI2B	2124	593183	0.852358	-
R28608	microtubule-associated protein, RP/EB family, member 2	MAPRE2	10982	133518	0.845296	+
N38893	muscleblind-like (Drosophila)	MBNL1	4154	280004	0.830329	-
AA460666	NEDD9 interacting protein with calponin homology and LIM domains	NICAL	64780	796240	0.796441	-
AA485607	CGI-69 protein	CGI-69	51629	811062	0.790246	+
AI362937	complexin 1	CPLX1	10815	2019008	0.772451	-
AA159688	ecotropic viral integration site 2B	EVI2B	2124	593183	0.763873	-
T62715	aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase)	AKR7A2	8574	79592	0.733114	-
AA504513	eukaryotic translation initiation factor 2C, 4	EIF2C4	192670	825363	0.729735	-
T55704	interleukin-1 receptor-associated kinase 1 binding protein 1	IRAK1BP1	134728	73608	0.726523	-
AA485214	nucleobindin 2	NUCB2	4925	815794	0.715631	-
AA485214	nucleobindin 2	NUCB2	4925	815794	0.715033	-
BX094942	H.s transcribed sequence. weak similarity to ref:NP_060312.1 (Hs) hypothetical protein FLJ20489 [H.S]		0	128561	0.713739	-
H93149	ecotropic viral integration site 2A	EVI2A	2123	231675	0.700856	-
N55360	histidine ammonia-lyase	HAL	3034	245881	0.700124	-
AA166810	DKFZP564K1964 protein	DKFZP564K1964	26022	593840	0.699666	-
N95657	chromosome 10 open reading frame 9	C10orf9	219771	293977	0.698238	+
AA459589	tumor protein p53 inducible nuclear protein 1	TP53INP1	94241	814528	0.692676	+
AA670436	glycine C-acetyltransferase (2-amino-3-ketobutyrate coenzyme A ligase)	GCAT	23464	878850	0.686439	+
AI373188	H. Sapiens transcribed sequences		0	2021401	0.677071	+
AA609009	protein phosphatase methylesterase-1	PME-1	51400	1030791	0.663216	+
AA490828	hypothetical protein MGC33602	MGC33602	130814	824312	0.660062	-
AA666312	vesicle-associated membrane protein 1 (synaptobrevin 1)	VAMP1	6843	859192	0.658834	+
W74668	glycophorin C (Gerbich blood group)	GYPC	2995	344720	0.65826	+
N48270	H. Sapiens cDNA FLJ27052 fis, clone SPL00459		0	282162	0.656469	-
AW029299	interleukin 17 receptor	IL17R	23765	2543085	0.655778	-
BX114703	Multiple Cluster Hits:174103&521448	ITGAL	3683	154015	0.655412	-
AA485533	adenosine monophosphate deaminase 2 (isoform L)	AMPD2	271	811013	0.654979	+
BX106808	dedicator of cytokinesis 8	DOCK8	81704	742569	0.653757	-
AA465416	lamina-associated polypeptide 1B	LAP1B	26092	814059	0.651237	-
AA454968	axotrophin	AXOT	64844	811888	0.651109	-
AA012866	ADP-ribosylation factor 6	ARF6	382	360885	0.646815	-
T51851	heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)	HNRPU	3192	75017	0.644842	-
R53942	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 4	SLC25A4	291	40026	0.64429	+
R83610	MAD, mothers against decapentaplegic homolog 1 (Drosophila)	MADH1	4086	187614	0.642559	+
W52082	mitochondrial ribosomal protein L33	MRPL33	9553	325520	0.642461	-
AI365246	SOCS box-containing WD protein SWiP-1	WSB1	26118	2029453	0.640653	+
H78365	CGI-119 protein	CGI-119	51643	233550	0.639871	-
R12181	CUG triplet repeat, RNA binding protein 1	CUGBP1	10658	25588	0.639868	+
AA278852	thyroid receptor interacting protein 15	TRIP15	9318	703550	0.638472	-
AI688440	diazepam binding inhibitor (GABA receptor modulator, acyl-Coenzyme A binding protein)	DBI	1622	2325844	0.633383	-
AA486942	capping protein (actin filament), gelsolin-like	CAPG	822	841059	0.632392	-
AW055113	ornithine decarboxylase antizyme 1	OAZ1	4946	2556738	0.63026	-
