Order	F	ProbeSet	Contrast	P-value	Boot- strap	Gene symbol	Chromosome	Description
1	143.9	1495_at	2222.37	0.002	2.8	LTBP1	2p22-p21	latent transforming growth factor beta binding protein 1
2	115.4	36143_at	1151.13	0.003	7.4	CASP3	4q34	caspase 3, apoptosis-related cysteine protease
3	93.07	38095_i_at	-3098.79	0.004	11.3	HLA-DPB1	6p21.3	major histocompatibility complex, class II, DP beta 1
4	92.22	37242_at	2267.99	0.011	22.7	FTO	16q12.2	fatso
5	87.82	41027_at	3380.03	0.015	23.3	FOXC1	6p25	forkhead box C1
6	81.26	32667_at	1600.12	0.003	21.6	COL4A5	Xq22	collagen, type IV, alpha 5 (Alport syndrome)
7	80.55	37344_at	-1905.37	0.010	21.4	HLA-DMA	6p21.3	major histocompatibility complex, class II, DM alpha
8	77.88	38096_f_at	-2678.34	0.012	25.8	HLA-DPB1	6p21.3	major histocompatibility complex, class II, DP beta 1
9	77.65	35016_at	-2326.1	0.007	30.2	CD74	5q32	CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)
10	75.92	38833_at	-2496.39	0.005	27.4	HLA-DPA1	6p21.3	major histocompatibility complex, class II, DP alpha 1
11	74.75	34748_at	2148.38	0.015	30.3	RASGRP3	2p25.1-p24.1	RAS guanyl releasing protein 3 (calcium and DAG-regulated)
12	72.68	41723_s_at	-2809.97	0.001	24.5	HLA-DRB3	6p21.3	major histocompatibility complex, class II, DR beta 3
13	69.23	33279_s_at	604.94	0.010	47.2	SAH	16p13.11	SA hypertension-associated homolog (rat)
14	68.7	41348_at	430.79	0.034	74.9	IRX5	16q11.2-q13	iroquois homeobox protein 5
15	67.7	34789_at	-1632.72	0.021	51.2	SERPINB6	6p25	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 6
