Rank #	Lion ID	Gene Symbol	Acc ID	Chip Experiment #1	Chip Experiment #2	Chip Experiment #3	Chip Experiment #4	Chip Experiment #5	Gene Name	Chrom Position	Molecular Function	Biological Process
1	MG-3-140l14	Hcr	2385321	11,5|592	11,9|821	10,4|3393	9,2|7824	12,7|2149	HCR (a-helix coiled-coil rod homolog)	17 / 34Mb	NA	NA
2	MG-13-47i12	Serpina12	191530	8,5|319	9,1|774	10,2|4252	9,9|4605	9,9|6008	serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 12	12 / 97Mb	endopeptidase inhibitor activity, serine protease inhibitor activity	NA
3	MG-26-97e2	NA	NA	11,0|520	13,8|731	8,0|1356	8,5|7392	5,3|6341	/ (repeat sequence ?)	multiple matches	NA	NA
4	MG-13-1a3	Gpnmb	1934765	3,3|864	5,1|923	4,4|4407	4,5|2534	3,9|3302	glycoprotein (transmembrane) nmb	6 / 49Mb	carbon-nitrogen ligase activity, with glutamine as amido-N-donor / cell adhesion molecule activity / heparin binding / integrin binding	cell adhesion / metabolism
5	MG-13-133j7	Sox9	98371	3,1|633	3,3|713	5,3|3524	2,9|1750	3,9|3343	SRY-box containing gene 9	11 / 11Mb	DNA binding / protein binding / transcription factor activity	cartilage condensation / cell differentiation / male germ-line sex determination / male gonad development / regulation of transcription
6	MG-6-92d9	Ngef	1858414	6,2|161	13,6|130	7,3|519	6,1|955	2,4|894	neuronal guanine nucleotide exchange factor	1 / 87Mb	NA	cell growth and/or maintenance
7	MG-6-2c3	Hmga1 (1NA2) Hmga-rs1	96160	2,9|507	4,1|833	4,5|1336	2,4|1997	3,9|3601	high mobility group AT-hook 1	17 / 26Mb           (11 / 121Mb         11 / 46Mb)	DNA binding	chromosome organization and biogenesis / DNA packaging / regulation of transcription
8	MG-12-133p17	Sema3c	107557	2,3|125	4,1|146	3,1|456	3,1|537	2,5|393	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3C	5 / 15Mb	NA	development / neurogenesis
9	MG-11-1g15	1300019H17Rik	1914149	3,3|344	2,8|582	2,3|1650	2,7|1066	2,5|857	RIKEN cDNA 1300019H17 gene	5 / 73Mb	NA	NA
10	MG-3-120k1	NA	AK089224	3,1|178	2,7|291	4,1|1000	2,6|370	2,2|811	NA	7 / 16Mb	NA	NA
11	MG-4-146h23	Hmga1 (2NA2) Hmga-rs1	96160	2,2|183	4,1|190	4,1|2131	2,9|597	3,4|4324	high mobility group AT-hook 1	17 / 26Mb           (11 / 121Mb         11 / 46Mb)	DNA binding	chromosome organization and biogenesis / DNA packaging / regulation of transcription
