GenBank accession No.	Genesymbol	Description	Intensity (DX100/WT)
AA780028	IGSF1	Immunoglobulin superfamily,member 1	0.09
M59818	CSF3R	Colony stimulating factor 3 receptor (granulocyte)	0.11
AA428209	CPD	Carboxypeptidase D	0.13
H12044	CYFIP2	Cytoplasmic FMR1 interacting protein 2	0.13
AA700876	ORM2	Orosomucoid 2	0.17
AI769855	DEFB1	Defensin, beta1	0.18
AA457700	SCD	Stearoyl-CoA desaturase (delta-9-desaturase)	0.20
H72722	MT1B	Metallothionein 1B (functional)	0.20
H77766	MT1H	Metallothionein 1H	0.20
R32848		EST	0.21
AA279531	ITGB2	Integrin, beta 2 (antigen CD18 (p95), lymphocyte function-associated antigen 1	0.24
T68035	ITIH3	Pre-alpha (globulin) inhibitor, H3 polypeptide	0.24
M93426	PTPRZ1	Protein tyrosine phosphatase, receptor-type, Z polypeptide 1	0.24
M63959	LRPAP1	Low density lipoprotein-related protein-associated protein 1	0.25
AI347622	TNFSF7	Tumor necrosis factor (ligand) superfamily, member 7	0.26
N99061	RPS4Y	Ribosomal protein S4, Y-linked	0.26
AI922341	SCYA21	Small inducible cytokine sub-family A (Cys–Cys), member 21	0.27
AI359985	AGT	Angiotensinogen (serine (orcysteine) proteinase inhibitor, clade A, member 8)	0.27
BE378962	DHCR7	7-dehydrocholesterol reductase	0.27
T69468	RPS4Y	Ribosomal protein S4, Y-linked	0.27
W92603	CTSG	Cathepsin G	0.29
AI972443	P2RX1	Purinergic receptor P2X,ligand-gated ion channel, 1	0.29
AA099134	HYOU1	Hypoxia up-regulated 1	0.29
AA456818	GOLGIN-67	Golgin-67	0.30
N80129	MT1L	Metallothionein 1L	0.30
AI459073	FZD9	Frizzled homolog 9 (Drosophila)	0.30
AI300634	B3GNT6	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6	0.31
