Gene name	Symbol	Fold change	Accession no.
Collagen  alpha3 type IX	EDM3	55.7	L41162
Intestinal trefoil factor, human	TFF3	7.6	AI985964
Hair keratin	hHb5	7.3	X99140
Creatine kinase B	CKBB	5.7	X15334
Thyroid peroxidase	TPX	5.4	J02969
Cellular retinoic acid-binding protein-1	CRABPI	5.2	S74445
Thrombospondin-4	THBS4	4.5	Z19585
IgG Fc-binding protein	FCBP	4.1	D84239
Dystrophin-binding intracellular membrane-associated muscle protein	SNT1	4	U40571
Creatine kinase B	CKBB	3.9	X15334
Cocaine-and amphetamine-regulated transcript	hCART	3.9	U20325
Recombination-activating protein-2	RAG2	3.7	M94633
GTPase-activating protein	rap1GAP	3.5	M64788
Matrilin-2 precursor	MATN2	3.5	U69263
Human metallothionein-9f	MT1	3.4	M10943
SURF-1	SURF1	3.3	Z35093
Hepatic dihydrodiol dehydrogenase	DDH	3.3	U05861
Aldolase A	ALDOA	3.2	X05236
Protein C precursor	PROC	3.2	X02750
Human IgG Fc receptor	FCGRT	3.1	U12255
Dipeptidyl aminopeptidase-like protein	DPPX	3.1	M96860
Angiopoietin-1	ANG1	3.1	U83508
Inhibitor of DNA binding 1	Idt	3	X77956
Metallothionein-1A	MT1	2.9	K01383
Selenocysteine	TXD12	2.9	AF093774
Heart (R)-3-hydroxybutyrate dehydrogenase	BDH	2.9	M93107
Glutathione transferase- zeta1	GSTZ1	2.9	U86529
Metallothionein IG	MT1	2.8	J03910
KIAA0777 gene product	KIAA0777	2.8	AF049884
Metallothionein III	GIFB	2.8	M93311
Very-low-density lipoprotein receptor	VLDLR	2.7	D16532
Plasma glutamate carboxypeptidase	PGCP	2.7	W28330
Protein kinase X1	PKX1	2.7	X85545
Endoplasmic reticulum-associated amyloid- beta-peptide-binding protein	ERAB	2.7	AF035555
KIAA0281 gene	KIAA0281	2.7	D87457
25-Hydroxyvitamin D3 1- alpha-hydroxylase	PDDR	2.7	AB005038
Extracellular proteinase inhibitor homologue	HE4	2.6	X63187
Ribosomal protein L26	RPL26	2.6	X69392
Human homolog of a mouse imprinted gene, Peg3	KIAA0287	2.6	AB006625
K1AA0062 gene	KIAA0062	2.6	D31887
Fibrillin-like (S1-5)	FBNL	2.6	U03877
Membrane-type matrix metalloproteinase 2	MT2-MMP	2.6	Z48482
Human ATX1 homolog	HAH1	2.6	U70660
Pituitary tumor-transforming gene	PTTG1	2.5	AA203476
Tetranectin (plasminogen-kringle-4-binding protein)	TN	2.5	X64559
Human homolog of mouse Tis11d early response gene	ERF2	2.5	X78992
Human selenium-binding protein	HSBP	2.5	U29091
Carbonic anhydrase IV	CAIV	2.5	M83670
17 beta-Hydroxysteroid dehydrogenase type 3	EDH17B3	2.5	U05659
Skeletal muscle LIM protein 1	SLIM1	2.5	AF063002
PLA2 receptor precursor	PLA2R	2.5	U17034
KIAA0403 mRNA	KIAA0403	2.5	AB007863
Human metallothionein 1E	MTIE	2.4	R92331
Metallothionein 1B	MTI	2.4	M13485
Monocyte chemotactic protein-2	MCP-2	2.4	Y16645
A28-RGS14p mRNA	A28-RGS14	2.4	U70426
Type II transmembrane protein: Golga enzyme	TPST2	2.4	AF049891
Secreted cyclophilin-like protein	CYPB	2.3	M63573
Nuclear aconitase	ACO2	2.3	NM_001098
Pax8	PAX8	2.3	X69699
FK506-binding protein	FKBP12	2.3	M34539
Electron transfer flavoprotein  &#3;-subunit	ETFB	2.3	X71129
Leukemia inhibitory factor receptor	LIFR	2.3	X61615
T Complex-associated testis-expressed 1-like 1	CW-1	2.3	D50663
Mitochondrial ATP synthase c subunit	ATP5G	2.3	X69907
Translation initiation factor e1F-2B  beta-subunit	EIF2B2	2.3	AF035280
Type 1 inositol 1,4,5-trisphosphate receptor	INSP3R1	2.3	D26070
Pepsinogen	PEP	2.3	J00287
Associated with mitotic spindle apparatus	DEEPEST	2.3	AF063308
Ribonuclease A	RNS1	2.3	D26129
Synaptic glycoprotein 2	SC2	2.2	AF038958
Myo-inositol monophosphatase 2	IMPA2	2.2	AF014398
Histone H1x	H1FX	2.2	D64142
P43	EFTU	2.2	S75463
Protein kinase C theta	PKC	2.2	L07032
Human phosphogluconate dehydrogenase	hPGDH	2.2	U30255
Prolylcarboxypeptidase	PCP	2.1	L13977
Phospholipase C	PLC-L	2.1	D42108
Cyclophilin isoform	CYP3	2.1	M80254
Phosphatidylinositol 4,5-bisphosphate 5-phosphatase homolog	PIPP	2.1	U45975
Phosphoribosylpyrophosphate synthetase	PRS 1	2.1	D00860
Fibroblast growth factor receptor	K-sam-1	2.1	M87770
Cytochrome e-1	CYC1	2.1	J04444
Megalin	GP330	2.1	U33837
Lysosomal  alpha;-glucosidase	LYAG	2	X55079
