Gene coordinate	GenBank accession number	Protein/gene	Array type	EL08- 1D2	UG26- 1B6	Mean EL08 and UG26	UG15- 1B7	EL28- 1B3	AM20- 1B4	AM30- 3F4	Mean UG15, EL28, AM20, and AM30	Log ratio	Fold change	p Value (t-test, two- sided)
C09h	U13705	Plasma glutathione peroxidase	M1.2	2.31	1.8	2.05	4.82	2.24	5	4.9	4.24	2.19	8.92	< .01
B14m	M74570	ADH family 1 subfamily A2	M1.2 II	6.33	5.46	5.9	6.93	7.79	6.91	7.22	7.21	1.31	3.72	0.01
F14d	U77039	Four and a half LIM protein 1 (FHL1)	M1.2	1.63	1.73	1.68	1.99	3.55	2.07	3.17	2.7	1.02	2.77	0.01
F08n	M13806	Cytokeratin 14	M1.2	1.95	2.03	1.99	2.47	4.11	2.7	2.49	2.94	0.95	2.6	0.01
F14c	U26967	Cordon-blue protein (COBL)	M1.2	1.51	1.97	1.74	2.14	3.19	2.79	2.41	2.63	0.89	2.44	0.01
D05l	Z18278	5-hydroxitryptamine (serotonin) receptor	M1.2 II	3.68	4.14	3.91	4.51	4.32	4.45	5.67	4.74	0.83	2.29	0.03
C08l	U03560	HSP27	M1.2	2.85	2.79	2.82	3.89	4.19	3.12	3.25	3.61	0.79	2.21	< .01
A02i	X04836	CD4 receptor	M1.2	1.96	1.66	1.81	2.17	3.14	2.83	2.22	2.59	0.78	2.19	0.03
D07j	AF035777	Somatostatin receptor 5	M1.2	1.77	1.29	1.53	1.94	2.25	2.6	2.3	2.27	0.74	2.1	0.01
D08f	J04192	Cholinergic receptor, muscarinic	M1.2 II	3.82	4.18	4	4.89	4.39	4.61	4.98	4.72	0.72	2.05	0.03
F09a	M11686	Cytokeratin 18	M1.2	1.75	1.99	1.87	1.97	3.53	2.45	2.36	2.58	0.71	2.03	0.03
