Gene	Log-rank P-value S1	Log-rank P-value S1+S2	FC	Entrez gene	Refseq ID	Chromosome location
ZNF6	0.00496	0.00019	2	7552	NM_021998	chrXq21.1
GPRASP2	0.0002	0.00023	1.64	114928	NM_001004051 /// NM_138437	chrXq22.1
BHLHB9	0.00526	0.03	1.32	80823	NM_030639	chrXq22.1
PSMD10	0.00203	0.00205	1.23	5716	NM_002814 /// NM_170750	chrXq22.3
KIAA1729	0.00038	0.1	1.23	85460	NM_053042	chr4p16.1
DHX35	0.03	0.01	1.23	60625	NM_021931	chr20q11.23
HSD17B12	0.01	0.01	1.17	51144	NM_016142	chr11p11.2
ARMCX5	0.00005	0.11	1.16	64860	NM_022838	chrXq22.1
YIPF6	0.0031	0.25	1.08	286451	NM_173834	chrXq13.1
FLJ31795	0.03	0.39	1.05	124808	NM_144609	chr17q21.31
ZNF77	0.00257	0.62	1.04	58492	NM_021217	chr19p13.3
C6orf107	0.01	0.64	1.04	54887	NM_017754	chr6p21.31
SYBL1	0.02	0.59	1.02	6845	NM_005638	chrXq28
GLT28D1	0.01	0.45	0.94	55849	NM_018466	chrXq23
FLOT2	0.00805	0.18	0.9	2319	NM_004475	chr17q11.2
GUK1	0.01	0.00277	0.86	2987	NM_000858	chr1q42.13
ATP2B4	0.005	0.00161	0.81	493	NM_001001396 /// NM_001684	chr1q32.1
LAMB3	0.01	0.03	0.74	3914	NM_000228 /// NM_001017402	chr1q32.2
KRT17	0.03	4.61E-06	0.47	3872	NM_000422	chr17q21.2
