Probeset	Gene	Accession	EntrezGene	FIBA	Call	FIBB	Call	MSCA	call	MSCB	Call	foldD	pvalue
51225056_at	SIPA1L2	AB037810	57568	6.69	A	7.41	A	68.62	P	63.65	P	9.33	0.007035
52219572_at	CADPS2	NM_017954	93664	5.36	A	13.6	A	82.23	P	86.69	P	8.92	0.01137
53228104_at	PLXNA4A	AL117427	57671	27.46	A	22.61	A	210.47	P	224.33	P	8.86	0.00526
54228752_at	CXorf10	N57931	93949	18.18	A	15.86	A	136.16	P	158.19	P	8.74	0.033848
55233614_at	CDNAFLJ11661fis	AU145361	0	15.22	P	10.7	M	107.37	P	115.4	P	8.71	0.006506
56222899_atI	TGA11	AF109681	22801	89.74	M	100.07	A	779.44	P	860.73	P	8.7	0.028815
57214803_at	DKFZp564N1116MRNA;cDNA	BF344237	0	31.08	P	34.15	M	296.42	P	270.97	P	8.64	0.018086
58208228_s_at	FGFR2	M87771	2263	19.78	A	8.76	A	119.95	P	114.26	P	8.62	0.008197
59225525_at		AB051458	85379	13.36	A	13.58	A	107.71	P	117.27	P	8.37	0.010704
60239449_at		AV693734	0	14.09	A	8.31	A	94.23	P	86.6	P	8.21	0.010161
61202768_at	FOSB	NM_006732	2354	7.91	A	14.72	A	92.86	P	89.39	P	8.19	0.010275
62221901_at	KIAA1644	BF516072	85352	17.37	A	18.24	A	144.52	P	145.39	P	8.17	0.00841
63228195_at	MGC13057	BE645119	84281	14.61	A	7.57	A	74.61	P	92.6	P	8.05	0.041969
64223253_at	EPDR1	BC000686	54749	26.81	P	29.24	P	206.16	P	239.51	P	8.01	0.035489
65218559_s_at	MAFB	NM_005461	9935	15.9	A	27.59	A	178.02	P	175.25	P	7.95	0.005932
66214091_s_at	GPX3	AW149846	2878	20.25	A	10.21	P	116.4	P	118.4	P	7.93	0.019944
67210305_at	PDE4DIP	AB042557	9659	33.36	P	24.74	A	230.39	P	211.28	P	7.7	0.012523
68210143_at	ANXA10	AF196478	11199	27.42	A	30.56	A	208.65	P	229.02	P	7.65	0.020407
69223796_at	CNTNAP3/CNTNAP3B/LOC728577	AF333769	389734 / 728577 / 79937	10.49	P	11.79	A	84.11	P	85.5	P	7.56	0.010706
70207010_at	GABRB1	NM_000812	2560	5.13	A	7.25	A	47.92	P	49.14	P	7.55	0.014829
71223475_at	CRISPLD1	AF142573	83690	7.63	A	9.91	A	61.03	P	66.89	P	7.55	0.024656
72207692_s_at		NM_001135	176	17.36	A	37.22	A	192.01	P	213.51	P	7.54	0.009112
73227243_s_at	EBF3	AL354950	253738	41	P	37.77	P	302.63	P	281.87	P	7.44	0.013314
74225342_at	AK3L1	AK026966	205	27.23	P	26.16	P	190.77	P	190.71	P	7.18	0.007139
75220698_at		NM_024314	79160	12.5	A	15.07	A	93.53	P	99.63	P	7.06	0.007896
76218974_at	SOBP	NM_018013	55084	16.78	A	26.14	P	163.57	P	134.69	P	6.99	0.039432
77211527_x_at	VEGFA	M27281	7422	37.86	A	37.89	A	271.53	P	250.8	P	6.9	0.015785
78223092_at	ANKH	AA854943	56172	236.66	P	219.55	P	1599.93	P	1486.48	P	6.82	0.022738
79235821_at	CDNAFLJ14388fis	AI917494	0	7.98	A	28.28	A	105.31	P	137.49	P	6.8	0.046402
80218843_at	FNDC4	NM_022823	64838	29.09	A	17.89	A	160.58	P	153.54	P	6.67	0.010214
81205505_at	GCNT1	NM_001490	2650	169.39	P	201.09	P	1188.41	P	1170.03	P	6.38	0.001093
82213664_at	SLC1A1	AW235061	6505	96.39	P	105.79	P	627.99	P	651.19	P	6.36	0.005458
83201348_at	GPX3	NM_002084	2878	21.35	A	16.83	A	119.97	P	118.37	P	6.27	0.007592
84215591_at	SATB2	AK025127	23314	17.37	P	14.77	P	103.18	P	97.95	P	6.27	0.009937
85220794_at	GREM2	NM_022469	64388	50.84	P	59.97	P	346.7	P	346.94	P	6.26	0.000986
86201010_s_at	TXNIP	NM_006472	10628	45.01	P	40.48	P	258.43	P	266.22	P	6.18	0.003244
8752837_at	KIAA1644	AL047020	85352	13.86	A	19.4	A	107.6	P	92.26	P	6.18	0.025265
88236474_at	Transcribedlocus	AI797677	0	3.21	A	10.02	A	35.75	P	39.35	P	6.1	0.044003
89223427_s_at	EPB41L4B	AB032179	54566	14.22	A	16.91	A	96.94	P	92.02	P	6.06	0.009901
90239010_at		AI744280	400879	3.81	A	10.02	A	41.04	P	44.72	P	6.01	0.023784
91233261_at	EBF1	AU145682	1879	17.39	A	7.07	A	73.63	P	65.71	P	5.99	0.033424
92214265_atI	TGA8	AI193623	8516	41.84	A	28.87	A	212.32	P	192.94	P	5.9	0.010055
93204288_s_at	SORBS2	NM_021069	8470	25.37	A	14.72	A	130.86	P	106.75	P	5.78	0.037989
94228952_at		BF057080	0	45.04	P	51.89	P	259.7	P	296.01	P	5.77	0.025928
95235521_at	HOXA3	AW137982	3200	36.5	A	44.79	P	224.68	P	239.9	P	5.7	0.007442
96202481_at	DHRS3	NM_004753	9249	25.66	P	28.78	P	144.47	P	156.1	P	5.57	0.008895
97219282_s_at	TRPV2	NM_015930	51393	115	P	100.73	P	631.59	P	583.28	P	5.57	0.011504
98239309_at	DLX6	T65128	1750	8.37	A	4.07	A	34.35	P	35.29	P	5.56	0.035215
99241272_at		BE156417	0	29.86	P	44.73	A	192.7	P	212.25	P	5.54	0.010439
100215447_at		AL080215	0	7.63	A	7.37	A	42.76	P	39.5	P	5.49	0.020959
