Gene Symbol	Accession Number	Map	Description	Expression
SLC2A14	AA778684	12p13.31	Solute carrier family 2 (facilitated glucose transporter), member 14	Overexpression in inv(16)
MYH11	NM_022844	16p13.13	Myosin, heavy polypeptide 11, smooth muscle	Overexpression in inv(16)
SDR1	NM_004753	1p36.1	Short-chain dehydrogenase/reductase 1	Overexpression in inv(16)
PROML1	NM_006017	4p15.33	Prominin 1	Overexpression in inv(16)
CD83	NM_004233	6p23	CD83 antigen	Overexpression in inv(16)
MN1	NM_002430	22q12.1	Meningioma (disrupted in balanced translocation) 1	Overexpression in inv(16)
ST18	NM_014682	8q11.21	Suppression of tumorigenicity 18	Overexpression in inv(16)
RBPMS	D84109	8p12	RNA binding protein with multiple splicing	Overexpression in inv(16)
GNAI1	AL049933	7q21	Guanine nucleotide binding protein (G protein) alpha inhibiting activity polypeptide 1	Overexpression in inv(16)
CLIPR-59	AL117468	19q13.13	CLIP-170-related protein	Overexpression in inv(16)
SPRY1	BF508662	4q27	Sprouty homolog 1, antagonist of FGF signaling (Drosophila)	Overexpression in inv(16)
SGK	NM_005627	6q23	Serum/glucocorticoid regulated kinase	Overexpression in inv(16)
KLF2	NM_016270	19p13.13	Kruppel-like factor 2 (lung)	Overexpression in inv(16)
TPSB1	AF206666	16p13.3	Tryptase beta 1	Overexpression in inv(16)
RUNX3	AA541630	1p36	Runt-related transcription factor 3	Infraexpression in inv(16)
CD164	NM_006016	6q21	CD164 antigen, sialomucin	Infraexpression in inv(16)
CYLN2	BC006259	7q11.23	Cytoplasmic linker 2	Infraexpression in inv(16)
ABR	AL527773	17p13.3	Active BCR-related gene	Infraexpression in inv(16)
C4S-2	NM_018641	7p22	Chondroitin 4-O-sulfotransferase 2	Infraexpression in inv(16)
