Probe set	Gene symbol	Description	Weight in CCP
209122_at	ADFP	adipose differentiation-related protein	3.00
212285_s_at	AGRN	agrin	2.97
217419_x_at	AGRN	agrin	2.97
202834_at	AGT	angiotensinogen (serine (or cysteine) proteinase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 8)	3.95
202760_s_at	AKAP2	A kinase (PRKA) anchor protein 2	2.04
226694_at	AKAP2	A kinase (PRKA) anchor protein 2	2.04
202759_s_at	AKAP2	A kinase (PRKA) anchor protein 2	2.04
205609_at	ANGPT1	angiopoietin 1	-3.95
1552939_at	ANGPT1	angiopoietin 1	-3.95
205608_s_at	ANGPT1	angiopoietin 1	-3.95
204966_at	BAI2	brain-specific angiogenesis inhibitor 2	3.42
222891_s_at	BCL11A	B-cell CLL/lymphoma 11A (zinc finger protein)	-5.83
219497_s_at	BCL11A	B-cell CLL/lymphoma 11A (zinc finger protein)	-5.83
210347_s_at	BCL11A	B-cell CLL/lymphoma 11A (zinc finger protein)	-5.83
1559078_at	BCL11A	B-cell CLL/lymphoma 11A (zinc finger protein)	-5.83
219498_s_at	BCL11A	B-cell CLL/lymphoma 11A (zinc finger protein)	-5.83
213539_at	CD3D	CD3D antigen, delta polypeptide (TiT3 complex)	3.26
218062_x_at	CDC42EP4	CDC42 effector protein (Rho GTPase binding) 4	4.52
214721_x_at	CDC42EP4	CDC42 effector protein (Rho GTPase binding) 4	4.52
202712_s_at	CKMT1	creatine kinase, mitochondrial 1 (ubiquitous)	2.15
228297_at	CNN3	calponin 3, acidic	4.19
201445_at	CNN3	calponin 3, acidic	4.19
202311_s_at	COL1A1	collagen, type I, alpha 1	4.61
202312_s_at	COL1A1	collagen, type I, alpha 1	4.61
1556499_s_at	COL1A1	collagen, type I, alpha 1	4.61
202468_s_at	CTNNAL1	catenin (cadherin-associated protein), alpha-like 1	4.34
212012_at	D2S448	Melanoma associated gene	2.61
203139_at	DAPK1	death-associated protein kinase 1	-4.89
1554429_a_at	DMWD	dystrophia myotonica-containing WD repeat motif	3.40
204642_at	EDG1	endothelial differentiation, sphingolipid G-protein-coupled receptor, 1	2.02
223068_at	EML4	echinoderm microtubule associated protein like 4	3.76
223069_s_at	EML4	echinoderm microtubule associated protein like 4	3.76
228673_s_at	EML4	echinoderm microtubule associated protein like 4	3.76
232587_at	EML4	echinoderm microtubule associated protein like 4	3.76
228674_s_at	EML4	echinoderm microtubule associated protein like 4	3.76
220386_s_at	EML4	echinoderm microtubule associated protein like 4	3.76
207111_at	EMR1	egf-like module containing, mucin-like, hormone receptor-like 1	0.03
239246_at	FARP1	FERM, RhoGEF (ARHGEF) and pleckstrin domain protein 1 (chondrocyte-derived)	4.79
207937_x_at	FGFR1	fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)	4.09
211535_s_at	FGFR1	fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)	4.09
207822_at	FGFR1	fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)	4.09
215404_x_at	FGFR1	fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)	4.09
202949_s_at	FHL2	four and a half LIM domains 2	4.12
222193_at	FLJ21820	hypothetical protein FLJ21820	-4.32
219008_at	FLJ21820	hypothetical protein FLJ21820	-4.32
206674_at	FLT3	fms-related tyrosine kinase 3	-3.79
202724_s_at	FOXO1A	forkhead box O1A (rhabdomyosarcoma)	5.19
242281_at	GLUL	glutamate-ammonia ligase (glutamine synthase)	2.90
217202_s_at	GLUL	glutamate-ammonia ligase (glutamine synthase)	2.90
217203_at	GLUL	glutamate-ammonia ligase (glutamine synthase)	2.90
215001_s_at	GLUL	glutamate-ammonia ligase (glutamine synthase)	2.90
200648_s_at	GLUL	glutamate-ammonia ligase (glutamine synthase)	2.90
221942_s_at	GUCY1A3	guanylate cyclase 1, soluble, alpha 3	-2.64
202947_s_at	GYPC	glycophorin C (Gerbich blood group)	2.48
213150_at	HOXA10	homeo box A10	-3.08
213147_at	HOXA10	homeo box A10	-3.08
206289_at	HOXA4	homeo box A4	-1.36
205453_at	HOXB2	homeo box B2	-0.85
205601_s_at	HOXB5	homeo box B5	-1.13
205600_x_at	HOXB5	homeo box B5	-1.13
202411_at	IFI27	interferon, alpha-inducible protein 27	2.93
211000_s_at	IL6ST	interleukin 6 signal transducer (gp130, oncostatin M receptor)	4.95
204863_s_at	IL6ST	interleukin 6 signal transducer (gp130, oncostatin M receptor)	4.95
204864_s_at	IL6ST	interleukin 6 signal transducer (gp130, oncostatin M receptor)	4.95
204698_at	ISG20	interferon stimulated gene 20kDa	3.46
33304_at	ISG20	interferon stimulated gene 20kDa	3.46
202860_at	KIAA0476	KIAA0476	-2.16
212570_at	KIAA0830	KIAA0830 protein	4.13
212573_at	KIAA0830	KIAA0830 protein	4.13
219218_at	KIAA1447	KIAA1447 protein	-3.98
236604_at	KIAA1447	KIAA1447 protein	-3.98
212531_at	LCN2	lipocalin 2 (oncogene 24p3)	4.29
225867_at	LOC114990	hypothetical protein BC013767	4.11
222676_at	LOC55971	insulin receptor tyrosine kinase substrate	3.16
204777_s_at	MAL	mal, T-cell differentiation protein	4.04
202890_at	MAP7	microtubule-associated protein 7	-3.63
215471_s_at	MAP7	microtubule-associated protein 7	-3.63
214696_at	MGC14376	hypothetical protein MGC14376	4.06
243010_at	MSI2	musashi homolog 2 (Drosophila)	-2.35
226134_s_at	MSI2	musashi homolog 2 (Drosophila)	-2.35
1552364_s_at	MSI2	musashi homolog 2 (Drosophila)	-2.35
243579_at	MSI2	musashi homolog 2 (Drosophila)	-2.35
225240_s_at	MSI2	musashi homolog 2 (Drosophila)	-2.35
225237_s_at	MSI2	musashi homolog 2 (Drosophila)	-2.35
239232_at	MSI2	musashi homolog 2 (Drosophila)	-2.35
230894_s_at	MSI2	musashi homolog 2 (Drosophila)	-2.35
225238_at	MSI2	musashi homolog 2 (Drosophila)	-2.35
225233_at	MSI2	musashi homolog 2 (Drosophila)	-2.35
37005_at	NBL1	neuroblastoma, suppression of tumorigenicity 1	3.10
209290_s_at	NFIB	nuclear factor I/B	3.90
209239_at	NFKB1	nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 (p105)	3.00
228388_at	NFKBIB	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, beta	3.03
214448_x_at	NFKBIB	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, beta	3.03
214062_x_at	NFKBIB	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, beta	3.03
209120_at	NR2F2	nuclear receptor subfamily 2, group F, member 2	2.88
215073_s_at	NR2F2	nuclear receptor subfamily 2, group F, member 2	2.88
233701_at	NRP1	neuropilin 1	2.26
204082_at	PBX3	pre-B-cell leukemia transcription factor 3	-2.92
233467_s_at	PHEMX	pan-hematopoietic expression	-5.04
220558_x_at	PHEMX	pan-hematopoietic expression	-5.04
212740_at	PIK3R4	phosphoinositide-3-kinase, regulatory subunit 4, p150	3.13
216752_at	PIK3R4	phosphoinositide-3-kinase, regulatory subunit 4, p150	3.13
216551_x_at	PLCG1	phospholipase C, gamma 1	5.80
210139_s_at	PMP22	peripheral myelin protein 22	3.21
211743_s_at	PRG2	proteoglycan 2, bone marrow (natural killer cell activator, eosinophil granule major basic protein)	2.70
201934_at	PRO2730	hypothetical protein PRO2730	-1.19
242212_at	RGS16	regulator of G-protein signalling 16	3.36
213338_at	RIS1	Ras-induced senescence 1	5.05
204351_at	S100P	S100 calcium binding protein P	2.64
204361_s_at	SCAP2	src family associated phosphoprotein 2	-1.99
204362_at	SCAP2	src family associated phosphoprotein 2	-1.99
216899_s_at	SCAP2	src family associated phosphoprotein 2	-1.99
241331_at	SCAP2	src family associated phosphoprotein 2	-1.99
225639_at	SCAP2	src family associated phosphoprotein 2	-1.99
233268_s_at	SELENBP1	selenium binding protein 1	2.77
214433_s_at	SELENBP1	selenium binding protein 1	2.77
35666_at	SEMA3F	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F	4.30
37004_at	SFTPB	surfactant, pulmonary-associated protein B	3.07
214354_x_at	SFTPB	surfactant, pulmonary-associated protein B	3.07
213936_x_at	SFTPB	surfactant, pulmonary-associated protein B	3.07
209810_at	SFTPB	surfactant, pulmonary-associated protein B	3.07
201250_s_at	SLC2A1	solute carrier family 2 (facilitated glucose transporter), member 1	3.44
201249_at	SLC2A1	solute carrier family 2 (facilitated glucose transporter), member 1	3.44
210854_x_at	SLC6A8	solute carrier family 6 (neurotransmitter transporter, creatine), member 8	3.76
213843_x_at	SLC6A8	solute carrier family 6 (neurotransmitter transporter, creatine), member 8	3.76
204588_s_at	SLC7A7	solute carrier family 7 (cationic amino acid transporter, y+ system), member 7	2.35
224842_at	SMG1	PI-3-kinase-related kinase SMG-1	2.01
231989_s_at	SMG1	PI-3-kinase-related kinase SMG-1	2.01
208118_x_at	SMG1	PI-3-kinase-related kinase SMG-1	2.01
210057_at	SMG1	PI-3-kinase-related kinase SMG-1	2.01
223028_s_at	SNX9	sorting nexin 9	6.66
223027_at	SNX9	sorting nexin 9	6.66
204955_at	SRPX	sushi-repeat-containing protein, X-linked	3.96
202286_s_at	TACSTD2	tumor-associated calcium signal transducer 2	4.32
236345_at	TBXAS1	thromboxane A synthase 1 (platelet, cytochrome P450, family 5, subfamily A)	-4.06
208130_s_at	TBXAS1	thromboxane A synthase 1 (platelet, cytochrome P450, family 5, subfamily A)	-4.06
222146_s_at	TCF4	transcription factor 4	-1.63
203753_at	TCF4	transcription factor 4	-1.63
212387_at	TCF4	transcription factor 4	-1.63
212386_at	TCF4	transcription factor 4	-1.63
213891_s_at	TCF4	transcription factor 4	-1.63
212382_at	TCF4	transcription factor 4	-1.63
212385_at	TCF4	transcription factor 4	-1.63
211573_x_at	TGM2	transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)	5.53
201042_at	TGM2	transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)	5.53
202242_at	TM4SF2	transmembrane 4 superfamily member 2	2.71
222449_at	TMEPAI	transmembrane, prostate androgen induced RNA	2.69
204141_at	TUBB	tubulin, beta polypeptide	4.09
221765_at	UGCG	UDP-glucose ceramide glucosyltransferase	4.72
204881_s_at	UGCG	UDP-glucose ceramide glucosyltransferase	4.72
224967_at	UGCG	UDP-glucose ceramide glucosyltransferase	4.72
235749_at	UGCGL2	UDP-glucose ceramide glucosyltransferase-like 2	-2.56
1555561_a_at	UGCGL2	UDP-glucose ceramide glucosyltransferase-like 2	-2.56
218801_at	UGCGL2	UDP-glucose ceramide glucosyltransferase-like 2	-2.56
208623_s_at	VIL2	villin 2 (ezrin)	5.08
208622_s_at	VIL2	villin 2 (ezrin)	5.08
217234_s_at	VIL2	villin 2 (ezrin)	5.08
