Probeset ID	Gene title	Gene symbol	t statistic
205767_at	Epiregulin	EREG	-3.47
209792_s_at	Kallikrein 10	KLK10	-4.25
208711_s_at	Cyclin D1	CCND1	-5.43
208712_at	Cyclin D2	CCND2	-4.48
1553869_at	Sestrin 3	SESN3	-3.39
205899_at	Cyclin A1	CCNA1	-4.06
235683_at	Sestrin 3	SESN3	-4.05
207039_at	Cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	CDKN2A	7.09
206546_at	Synaptonemal complex protein 2	SYCP2	7.36
204159_at	Cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)	CDKN2C	5.73
204510_at	CDC7 cell division cycle 7	CDC7	6.51
206316_s_at	Kinetochore associated 1	KNTC1	6.28
205085_at	Origin recognition complex, subunit 1-like	ORC1L	4.96
201746_at	Tumor protein p53	TP53	3.57
224320_s_at	MCM8 minichromosome maintenance deficient 8	MCM8	5.61
213204_at	p53-associated parkin-like cytoplasmic protein	PARC	5.9
222962_s_at	MCM10 minichromosome maintenance deficient 10	MCM10	2.74
201555_at	MCM3 minichromosome maintenance deficient 3	MCM3	5.95
201930_at	MCM6 minichromosome maintenance deficient 6	MCM6	5.56
244550_at	Transcription factor Dp-1	TFDP1	3
228361_at	E2F transcription factor 2	E2F2	4.94
204121_at	Growth arrest and DNA-damage-inducible, c	GADD45G	2.16
225297_at	Coiled-coil domain containing 5 (spindle associated)	CCDC5	3.42
204457_s_at	Growth arrest-specific 1	GAS1	2.17
228033_at	E2F transcription factor 7	E2F7	4.39
204252_at	Cyclin-dependent kinase 2	CDK2	3.77
210028_s_at	Origin recognition complex, subunit 3-like (yeast)	ORC3L	4.12
209408_at	Kinesin family member 2C	KIF2C	5.52
209172_s_at	Centromere protein F, 350/400ka (mitosin)	CENPF	4.55
219588_s_at	Leucine zipper protein 5	LUZP5	4.86
203693_s_at	E2F transcription factor 3	E2F3	4.05
218663_at	Chromosome condensation protein G	HCAP-G	3.55
202107_s_at	MCM2 minichromosome maintenance deficient 2, mitotin	MCM2	4.37
208795_s_at	MCM7 minichromosome maintenance deficient 7	MCM7	4.06
201664_at	SMC4 structural maintenance of chromosomes 4-like 1	SMC4L1	4.44
201202_at	Proliferating cell nuclear antigen	PCNA	5.12
203213_at	Cell division cycle 2, G1 to S and G2 to M	CDC2	3.27
204240_s_at	SMC2 structural maintenance of chromosomes 2-like 1	SMC2L1	1.73
205034_at	Cyclin E2	CCNE2	3.59
205393_s_at	CHK1 checkpoint homologue	CHEK1	1.05
214710_s_at	Cyclin B1	CCNB1	1.2
203755_at	BUB1 budding uninhibited by benzimidazoles 1 homologue b	BUB1B	2.77
