AFFY ID	OMIM ID	REFSEQ_MRNA	description	GENE SYMBOL	CHROMOSOME	ENTREZ_GENE_ID	UNIGENE	CYTOBAND
210511_s_at,227140_at	147290	NM_002192	inhibin, beta a (activin a, activin ab alpha polypeptide)	INHBA	7	3624	Hs.28792	7p15-p13
214587_at, 226237_at	120251	NM_001850, NM_020351	collagen, type viii, alpha 1	COL8A1	3	1295	Hs.134830	3q12.3,
212344_at, 212353_at, 241473_at, 212354_at		NM_015170	sulfatase 1	SULF1	8	23213	Hs.409602	8q13.2-q13.3
205941_s_at,217428_s_at	120110, 156500, 184250	NM_000493	collagen, type x, alpha 1(schmid metaphyseal chondrodysplasia)	COL10A1	6	1300	Hs.520339	6q21-q22
209875_s_at	166490	NM_000582	secreted phosphoprotein 1 (osteopontin, bone sialoprotein i, early t-lymphocyte activation 1)	SPP1	4	6696	Hs.313	4q21-q25
203819_s_at,203820_s_at	608259	NM_006547	insulin-like growth factor 2 mrna binding protein 3	IGF2BP3	7	10643	Hs.432616	7p11
204051_s_at,204052_s_at	606570	NM_003014	secreted frizzled-related protein 4	SFRP4	7	6424	Hs.105700	7p14.1
202859_x_at,211506_s_at	146930	NM_000584	interleukin 8	IL8	4	3576	Hs.624	4q13-q21,
209942_x_at,214612_x_at	300174, 300176	NM_005362, NM_005363, NM_175868	melanoma antigen family a, 3	MAGEA3, MAGEA6	X	4102, 4105	Hs.417816, Hs.441113	Xq28
206858_s_at	142972	NM_004503, NM_153693	homeobox c6	HOXC6	12	3223	Hs.567289	12q13.3,
37892_at	120280, 154780, 604841	NM_001854, NM_080629, NM_080630,	collagen, type xi, alpha 1	COL11A1	1	1301	Hs.523446	1p21
204259_at	178990	NM_002423	matrix metallopeptidase 7 (matrilysin, uterine)	MMP7	11	4316	Hs.2256	11q21-q22,
225681_at		NM_138455	collagen triple helix repeat containing 1	CTHRC1	8	115908	Hs.405614	8q22.3
226930_at		NM_032532	fibronectin type iii domain containing 1	FNDC1	6	84624	Hs.520525	6q25,
205828_at	185250	NM_002422	matrix metallopeptidase 3 (stromelysin 1, progelatinase)	MMP3	11	4314	Hs.375129	11q22.3,
209395_at, 209396_s_at	601525	NM_001276	chitinase 3-like 1 (cartilage glycoprotein-39)	CHI3L1	1	1116	Hs.382202	1q32.1,
219087_at, 224396_s_at	608135	NM_017680	asporin (lrr class 1)	ASPN	9	54829	Hs.435655	9q22
210495_x_at,216442_x_at,211719_x_at,212464_s_at	135600	NM_002026, NM_054034, NM_212474, NM_212475, NM_212476, NM_212478, NM_212482	fibronectin 1	FN1	2	2335	Hs.203717, Hs.562079	2q34
209955_s_at	600403	NM_004460	fibroblast activation protein, alpha	FAP	2	2191	Hs.516493	2q23
203083_at	188061	NM_003247	thrombospondin 2	THBS2	6	7058	Hs.371147	6q27
1556499_s_at,202310_s_at,202311_s_at	120150, 130000, 130060, 166200, 166210, 166220, 259420, 607907	NM_000088	collagen, type i, alpha 1	COL1A1	17	1277	Hs.172928	17q21.33
229802_at, 235821_at	603398	NM_003882, NM_080838	wnt1 inducible signaling pathway protein 1	WISP1	8	8840	Hs.492974	8q24.1-q24.3,
226311_at	225410, 604539	NM_014244, NM_021599	adam metallopeptidase with thrombospondin type 1 motif, 2	ADAMTS2	5	9509	Hs.23871	5qter
225664_at, 231879_at, 231766_s_at	120320	NM_004370, NM_080645	collagen, type xii, alpha 1	COL12A1	6	1303	Hs.101302	6q12-q13,
202403_s_at,229218_at, 202404_s_at	120160, 130060, 166200, 166210, 166220, 259420	NM_000089	collagen, type i, alpha 2	COL1A2	7	1278	Hs.489142	7q22.1
205941_s_at,217428_s_at	120110, 156500, 184250	NM_000493	collagen, type x, alpha 1(schmid metaphyseal chondrodysplasia)	COL10A1	6	1300	Hs.520339	6q21-q22
213905_x_at		NM_005786	serologically defined colon cancer antigen 33	TSHZ1	18	10194	Hs.284217	18q22.3
201261_x_at,213905_x_at	301870	NM_001711	biglycan	BGN	X	633	Hs.821	Xq28
204470_at	155730	NM_001511	chemokine (c-x-c motif) ligand 1 (melanoma growth stimulating activity, alpha)	CXCL1	4	2919	Hs.789	4q21
1557080_s_at,205422_s_at	604234	NM_004791	integrin, beta-like 1 (with egf-like repeat domains)	ITGBL1	13	9358	Hs.584836	13q33
223475_at		NM_031461	cysteine-rich secretory protein lccl domain containing 1	CRISPLD1	8	83690	Hs.436542	8q21.11
207172_s_at,236179_at, 241780_at, 239286_at, 207173_x_at	600023	NM_001797	cadherin 11, type 2, ob-cadherin (osteoblast)	CDH11	16	1009	Hs.116471	16q22.1
206211_at	131210	NM_000450	selectin e (endothelial adhesion molecule 1)	SELE	1	6401	Hs.89546	1q22-q25
