Order	F	ProbeSet	Contrast	p value	Boot- strap	Gene	Chromosom e	Description
1	315.17	41385_at	9941.17	0.001	3.1	EPB41L3	18p11.32	erythrocyte membrane protein band 4.1-like 3
2	258.49	37688_f_at	4918.32	0.001	6.5	FCGR2A	1q23	Fc fragment of IgG, low affinity IIa, receptor
3	244.34	36372_at	8421.39	0.001	7.1	HK3	5q35.2	hexokinase 3 (white cell)
4	237.83	31682_s_at	5136.81	0.002	9.1	CSPG2	5q14.3	chondroitin sulfate proteoglycan 2 (versican)
5	210.54	41221_at	6453.17	0.005	11.9	PGAM1	10q25.3	phosphoglycerate mutase 1 (brain)
6	203.30	32475_at	2381.78	0.003	17.7	LILRB1	19q13.4	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1
7	200.00	37975_at	6017.77	0.006	17.5	CYBB	Xp21.1	cytochrome b-245, beta polypeptide (chronic granulomatous disease)
8	196.59	37148_at	7415.14	0.004	15.1	LILRB3	19q13.4	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 3
9	194.46	36270_at	3646.88	0.004	19.3	CD86	3q21	CD86 antigen (CD28 antigen ligand 2, B7-2 antigen)
10	192.72	37647_at	4362.67	0.003	18.5	AOAH	7p14-p12	acyloxyacyl hydrolase (neutrophil)
11	189.24	40159_r_at	7016.35	0.003	22.2	NCF1	7q11.23	neutrophil cytosolic factor 1 (47kDa, chronic granulomatous disease, autosomal 1)
12	180.02	33385_g_at	3127.04	0.002	23.4	CAST	5q15-q21	calpastatin
13	178.82	34714_at	5309.66	0.006	23.8	SAMHD1	20pter-q12	SAM domain and HD domain 1
14	174.18	36495_at	7282.18	0.005	27.4	FBP1	9q22.3	fructose-1,6-bisphosphatase 1
15	173.85	40742_at	6425.62	0.007	24.8	HCK	20q11-q12	hemopoietic cell kinase
16	172.12	36795_at	8885.34	0.004	29.8	PSAP	10q21-q22	prosaposin (variant Gaucher disease and variant metachromatic leukodystrophy)
17	171.54	39221_at	3693.68	0.008	30.2	LILRB3	19q13.4	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 3
18	168.59	39591_s_at	6959.43	0.018	37.6	FGL2	7q11.23	fibrinogen-like 2
19	166.11	251_at	2445.05	0.006	34.8	CAMK1	3p25.3	calcium/calmodulin-dependent protein kinase I
20	165.87	35083_at	5795.14	0.005	32.3	FTL	19q13.3-q13.4	ferritin, light polypeptide
21	165.53	34678_at	5273.38	0.009	27.8	FER1L3	10q24	fer-1-like 3, myoferlin (C. elegans)
22	164.76	32367_at	1580.5	0.009	30.0	SIRPB1	20p13	signal-regulatory protein beta 1
23	163.97	31444_s_at	12110.71	0.006	33.5	ANXA2	15q21-q22	annexin A2
24	161.46	32826_at	2548.2	0.007	34.2	ENTPD1	10q24	ectonucleoside triphosphate diphosphohydrolase 1
25	161.35	40646_at	6286.9	0.011	33.4	CX3CR1	3p21.3	chemokine (C-X3-C motif) receptor 1
26	160.05	40432_at	5801.63	0.008	34.2	GNS	12q14	glucosamine (N-acetyl)-6-sulfatase (Sanfilippo disease IIID)
27	157.60	39592_r_at	1856.79	0.012	45.9	FGL2	7q11.23	fibrinogen-like 2
28	156.11	34498_at	8862.18	0.006	38.9	VNN2	6q23-q24	vanin 2
