Name	Accession	Symbol	Linear fold change	p-value
Transmembrane 4 L six family member 4	NM_004617	TM4SF4	3.762	5.58E-06
Thyrotropin-releasing hormone	NM_007117	TRH	3.448	7.31E-05
Integral membrane protein 2A	NM_004867	ITM2A	3.411	3.35E-06
Cytochrome P450, family 2, subfamily E, polypeptide 1	NM_000773	CYP2E1	3.344	4.35E-05
Hypothetical protein LOC254848	NM_021638	AFAP	3.292	1.27E-05
Prostaglandin D2 synthase, hematopoietic	NM_014485	PGDS	3.263	8.68E-06
Low density lipoprotein-related protein 2	NM_004525	LRP2	3.139	3.55E-05
cDNA FLJ35558 fis, clone SPLEN2004984, highly similar to M.musculus mRNA for myosin I	AK092877		3.123	6.95E-06
ATP-binding cassette, sub-family G (WHITE), member 1	NM_004915	ABCG1	3.11	9.82E-05
3 BAC RP11-654K19 (Roswell Park Cancer Institute Human BAC Library) complete sequence	AC_061708.17		3.076	1.68E-05
Frizzled-related protein	NM_001463	FRZB	3.059	3.43E-05
Prepronociceptin	NM_006228	PNOC	2.954	9.63E-05
Suppression of tumorigenicity 18 (breast carcinoma) (zinc finger protein)	NM_014682	ST18	2.946	1.25E-04
Hypothetical protein LOC339166	AB011095	KIAA0523	2.884	4.46E-05
Prodynorphin	NM_024411	PDYN	2.879	6.64E-05
Lumican	NM_002345	LUM	2.846	1.71E-04
G protein-coupled receptor 19	NM_006143	GPR19	2.839	3.86E-05
Ladinin 1	NM_005558	LAD1	2.826	1.05E-04
Transcription factor AP-2 gamma (activating enhancer binding protein 2 gamma)	NM_003222	TFAP2C	2.821	1.89E-04
Fibroblast growth factor receptor 1 (fms-related tyrosine kinase 2, Pfeiffer syndrome)	NM_023109	FGFR1	2.801	5.41E-06
Piccolo (presynaptic cytomatrix protein)	AB011131	PCLO	2.777	3.86E-05
Nuclear receptor subfamily 1, group H, member 4	NM_005123	NR1H4	2.765	1.25E-05
CD1C antigen, c polypeptide	NM_001765	CD1C	2.755	4.31E-05
Caveolin 2	NM_001233	CAV2	2.742	3.57E-05
UDP glycosyltransferase 2 family, polypeptide B10	NM_001075	UGT2B10	2.721	2.64E-05
Glycoprotein M6A	NM_005277	GPM6A	2.72	6.41E-05
Procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2	AL832238	PLOD2	2.719	2.23E-05
GATA binding protein 6	NM_005257	GATA6	2.718	5.23E-05
Dystrophin (muscular dystrophy, Duchenne and Becker types)	NM_004010	DMD	2.706	3.51E-05
Matrix metalloproteinase 12 (macrophage elastase)	NM_002426	MMP12	2.699	1.94E-05
SNRPN upstream reading frame	AL832758	SNRPN	2.696	3.02E-04
Mesoderm specific transcript homolog (mouse)	AK098397	MEST	2.674	6.92E-05
Frizzled-related protein	NM_001463	FRZB	2.647	1.88E-05
cDNA FLJ35558 fis, clone SPLEN2004984, highly similar to M.musculus mRNA for myosin I	AK092877		2.638	4.83E-05
Brain-derived neurotrophic factor	NM_001709	BDNF	2.628	1.31E-04
Tyrosinase (oculocutaneous albinism IA)	NM_000372	TYR	2.612	1.90E-05
Adenosine A2b receptor	NM_000676	ADORA2B	2.603	2.83E-05
CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like	NM_005808	CTDSPL	2.597	3.45E-05
Platelet-derived growth factor receptor-like	NM_006207	PDGFRL	2.583	6.73E-05
Paraoxonase 1	NM_000446	PON1	2.576	2.08E-04
Laminin, gamma 2	NM_005562	LAMC2	2.557	7.89E-05
ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A	NM_001690	ATP6V1A	2.557	1.21E-05
Solute carrier family 17 (sodium phosphate), member 2	NM_005835	SLC17A2	2.529	3.63E-05
Apolipoprotein H (beta-2-glycoprotein I)	NM_000042	APOH	2.505	7.54E-05
Disabled homolog 2, mitogen-responsive phosphoprotein (Drosophila)	NM_001343	DAB2	2.504	1.18E-04
Nuclear factor I/X (CCAAT-binding transcription factor)	NM_002501	NFIX	2.5	5.55E-05
Mitogen-activated protein kinase 4	NM_002747	MAPK4	2.49	8.74E-05
Protocadherin alpha 6	NM_014005	PCDHA6	2.474	9.30E-05
AlkB, alkylation repair homolog (E. coli)	NM_006020	ALKBH	2.47	1.38E-04
Serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 3	NM_006919	SERPINB3	2.461	3.99E-05
Thioredoxin reductase 2	AA434130	TXNRD2	2.457	2.14E-04
Leukemia inhibitory factor receptor	NM_002310	LIFR	2.456	3.63E-05
Periostin, osteoblast specific factor	NM_006475	POSTN	2.452	1.46E-05
Syndecan 2 (heparan sulfate proteoglycan 1, cell surface-associated, fibroglycan)	J04621	SDC2	2.45	1.87E-04
Lipocalin 2 (oncogene 24p3)	NM_005564	LCN2	2.444	8.89E-05
Arginine vasopressin receptor 1A	NM_000706	AVPR1A	2.443	1.21E-05
Met proto-oncogene (hepatocyte growth factor receptor)	NM_000245	MET	2.437	7.34E-05
Cytochrome P450, family 19, subfamily A, polypeptide 1	BC022896	CYP19A1	2.431	1.71E-05
Estrogen receptor 1	NM_000125	ESR1	2.424	1.22E-05
G2 protein	U10991	G2	2.413	6.18E-05
Opioid receptor, kappa 1	NM_000912	OPRK1	2.41	9.69E-05
Fibrinogen, B beta polypeptide	NM_005141	FGB	2.407	1.49E-04
Chitinase 3-like 1 (cartilage glycoprotein-39)	NM_001276	CHI3L1	2.406	1.40E-04
Regulator of G-protein signalling 5	NM_003617	RGS5	2.402	3.44E-05
Phospholipase C, beta 4	NM_000933	PLCB4	2.401	1.03E-04
Gap junction protein, alpha 4, 37kDa (connexin 37)	NM_002060	GJA4	2.39	6.44E-05
Tumor necrosis factor receptor superfamily, member 11b (osteoprotegerin)	NM_002546	TNFRSF11B	2.388	1.69E-04
Mesoderm specific transcript homolog (mouse)	AK098397	MEST	2.376	6.33E-05
Nitric oxide synthase 2A (inducible, hepatocytes)	NM_000625	NOS2A	2.373	3.52E-05
NCI_CGAP_Brn67 Homo sapiens cDNA clone IMAGE:5309631 5, mRNA sequence	BI554061		2.37	3.85E-05
Homo sapiens BAC clone CTB-13F3 from 7q22, complete sequence	AC_005046.3		2.366	2.12E-04
Insulin-like 4 (placenta)	NM_002195	INSL4	2.355	3.52E-05
chromosome 14 DNA sequence BAC R-807G16 of library RPCI-11 from chromosome 14 of Homo sapiens (Human), complete sequence	AL136332.5		2.354	6.60E-05
Basonuclin 1	NM_001717	BNC1	2.348	2.59E-05
Fatty acid synthase	NM_004104	FASN	2.341	8.71E-05
Pregnancy specific beta-1-glycoprotein 3	M23575	PSG3	2.323	3.76E-05
Vascular cell adhesion molecule 1	NM_001078	VCAM1	2.32	1.18E-05
Synaptogyrin 3	NM_004209	SYNGR3	2.317	5.42E-05
Interleukin 18 receptor 1	NM_003855	IL18R1	2.315	9.60E-05
Epithelial membrane protein 1	NM_001423	EMP1	2.313	2.36E-05
Laminin, gamma 1 (formerly LAMB2)	NM_002293	LAMC1	2.311	1.15E-04
V-ros UR2 sarcoma virus oncogene homolog 1 (avian)	NM_002944	ROS1	2.309	2.13E-04
Alcohol dehydrogenase 4 (class II), pi polypeptide	NM_000670	ADH4	2.309	9.46E-05
Protein tyrosine phosphatase, receptor type, B	NM_002837	PTPRB	2.307	6.61E-05
Purinergic receptor P2Y, G-protein coupled, 14	NM_014879	P2RY14	2.298	2.45E-05
Adaptor-related protein complex 3, beta 2 subunit	NM_004644	AP3B2	2.292	1.14E-04
Telomeric repeat binding factor 2	NM_005652	TERF2	2.292	7.65E-05
Interferon-induced protein with tetratricopeptide repeats 1	NM_001548	IFIT1	2.284	3.52E-05
Cleavage and polyadenylation specific factor 1, 160kDa	NM_013291	CPSF1	2.28	1.32E-04
Complement component (3d/Epstein Barr virus) receptor 2	NM_001877	CR2	2.277	6.45E-05
Tribbles homolog 2 (Drosophila)	NM_021643	TRIB2	2.273	8.88E-05
Peripheral myelin protein 22	NM_000304	PMP22	2.269	5.18E-05
Clone 161455-2-3 B cell expressed mRNA from chromosome X	U66046		2.267	7.20E-05
Coagulation factor XI (plasma thromboplastin antecedent)	NM_000128	F11	2.259	7.17E-05
A disintegrin and metalloproteinase domain 12 (meltrin alpha)	NM_003474	ADAM12	2.258	1.11E-04
Zinc finger, CCHC domain containing 14	NM_015144	ZCCHC14	2.258	2.72E-04
KIAA0350 protein	AB002348	KIAA0350	2.257	1.66E-04
NEL-like 1 (chicken)	AK093338	NELL1	2.255	1.55E-04
Chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated)	NM_002988	CCL18	2.246	1.44E-04
Insulin-like growth factor binding protein 3	NM_000598	IGFBP3	2.236	6.19E-05
Tudor domain containing 9	AL833915	TDRD9	2.23	4.86E-05
Malic enzyme 3, NADP(+)-dependent, mitochondrial	NM_006680	ME3	2.23	5.03E-05
Src family associated phosphoprotein 1	NM_003726	SCAP1	2.224	7.93E-05
Human DNA sequence from clone RP3-451B15 on chromosome 6p24 Contains the 3 end of the HIVEP1 gene for human immunodeficiency virus type I enhancer-binding protein 1, the EDN1 gene for endothelin 1 (ET1) and a SMT3 suppressor of mif two 3 homolog 1 (yeast) (SMT3H1) pseudogene, complete sequence	Z98050.1		2.221	1.46E-04
Parathyroid hormone	NM_000315	PTH	2.218	2.81E-04
Zic family member 1 (odd-paired homolog, Drosophila)	NM_003412	ZIC1	2.206	6.57E-05
Msh homeo box homolog 2 (Drosophila)	D26145	MSX2	2.206	1.34E-04
ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 2	NM_006456	SIAT7B	2.2	1.68E-04
Adenosine A2a receptor	NM_000675	ADORA2A	2.196	4.36E-05
Phosphodiesterase 4B, cAMP-specific (phosphodiesterase E4 dunce homolog, Drosophila)	NM_002600	PDE4B	2.193	2.45E-05
Bone morphogenetic protein 4	NM_001202	BMP4	2.188	1.25E-04
