GenBankTM No.	Gene	Description	-Fold Decreasea	p valueb	Function
X52947	GJA1	Gap junction protein,  a1, 43 kDa (connexin 43)	104.7	<0.0001	Cell signaling
U84573	PLOD2	Procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2	44.3	0	Extracellular matrix
X67325	IFI27	Interferon,  a-inducible protein 27	19.9	<0.0001	Interferon-inducible protein
Y09836		EST	15	0	Unknown
J05633	ITGB5	Integrin,  B5	13.3	0	Extracellular matrix
M11313	A2M	a2-macroglobulin	8.6	<0.0001	Protease inhibitor
X67594	MC1R	Melanocortin 1 receptor	8	0	Other
J02973	THBD	Thrombomodulin	6.9	0	Hemostasis
L10678	PFN2	Profilin 2	6	<0.0001	Cytoskeletal
L16896	HKR3	GL1-Kruppel family member	4.7	<0.0001	Transcription factor
M80478	GP9	Glycoprotein IX (platelet)	4.3	<0.0001	Hemostasis
M93056	ELANH1	Monocyte/neutrophil elastase inhibitor	4.1	<0.0001	Protease inhibitor
U84388	CRADD	CASP2 and RIPK1 domain containing adaptor with death domain	4	<0.0001	Apoptosis
U31501	FXR2	Fragile X mental retardation, autosomal homolog 2	3.7	<0.0001	Other
X54867	KLRC1	Killer cell lectin-like receptor subfamily C, member 1	3.7	<0.0001	Immune response
U20499	SULT1A3	Sulfotransferase family 1A, phenol-preferring, member 3	3.6	<0.0001	Other
U27109	MMRN	Multimerin	3.5	0.0006	Hemostasis
M22638	LYL1	Leukemia, lymphoid, 1	3.4	<0.0001	Oncogene
U36922	FKHR	Human forkhead domain protein	3.3	<0.0001	Transcription factor
M32334	ICAM2	Intercellular adhesion molecule 2	3.2	<0.0001	Extracellular matrix
M80647	TBXAS1	Thromboxane A synthase 1	3.1	<0.0001	Hemostasis
X54870	KLRC4	Killer cell lectin-like receptor, subfamily C, member 4	3.1	<0.0001	Other
L00058	MYC	v-Myc avian myelocytomatosis viral oncogene homolog	3	<0.0001	Oncogene
M87434	OAS2	2 ,5-Oligoadenylate synthetase 2	2.8	<0.0001	Interferon-inducible protein
M68891	GATA2	GATA-binding protein 2	2.6	<0.0001	Transcription factor
U22970	G1P3	Interferon-a-inducible protein (IFI-6–16)	2.5	<0.0001	Interferon-inducible protein
D49824	HLA-B	Major histocompatibility complex, class I, B	2.5	<0.0001	Immune response
D64142	H1FX	H1 histone family, member X	2.5	<0.0001	Other
X15414	AKR1B1	Aldo-keto reductase family 1, member B1	2.4	<0.0001	Cell metabolism
U37518	TNFSF10	Tumor necrosis factor superfamily, member 10	2.4	<0.0001	Apoptosis
L36463	RIN1	ras inhibitor	2.4	<0.0001	Cell signaling
M13755	IFI15	Interferon-induced protein, 15 kDa	2.4	<0.0001	Interferon-inducible protein
M77140	GAL	Galanin	2.3	<0.0001	Other
