Probe set	Gene symbol	Univariate Cox score in training set	Weight in signature	SD in trainingset (forrescaling)
203373_at	SOCS2	4.84592381	0.02359283	1.40950685
203372_s_at	SOCS2	4.83845623	0.0227198	1.3907722
201540_at	FHL1	4.58191428	0.0175708	1.16719072
218086_at	NPDC1	4.57843321	0.01197196	0.82289713
209386_at	TM4SF1	4.50158167	0.01101056	0.85409928
211597_s_at	HOPX	4.02647011	0.01357602	1.47027975
215034_s_at	TM4SF1	3.84910469	0.00892898	0.69753314
223075_s_at	C9orf58	3.84514984	0.01198287	0.80809434
225285_at	BCAT1	3.78446075	0.01828546	1.15173994
226517_at	BCAT1	3.75953046	0.01908192	1.21997425
224710_at	RAB34	3.75031291	0.01035284	1.01020267
218966_at	MYO5C	3.72083819	0.01167967	0.70066501
206478_at	KIAA0125	3.69859457	0.0199568	1.21349807
235391_at	FAM92A1	3.68612167	0.01176336	0.87163625
228011_at	FAM92A1	3.67224018	0.01024465	0.72583265
210299_s_at	FHL1	3.63005461	0.01183224	0.87042819
225112_at	ABI2	3.6122895	0.0114383	0.73987259
237311_at	DOCK1	3.55042526	0.00759168	0.5056136
229530_at	GUCY1A3	3.53988481	0.01932067	1.17728633
221942_s_at	GUCY1A3	3.52031152	0.01750112	1.02376521
227923_at	SHANK3	3.49641709	0.00820066	0.64574191
212070_at	GPR56	3.4930691	0.01930395	1.1249406
203139_at	DAPK1	3.46845257	0.01688385	1.00726261
226545_at	CD109	3.45395447	0.01278721	1.03127054
204030_s_at	SCHIP1	3.43310482	0.01882875	1.3016296
241133_at	NA	3.40596891	0.01693699	1.23285769
239237_at	NA	3.40063768	0.00953417	0.61606859
222803_at	PRTFDC1	3.39682078	0.00693304	0.60816181
232752_at	NA	3.38607326	0.00678772	0.46188671
209387_s_at	TM4SF1	3.37454069	0.00832695	0.67044261
229437_at	MIRN155	3.35888368	0.01509193	1.07669423
226771_at	ATP8B2	3.3550255	0.01241904	0.73834007
210365_at	RUNX1	3.34388409	0.01219463	0.9517683
210298_x_at	FHL1	3.32365711	0.00907193	0.69958649
223503_at	TMEM163	3.3190373	0.00613909	0.46207756
228372_at	C10orf128	3.31091875	0.01318348	0.94037623
213428_s_at	COL6A1	3.27949829	0.00578452	0.67702805
214505_s_at	FHL1	3.2545169	0.00745442	0.59037579
223095_at	MARVELD1	3.23500838	0.00732873	0.55380079
238732_at	COL24A1	3.22293821	0.01154422	0.78239458
225613_at	MAST4	3.16238637	0.01200571	0.73757701
212382_at	TCF4	3.16147189	0.01286857	0.88969742
203151_at	MAP1A	3.15858981	0.00876954	0.5127538
201539_s_at	FHL1	3.15253039	0.00804435	0.61794888
218694_at	ARMCX1	3.13832163	0.00982206	0.69330699
220377_at	FAM30A	3.13558303	0.01697698	1.00668427
222146_s_at	TCF4	3.11526882	0.01215581	0.86249733
217975_at	WBP5	3.10537732	0.01374661	1.09606403
218795_at	ACP6	3.09569335	0.00779396	0.56452908
225098_at	ABI2	3.08671557	0.00901705	0.61981681
215111_s_at	TSC22D1	3.08311139	0.01778932	1.22486976
227943_at	NA	3.06845443	0.00785488	0.62394843
212828_at	SYNJ2	3.06152281	0.00887726	0.64456344
227235_at	GUCY1A3	3.05830044	0.01413454	0.89752352
229095_s_at	LIMS3	3.04520366	0.00731148	0.53589812
235911_at	LOC440995	3.04459959	0.00464643	0.5172903
226043_at	GPSM1	3.03480336	0.01220179	0.74617183
204438_at	MRC1	3.02308321	0.01076528	1.30698962
222891_s_at	BCL11A	3.02197446	0.01263352	0.90648198
203753_at	TCF4	3.01548376	0.01277372	0.90253847
238026_at	RPL35A	3.01504504	0.00729268	0.51370209
210612_s_at	SYNJ2	3.01430732	0.00699169	0.51120849
208029_s_at	LAPTM4B	3.01080111	0.02088607	1.37033014
208798_x_at	GOLGA8A	3.003648	0.01327701	1.12135197
243010_at	MSI2	2.99950751	0.01202263	0.78806074
212667_at	SPARC	2.99598223	0.00529563	0.62179352
217963_s_at	NGFRAP1	2.9918281	0.01256672	1.03947956
235142_at	ZBTB8	2.9903446	0.01589256	1.08853555
208767_s_at	LAPTM4B	2.98369073	0.01472584	0.99260981
239669_at	HIST1H2AD	2.98272951	0.01175528	1.06437942
230795_at	NA	2.97904503	0.00767584	0.62735235
240766_at	IL23A	2.97228833	0.00920789	0.76902848
211269_s_at	IL2RA	2.96957463	0.0030615	0.30987452
214039_s_at	LAPTM4B	2.96554633	0.02264406	1.55859575
201397_at	PHGDH	2.96272338	0.00458509	0.49615884
212509_s_at	MXRA7	2.95591817	0.00467921	0.7953781
203187_at	DOCK1	2.94923599	0.00811977	0.51452014
202252_at	RAB13	2.94268718	0.00857123	0.78225567
200832_s_at	SCD	2.91680639	0.00562203	0.67224349
221210_s_at	NPL	-2.91356727	-0.00946972	0.95871985
209760_at	KIAA0922	-2.96093897	-0.00322733	0.48714111
204419_x_at	HBG2	-2.98372441	-0.01301559	1.86059037
208949_s_at	LGALS3	-3.01693672	-0.0155421	1.27401205
218872_at	TESC	-3.06023742	-0.00638651	0.7214613
218136_s_at	SLC25A37	-3.34787823	-0.00978226	1.01093047
221920_s_at	SLC25A37	-3.36112682	-0.01237714	1.23032042
