U133 probe set	Gene description	Symbol	Location	GenBank Reference	Unigene Reference	Chi-square value	BCR-ABL above/ below	Fold change
201876_at	paraoxonase 2	PON2	7q21.3	NM_000305.1	Hs.169857	70.8	Above	18.6
210830_s_at	paraoxonase 2	PON2	7q21.3	AF001602.1	Hs.169857	70.8	Above	23.4
209365_s_at	extracellular matrix protein 1	ECM1	1q21	U65932.1	Hs.81071	70.4	Above	6
209238_at	syntaxin 3A	STX3A	11q12.3	BE966922	Hs.82240	66.5	Above	2.2
212242_at	tubulin, alpha 1 (testis specific)	TUBA1	2q36.2	AL565074	Hs.75318	64.9	Above	3.2
222488_s_at	dynactin 4 (p62)	DCTN4	5q31-q32	BE218028	Hs.180952	63.3	Above	3.6
222762_x_at	LIM domains containing 1	LIMD1	3p21.3	AU144259	Hs.48469	63.3	Above	2.6
201310_s_at	P311 protein.  Similar to gastrin/cholecystokinin type B receptor	P311	5q21.3	NM_004772.1	Hs.142827	61.3	Below	2.2
215617_at	Homo sapiens cDNA FLJ11754 fis, clone HEMBA1005588			AU145711	Hs.301006	61.3	Above	15.8
200951_s_at	cyclin D2	CCND2	12p13	NM_001759.1	Hs.75586	60.9	Above	12.6
204430_s_at	solute carrier family 2 (facilitated glucose/fructose transporter), member 5	SLC2A5	1p36.2	NM_003039.1	Hs.33084	60.9	Above	5.1
200953_s_at	cyclin D2	CCND2	12p13	NM_001759.1	Hs.75586	60.7	Above	3.6
222154_s_at	DKFZP564A2416 protein	DKFZP564A2416	2q33.1	AK002064.1	Hs.5297	60.3	Above	12.3
204429_s_at	solute carrier family 2 (facilitated glucose/fructose transporter), member 5	SLC2A5	1p36.2	BE560461	Hs.33084	57.1	Above	5
219315_s_at	hypothetical protein FLJ20898	FLJ20898	16p13.12	NM_024600.1	Hs.25549	57.1	Above	5.4
241812_at	Homo sapiens cDNA FLJ35598 fis, clone SPLEN2008317			AV648669	Hs.199438	55.9	Above	5.2
201906_s_at	HYA22 protein	HYA22	3p21.3	NM_005808.1	Hs.147189	54	Above	43.1
202947_s_at	glycophorin C (Gerbich blood group)	GYPC	2q14-q21	NM_002101.2	Hs.81994	54	Above	3.1
242579_at	ESTs			AA935461	Hs.161712	54	Above	10.1
212203_x_at	interferon induced transmembrane protein 3 (1-8U)	IFITM3	11	BF338947	Hs.182241	52	Above	2.3
240173_at	ESTs			AI732969	Hs.126245	52	Above	10.2
212298_at	neuropilin 1	NRP1	10p12	BE620457	Hs.69285	51.8	Above	13.7
212592_at	immunoglobulin J polypeptide, linker protein for immunoglobulin alpha and mu polypeptides	IGJ	4q21	AV733266	Hs.76325	51.8	Above	8
222868_s_at	interleukin 18 binding protein	IL18BP	11q13	AI521549	Hs.325978	51.6	Above	7.1
235988_at	ESTs			AA746038	Hs.125343	51.6	Above	15.6
239273_s_at	matrix metalloproteinase 28	MMP28	17q11-q21.1	AI927208	Hs.231958	51.6	Above	89.8
219938_s_at	proline-serine-threonine phosphatase interacting protein 2	PSTPIP2	18q12	NM_024430.1	Hs.69149	51.6	Above	5.2
207196_s_at	Nef-associated factor 1	NAF1	5q32-q33.1	NM_006058.1	Hs.109281	47.2	Above	1.4
227533_at	ESTs			AA732944	Hs.5415	47.1	Below	2.7
217110_s_at	mucin 4	MUC4	3q29	AJ242547.1	Hs.198267	45	Above	47.2
220684_at	T-box 21	TBX21	17q21.2	NM_013351.1	Hs.272409	45	Above	3.3
227182_at	hypothetical protein MGC26847	MGC26847	9q22.2	AW966474	Hs.88417	45	Above	7.2
223075_s_at	hypothetical protein FLJ12783	FLJ12783	9q34.13-q34.3	AL136566.1	Hs.4944	45	Above	3.9
202748_at	guanylate binding protein 2, interferon-inducible	GBP2	1p22.1	NM_004120.2	Hs.171862	44.5	Above	3.9
