AFFY ID	OMIM ID	REFSEQ_MRNA	description	GENE SYMBOL	CHROMOSOME	ENTREZ_GENE_ID	UNIGENE	CYTOBAND
204705_x_at,211357_s_at,217238_s_at	229600	NM_000035	.aldolase b, fructose-bisphosphate	ALDOB	9	229	Hs.530274	.9q21.3-q22.2,
207529_at	600472	NM_021010	.defensin, alpha 5, paneth cell-specific	DEFA5	8	1670	Hs.72887	.8pter-p21
220191_at	606402	NM_019617	.gastrokine 1	GKN1,	2	56287	Hs.69319	.2p14
213953_at	608218	NM_019010	.keratin 20	KRT20	17	54474	Hs.84905	.17q21.2,
238222_at		NM_182536	.down-regulated in gastric cancer gddr	GDDR	2	200504	Hs.16757	.2p14,
205108_s_at	107730, 144010	NM_000384	.apolipoprotein b (including ag(x) antigen)	APOB,	2	338	Hs.120759	.2p24-p23
207200_at	300461, 311250	NM_000531,	.ornithine carbamoyltransferase	OTC,	X	5009	Hs.117050	.Xp21.1,
214303_x_at,214385_s_at, 217187_at	158373, 600770	XM_039877, XM_495860	.mucin 5, subtypes a and c,tracheobronchial/gastric	MUC5AC, MUC5B	11	.4586, 4587,	.Hs.523395, Hs.534332, Hs.558950	.11p15, 11p15.5,
206561_s_at	604707	NM_020299	.aldo-keto reductase family 1, member b11 (aldose reductase-like)	AKR1B10	7	57016	Hs.116724	.7q33
207251_at	600389	NM_005925	.meprin a, beta	MEP1B	18	4225	Hs.194777	.18q12.2-q12.3,
203240_at		NM_003890	.fc fragment of igg binding protein	FCGBP	19	8857	Hs.111732	.19q13.1
205342_s_at, 205343_at, 211470_s_at	602358	NM_001056, NM_176825,	.sulfotransferase family, cytosolic, 1c, member 1	SULT1C1	2	6819	Hs.436123	.2q11.1-q11.2,
213456_at	609675	NM_015464	.sclerostin domain containing 1	SOSTDC1	7	25928	Hs.25956	.7p21.1,
210143_at	608008	NM_007193	.annexin a10	ANXA10	4	11199	Hs.188401	.4q33,
208126_s_at, 215103_at	601131	NM_000772	.cytochrome p450, family 2, subfamily c, polypeptide 18	CYP2C18	10	1562	Hs.511872	.10q24,
234092_s_at	606563	NM_001001524, NM_203510	.transmembrane 6 superfamily member 2	TM6SF2,	19	53345	Hs.531624	.19p13.3-p12
205969_at	600338	NM_001086	.arylacetamide deacetylase (esterase)	AADAC	3	13	Hs.506908	.3q21.3-q25.2,
205403_at, 211372_s_at	147811	NM_004633, NM_173343,	.interleukin 1 receptor, type ii	IL1R2,	2	7850	Hs.25333	.2q12-q22,
215100_at, 229070_at		NM_032744	.chromosome 6 open reading frame 105	C6orf105	6	84830	Hs.126409	.6p24.1
205927_s_at	116890	NM_001910, NM_148964,	.cathepsin e	CTSE	1	1510	Hs.1355	.1q31,
203914_x_at,211548_s_at,211549_s_at	601688	NM_000860	.hydroxyprostaglandin dehydrogenase 15-(nad)	HPGD	4	3248	Hs.77348	.4q34-q35
231021_at, 238177_at	234500, 608893	NM_001003841	.solute carrier family 6 (neutral amino acid transporter), member 19	SLC6A19,	5	340024	Hs.585128	.5p15.33,
207158_at	600130	NM_001644, NM_005889	.apolipoprotein b mrna editing enzyme, catalytic polypeptide 1	APOBEC1	12	339	Hs.560	.12p13.1,
211916_s_at	601478, 607841	NM_005379	.myosin, heavy polypeptide-like (110kd)	MYO1A	12	4640	Hs.5394	.12q13-q15
235591_at	182451	NM_001049,	.somatostatin receptor 1	SSTR1	14	6751	Hs.248160	.14q13,
209667_at, 213509_x_at, 209668_x_at	605278	NM_003869, NM_198061,	.carboxylesterase 2 (intestine, liver)	CES2	16	8824	Hs.282975	.16q22.1,
203924_at	138359	NM_145740	.glutathione s-transferase a1	GSTA1	6	2938	Hs.446309	.6p12.1,
239370_at		XM_497719,	.similar to 60s ribosomal protein l27a	LOC391124,	1	391124	Hs.445045	.1q23.2,
223942_x_at	604817	NM_012126, NM_024533	.carbohydrate (n-acetylglucosamine 6-o) sulfotransferase 5	CHST5	16	23563	Hs.156784	.16q22.3,
205623_at	100660	NM_000691	.aldehyde dehydrogenase 3 family, membera1	ALDH3A1	17	218	Hs.531682	.17p11.2,
223385_at		NM_030622	.cytochrome p450, family 2, subfamily s, polypeptide 1	CYP2S1	19	29785	Hs.98370	.19q13.1,
205999_x_at	124010	NM_017460	.cytochrome p450, subfamily iiia (niphedipine oxidase), polypeptide 3	CYP3A4,	7	1576	Hs.567254	.7q21.1, 7q22.1-7q31.33,
208063_s_at, 210641_at	606401	NM_006615, NM_016452	.calpain 9	CAPN9	1	10753	Hs.498021	.1q42.11-q42.3
228232_s_at,229369_at	606011	NM_014312	.v-set and immunoglobulin domain containing 2	VSIG2,	11	23584	Hs.112377	.11q24,
219909_at, 222937_s_at, 224207_x_at, 239273_s_at, 239272_at	608417	NM_001032278, NM_024302	.matrix metallopeptidase 28	MMP28	17	79148	Hs.380710	.17q11-q21.1,
203571_s_at		NM_006829	.chromosome 10 open reading frame 116	C10orf116	10	10974	Hs.74120	.10q23.2,
1552365_at		NM_033128	.scinderin	SCIN	7	85477	Hs.326941	.7p21.3,
220087_at	605748	NM_017429	.beta-carotene 15,15-monooxygenase 1	BCMO1	16	53630	Hs.212172	.16q21-q23
220266_s_at, 221841_sat	602253	NM_004235	.kruppel-like factor 4 (gut)	KLF4	9	9314	Hs.376206	.9q31,
230573_at	607589	NM_016276, NM_170693,	.serum/glucocorticoid regulated kinase 2	SGK2	20	10110	Hs.472793	.20q13.2,
227782_at			.zinc finger and btb domain containing 7c	ZBTB7C	18	201501		.18q21.1,
227226_at		NM_138409	.chromosome 6 open reading frame 117	C6orf117	6	112609	Hs.370055	.6q14.3
219398_at		NM_022094	.cell death-inducing dffa-like effector c	CIDEC	3	63924	.Hs.276310, Hs.567562	.3p25.3,
207601_at	608436	NM_014465	.sulfotransferase family, cytosolic, 1b, member 1	SULT1B1	4	27284	Hs.129742	.4q13.3,
206698_at	314850	NM_021083	.x-linked kx blood group (mcleod syndrome)	XK	X	7504	Hs.78919	.Xp21.1
209114_at		NM_005727	.tetraspanin 1	TSPAN1	1	10103	Hs.38972	.1p34.1,
206469_x_at,216381_x_at	608477	NM_012067	.aldo-keto reductase family 7, member a3 (aflatoxin aldehyde reductase	AKR7A3	1	22977	Hs.6980	.1p35.1-p36.23,
212741_at, 204389_at, 204388_s_at	309850	NM_000240	.monoamine oxidase a	MAOA	X	4128	Hs.183109	.Xp11.3,
204777_s_at	188860	NM_002371, NM_022438, NM_022439, NM_022440,	.mal, t-cell differentiation protein	MAL,	2	4118	Hs.80395	.2cen-q13
215129_at	609001	NM_004570	.phosphoinositide-3-kinase, class 2, gamma polypeptide	PIK3C2G	12	5288	Hs.22500	.12p12,
229499_at, 234709_at		NM_144575	.calpain 13	CAPN13	2	92291	Hs.529181
227725_at		NM_018414	.st6 (alpha-n-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-n-acetylgalactosaminide alpha-2,6-sialyltransferase 1	ST6GALNAC1	17	55808	Hs.105352	.17q25.1
227506_at		NM_194298	.solute carrier family 16 (monocarboxylic acid transporters), member 9	SLC16A9	10	220963	Hs.499709	.10q21.1
210123_s_at, 236385_at	118511, 609756	NM_000746, NM_139320, NM_148911	.cholinergic receptor, nicotinic, alpha 7	CHRFAM7A, CHRNA7,	15	.1139, 89832	.Hs.510853, Hs.511772	.15q13.1, 15q14,
210619_s_at	601492, 604038, 607071	NM_003549, NM_007312, NM_033159, NM_153281, NM_153282, NM_153283, NM_153284, NM_153285, NM_153286,	.hyaluronoglucosaminidase 1	HYAL1, HYAL3,	3	.3373, 8372	.Hs.129910, Hs.75619	.3p21.3, 3p21.3-p21.2,
1552797_s_at		NM_144707	.prominin 2	PROM2	2	150696	Hs.469313	.2q11.1,
240422_at	603957	NM_001461,	.flavin containing monooxygenase 5	FMO5	1	2330	Hs.303476	.1q21.1,
230481_at		NM_080658	.aspartoacylase (aminocyclase) 3	ACY3	11	91703	Hs.126265	.11q13.2,
204519_s_at	600340	NM_015993	.plasma membrane proteolipid (plasmolipin)	PLLP	16	51090	Hs.200821	.16q13
226594_at		NM_182476, NM_182480	.coenzyme q6 homolog, monooxygenase (yeast)	COQ6	14	51004	Hs.280822	.14q24.3,
205199_at	603179	NM_001216	.carbonic anhydrase ix	CA9	9	768	Hs.63287	.9p13-p12
206030_at	271900, 608034	NM_000049	.aspartoacylase (canavan disease	ASPA	17	443	Hs.171142	.17pter-p13,
217207_s_at	606192	NM_006707, NM_197975	.butyrophilin-like 3	BTNL3	5	10917	Hs.225949	.5q35.3
214421_x_at,216661_x_at	601130	NM_000771	.cytochrome p450, family 2, subfamily c, polypeptide 9	CYP2C9	10	1559	Hs.282624	.10q24,
229004_at	607509	NM_139055	.adam metallopeptidase with thrombospondin type 1 motif, 15	ADAMTS15	11	170689	Hs.585059	.11q25
209368_at	132811	NM_001979	.epoxide hydrolase 2, cytoplasmic	EPHX2	8	2053	Hs.212088	.8p21-p12
201785_at	180440, 180540	NM_002933, NM_198232, NM_198234, NM_198235,	.ribonuclease, rnase a family, 1 (pancreatic)	RNASE1	14	6035	Hs.78224	.14q11.2
219695_at	605777	NM_018667	.sphingomyelin phosphodiesterase 3, neutral membrane (neutral sphingomyelinase ii)	SMPD3	16	55512	Hs.368421	.16q22.1,
205757_at	603162	NM_001249	.ectonucleoside triphosphate diphosphohydrolase 5	ENTPD5	14	957	Hs.131555	.14q24
1566472_s_at, 218124_at		NM_017750	.all-trans-13,14-dihydroretinol saturase	RetSat	2	54884	Hs.440401	.2p11.2,
204697_s_at	118910	NM_001275	.chromogranin a (parathyroid secretory protein 1)	CHGA	14	1113	Hs.150793	.14q32
205874_at	147521	NM_002220	.inositol 1,4,5-trisphosphate 3-kinase a	ITPKA	15	3706	Hs.2722	.15q14-q21
214433_s_at	604188	NM_003944	.selenium binding protein 1	SELENBP1	1	8991		.1, 1q21-q22,
229241_at	607490	NM_153486, NM_194436	.lactate dehydrogenase d	LDHD	16	197257	Hs.380929	.16q23.1,
213992_at	303631	NM_001847, NM_033641,	.collagen, type iv, alpha 6	COL4A6	X	1288	Hs.145586	.Xq22
227240_at	605991	NM_019850	.neuronal guanine nucleotide exchange factor	NGEF	2	25791	Hs.97316	.2q37
229276_at	609738	NM_020789	.immunoglobulin superfamily, member 9	IGSF9	1	57549	Hs.492155	.1q22-q23,
1554938_a_at,1555321_at	606803	NM_015547, NM_147161	.acyl-coa thioesterase 11	ACOT11	1	26027	Hs.234786	.1p32.3,
208163_s_at, 227946_at	606735	NM_017731, NM_145798	.oxysterol binding protein-like 7	OSBPL7	17	114881	Hs.463320	.17q21
209696_at	229700	NM_000507	.fructose-1,6-bisphosphatase 1	FBP1	9	2203	Hs.494496	.9q22.3
226611_s_at	608139	NM_181716	.proline rich 6	PRR6	17	201161	Hs.433422	.17p11.2,
220753_s_at	609877	NM_015974	.crystallin, lambda 1	CRYL1	13	51084	Hs.370703	.13q12.11,
218546_at		NM_024709	.chromosome 1 open reading frame 115	C1orf115	1	79762	Hs.519839	.1q41
237654_at		NM_172365	.chromosome 14 open reading frame 50	C14orf50	14	145376	Hs.144696	.14q23.3,
209453_at	107310	NM_003047	.solute carrier family 9 (sodium/hydrogen exchanger), member 1 (antiporter, na+/h+, amiloride sensitive)	SLC9A1	1	6548	Hs.469116	.1p36.1-p35,
206539_s_at		NM_023944	.hypothetical protein similar to rat cyp4f1	CYP4F12	19	66002	Hs.131459	.19p13.1
