Gene Description	Accession No.	P Value	Fold-Change	Function
Carcinoembryonic antigen BGPa	X16354	7.10E-09	-7.8	Inflammation
IgM heavy chain constant region	X67301	5.50E-04	-5.4	Inflammation
Monocyte secretory protein	M28225	7.90E-06	-4.4	Inflammation
Dermatopontin	Z22865	4.90E-05	-4	Inflammation
Adipsin/complement factor D	M84526	1.00E-05	-4	Inflammation
Complement factor H	X07523	9.50E-05	-3.9	Inflammation
Immunoglobulin . (V . [variable] gene)	U17077	1.60E-05	-3.6	Inflammation
Carcinoembryonic antigen	M29540	3.90E-04	-3.5	Inflammation
Chemokine exodus 1	U64197	4.90E-04	3.3	Inflammation
Complement cytolysis inhibitor (CLI)	M25915	7.30E-04	-3.2	Inflammation
Interleukin 1 receptor antagonist	X52015	4.80E-05	-3.2	Inflammation
HLA class III	U89337	6.20E-06	-3.1	Inflammation
Monocyte/neutrophil elastase inhibitor	M93056	8.40E-05	-3	Inflammation
Complement factor H homolog	M65292	2.50E-04	-2.8	Inflammation
Cytokeratin 4	X07695	2.60E-14	-18.3	Matrix
Laminin chain	Z15008	1.60E-04	14.4	Matrix
Protransglutaminase 3 (TGM3)	L10386	4.20E-07	-13.8	Matrix
Osteopontin	AF052124	1.60E-04	11.2	Matrix
Fibronectin (FN precursor)	X02761	7.10E-04	7.5	Matrix
Laminin-related protein (LAMA3)	L34155	8.30E-04	6.6	Matrix
Periplakin	AF001691	2.20E-07	-6.6	Matrix
Tetranectin	X64559	1.60E-08	-6.3	Matrix
Cellular fibronectin	M10905	3.20E-04	6.3	Matrix
Osteoblast-specific factor 2 (OSF-2)	D13666	7.60E-04	5.6	Matrix
Collagen  &#1;2 type I	J03464	4.70E-04	5.4	Matrix
Laminin S B3 chain (LAMB3)	U17760	6.90E-04	5.3	Matrix
Procollagen  &#1;2(V)	Y14690	2.10E-04	5.1	Matrix
Keratinocyte transglutaminase (TGK)	M98447	2.50E-05	-4.8	Matrix
Hu keratin 13	X14640	7.10E-11	-4.6	Matrix
Type VII collagen (COL7A1)	L02870	5.70E-06	4.4	Matrix
Extracellular matrix gene 1 (ECM1)	U68186	1.30E-04	-4.4	Matrix
Stromelysin 3	X57766	4.90E-04	4.1	Matrix
Laminin  &#6;2 chain gene (LAMC2)	U31201	4.70E-04	4.1	Matrix
GLC1A	Z97171	9.90E-05	-3.6	Matrix
Type IV collagenase	J05070	9.40E-04	3.5	Matrix
Envoplakin (EVPL)	U72849	2.40E-05	-3.4	Matrix
Nebulette	Y16241	2.00E-06	-3.4	Matrix
Microfibril-associated glycoprotein (MFAP2)	U19718	4.00E-04	3.3	Matrix
Cytokeratin 17	Z19574	8.50E-08	3.1	Matrix
Fibrinogen-like protein (pT49 protein)	Z36531	2.10E-04	-3.1	Matrix
SPARC/osteonectin	J03040	5.90E-04	3.1	Matrix
Hevin-like protein	X86693	1.30E-04	-3.1	Matrix
EBP50	AF015926	1.40E-04	-2.8	Matrix
Agrin	AF016903	6.10E-04	2.7	Matrix
Claudin-7	AJ011497	3.20E-04	-2.5	Matrix
Osteopontin	J04765			Matrix
Parathyroid hormone-like protein (PTHLH)	M24351	3.00E-05	7.1	Miscellaneous
Urokinase plasminogen activator (PLAU)	X02419	2.80E-04	4.4	Miscellaneous
TTG-2 (oncogene)	X61118	2.20E-04	-2.9	Miscellaneous
Prostate stem cell antigen (PSCA)	AF043498	2.00E-05	-6.2	Miscellaneous
AIM1	U83115	2.80E-05	-3.1	Miscellaneous
Actin bundling protein (HSN)	U03057	1.70E-04	3.1	Miscellaneous
Skin collagenase	M13509	3.70E-04	10.5	Miscellaneous
&#7;-Globin (HBB)	L48215	8.90E-04	-4.3	Miscellaneous
Pancreatic tumor mucin	J05582	3.90E-05	-3.4	Miscellaneous
IgG Fc binding protein	D84239	4.50E-04	-2.8	Miscellaneous
Trypsinogen IV b-form (brain specific)	X71345			Miscellaneous
