Gene	Unigene title	Source mRNA	Class	Cluster
SCML1	Sex comb on midleg-like 1 (Drosophila)	NM_006746	Class I	Cluster 5
NUP153	Nucleoporin 153kDa	NM_005124	Class I	Cluster 5
THRAP2	Thyroid hormone receptor associated protein 2	ak023837	Class I	Cluster 5
FLJ35976	Hypothetical protein FLJ35976	NM_173639	Class I	Cluster 5
MTMR2	Myotubularin related protein 2	NM_016156	Class I	Cluster 5
SDFR1	Stromal cell derived factor receptor 1	NM_017455	Class I	Cluster 5
FLJ39739	FLJ39739 protein	ab042555	Class I	Cluster 5
RIOK3	RIO kinase 3 (yeast)	NM_145906	Class I	Cluster 5
PAN3	PABP1-dependent poly A-specific ribonuclease subunit PAN3	NM_175854	Class I	Cluster 5
C10orf18	Chromosome 10 open reading frame 18	ak027014	Class I	Cluster 5
TXNL2	Thioredoxin-like 2	af118649	Class I	Cluster 5
MLR1	Transcription factor MLR1	ak055258	Class I	Cluster 5
MBNL1	Muscleblind-like (Drosophila)	NM_021038	Class I	Cluster 5
EIF4G3	Eukaryotic translation initiation factor 4 gamma, 3	NM_003760	Class I	Cluster 5
AKAP13	A kinase (PRKA) anchor protein 13	NM_144767	Class I	Cluster 5
TCF7L2	Transcription factor 7-like 2 (T-cell specific, HMG-box)	ak027209	Class I	Cluster 5
UBE2D3	Ubiquitin-conjugating enzyme E2D 3 (UBC4/5 homolog, yeast)	NM_181893	Class I	Cluster 5
PPFIA1	Protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 1	NM_003626	Class I	Cluster 5
ARHGEF10	Rho guanine nucleotide exchange factor (GEF) 10	NM_014629	Class I	Cluster 5
KCTD13	Potassium channel tetramerisation domain containing 13	NM_178863	Class I	Cluster 5
EDD	E3 identified by differential display	AL833555	Class I	Cluster 5
ZNF539	Zinc finger protein 539	NM_203282	Class I	Cluster 5
MLLT10	Myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila); translocated to, 10	AK127302	Class I	Cluster 5
BAIAP1	BAI1-associated protein 1	AK127518	Class I	Cluster 5
SENP3	SUMO1/sentrin/SMT3 specific protease 3	AF199459	Class I	Cluster 5
C6orf216	Chromosome 6 open reading frame 216	AL831827	Class I	Cluster 5
WHSC1	Wolf-Hirschhorn syndrome candidate 1	AF071594	Class II	Cluster 1
WHSC1	Wolf-Hirschhorn syndrome candidate 1	NM_133334	Class II	Cluster 1
FBXL7	F-box and leucine-rich repeat protein 7	NM_012304	Class II	Cluster 3
TRPS1	Trichorhinophalangeal syndrome I	NM_014112	Class II	Cluster 3
ZNF638	Zinc finger protein 638	AK128706	Class II	Cluster 3
SEPP1	Selenoprotein P, plasma, 1	BC030009	Class II	Cluster 3
CNOT2	CCR4-NOT transcription complex, subunit 2	AL833404	Class II	Cluster 3
MACF1	Microtubule-actin crosslinking factor 1	NM_033044	Class II	Cluster 4
ATRX	Alpha thalassemia/mental retardation syndrome X-linked (RAD54 homolog, S. cerevisiae)	NM_138271	Class II	Cluster 4
NAP1L4	Nucleosome assembly protein 1-like 4	NM_005969	Class II	Cluster 4
PFDN4	Prefoldin 4	NM_002623	Class II	Cluster 4
SHPRH	SNF2 histone linker PHD RING helicase	NM_173082	Class I	Cluster 5
GHR	Growth hormone receptor	NM_000163	Class I	Cluster 5
MFAP3L	Microfibrillar-associated protein 3-like	bc037411	Class I	Cluster 5
FLJ14624	Hypothetical protein FLJ14624	NM_032813	Class I	Cluster 5
MALT1	Mucosa associated lymphoid tissue lymphoma translocation gene 1	NM_173844	Class I	Cluster 5
FLJ10808	Hypothetical protein FLJ10808	ak094969	Class I	Cluster 5
UMPS	Uridine monophosphate synthetase (orotate phosphoribosyl transferase and orotidine-5-decarboxylase)	NM_000373	Class I	Cluster 5
TMEFF1	Transmembrane protein with EGF-like and two follistatin-like domains 1	NM_003692	Class I	Cluster 5
SLA / LP	Soluble liver antigen/liver pancreas antigen	NM_153825	Class I	Cluster 5
ETNK1	Ethanolamine kinase 1	NM_018638	Class I	Cluster 5
SAV1	Salvador homolog 1 (Drosophila)	NM_021818	Class I	Cluster 5
KIAA1128	KIAA1128	NM_018999	Class I	Cluster 5
OSBPL8	Oxysterol binding protein-like 8	NM_020841	Class I	Cluster 5
SOX11	SRY (sex determining region Y)-box 11	NM_003108	Class I	Cluster 5
PSD3	Pleckstrin and Sec7 domain containing 3	NM_015310	Class I	Cluster 5
C10orf18	Chromosome 10 open reading frame 18	ak027014	Class I	Cluster 5
C14orf100	Chromosome 14 open reading frame 100	NM_016475	Class I	Cluster 5
RARB	Retinoic acid receptor, beta	NM_016152	Class I	Cluster 5
CAP350	Centrosome-associated protein 350	NM_014810	Class I	Cluster 5
DKFZp547A023	Hypothetical protein DKFZp547A023	NM_018704	Class I	Cluster 5
NEBL	Nebulette	NM_006393	Class I	Cluster 5
TLOC1	Translocation protein 1	NM_003262	Class I	Cluster 5
BAG5	BCL2-associated athanogene 5	NM_004873	Class I	Cluster 5
KIAA1333	KIAA1333	NM_017769	Class I	Cluster 5
AKT3	V-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)	NM_005465	Class I	Cluster 5
DNAJC10	DnaJ (Hsp40) homolog, subfamily C, member 10	NM_018981	Class I	Cluster 5
XK	Kell blood group precursor (McLeod phenotype)	NM_021083	Class I	Cluster 5
JARID1A	Jumonji, AT rich interactive domain 1A (RBBP2-like)	AL133026	Class I	Cluster 5
ANKIB1	Ankyrin repeat and IBR domain containing 1	AB037807	Class I	Cluster 5
