Gene name	Gene Symbol	Unigene	Signalb	Rankc
Ferritin, light polypeptide (FTL)	FTL	Hs.433670	27 202	2
Tissue inhibitor of metallopro-teinases 1 (TIMP1)	TIMP1	Hs.446641	16 874	65
Glyceraldehyde-3-phosphate dehydrogenase (GAPD)	GAPD	Hs.169476	23 110	19
Elongation factor EF-1-alpha (EEF1A1)	EEF1A1	Hs.439552	24 938	12
Actin, beta (ACTB)	ACTB	Hs.426930	29 090	3
Interferon induced transmembrane protein 1 (9-27) (IFITM1)	IFITM1	Hs.458414	18 872	49
Insulin-like growth factor binding protein 4	---	Hs.1916	10 154	403
Clusterin	---	Hs.436657	8791	568
Interferon induced transmembrane protein 3 (1-8U) (IFITM3	IFITM3	Hs.374650	18 036	55
Vimentin (VIM)	VIM	Hs.435800	23 383	2
Ferritin, heavy polypeptide 1 (FTH1)	FTH1	Hs.448738	29 152	17
Beta-2-microglobulin (B2M)	B2M	Hs.48516	24 975	10
Thymosin, beta 4 (TMSB4)	TMSB4	Hs.446574	32 542	1
Chitinase 3-like 1 (CH3L1)	CH3L1	Hs.382202	20 512	30
Guanine nucleotide binding protein, beta polypeptide 2-like 1 (GNB2L1)	GNB2L1	Hs.5662	18 918	48
Annexin A2 (ANXA2)	ANXA2	Hs.462864	19 681	40
Lectin, galactoside-binding, soluble, 1 (LGALS1)	LGALS1	Hs.407909	24 556	13
Actin, gamma 1 (ACTG1)	ACTG1	Hs.14376	26 588	7
Laminin receptor 1 (LAMR1)	LAMR1	Hs.374553	17 160	61
Ubiquitin C (UBC)	UBC	Hs.183704	19 628	41
Prostaglandin D2 synthase 21kDa	---	Hs.446429	1157	7577
Transgelin	---	Hs.433401	8701	8974
Ornithine decarboxylase antizyme 1	---	Hs.446427	15 144	125
Nonmuscle/smooth muscle alkali myosin light chain (MYL6)	MYL6	Hs.77385	16 810	68
Enolase 1 (ENO1)	ENO1	Hs.433455	19 987	35
