PROBESET	GENE SYMBOL	BIOLOGICAL DESCRIPTION
204169_at	IMPDH1	purine nucleotide biosynthesis /// GMP biosynthesis /// GTP biosynthesis /// visual perception
200848_at	AHCYL1	one-carbon compound metabolism
203974_at	HDHD1A	metabolism
212288_at	FNBP1	protein biosynthesis
204646_at	DPYD	electron transport /// de novo pyrimidine base biosynthesis /// uracil catabolism /// thymidine catabolism
204961_s_at	NCF1	electron transport /// superoxide metabolism /// cellular defense response /// intracellular signaling cascade
209460_at	ABAT	synaptic transmission /// gamma-aminobutyric acid metabolism /// neurotransmitter catabolism
214735_at	PIP3-E	response to oxidative stress /// oxygen transport
209600_s_at	ACOX1	electron transport /// lipid metabolism /// fatty acid beta-oxidation /// prostaglandin metabolism
201455_s_at	NPEPPS	proteolysis and peptidolysis
208264_s_at	EIF3S1	protein biosynthesis /// regulation of translational initiation
211810_s_at	GALC	carbohydrate metabolism /// galactosylceramide catabolism
201064_s_at	PABPC4	RNA processing /// RNA catabolism /// protein biosynthesis /// blood coagulation /// response to pest, pathogen or parasite
210283_x_at	PAIP1	protein biosynthesis /// regulation of translation
209345_s_at	PI4KII	phosphatidylinositol biosynthesis
201068_s_at	PSMC2	proteolysis and peptidolysis /// protein catabolism
219248_at	THUMPD2	DNA methylation
