Fisher  ratio	GB no.	Description	Symbol	Locus	Function
1.496	U83857	Apoptosis inhibitor 5	API5	11p12-q12	Inhibition of apoptosis
1.357	U87459	Cancer/testis antigen 1	CTAG1	Xq28	Tumor antigen
1.342	AI816034	Nuclear protein family A, member 2	NOLA2	5q35.3	rRNA processing and midification
1.282	AL050051		DKFZP566D193	3q21.1	Unknown
1.248	L42572	Inner membrane protein, mitochondrial (mitofilin)	IMMT	2p11.2	It interacts with cytoskeletal components
1.159	X70649	DEAD/H box polypeptide	DDX1	2p24	RNA helicase/oncogenesis
1.141	AB019408	Nuclear distribution gene C homologue	NUDC	1p35-p34	Cell proliferation
1.141	AL049948	Uncharacterized hypothalamus protein HT010	HT010	2q32.2	Unclear
1.139	AF054183	RAN, member RAS oncogene family	RAN	6p21	Mitosis/cell cycle control
1.132	D90086	Pyruvate dehydrogenase (lipoamide) Beta	PDHB	3p21.1-p14	Glucose metabolism
1.118	X79204	Spinocerebellar ataxia 1	SCA1	6p23	Neuronal transmission
1.102	AF019083	Phosphate and tensin homologue, pseudogene 1	PTENP1	9p21	Unclear
