Accession Number	Gene Name	Gene Symbol	Locus Link	Reporter Id	Golub score	Sign#
BX094383	myosin, heavy polypeptide 11, smooth muscle	MYH11	4629	824889	4.589111	-
AA664195	major histocompatibility complex, class II, DR beta 3	HLA-DRB3	3125	855547	4.365138	-
‘BX096997	Hs cDNA FLJ13937 fis, clone Y79AA1000805.		0	40038	4.197723	-
AA465462	neutrophil cytosolic factor 4, 40kDa	NCF4	4689	814123	4.117656	-
BX093830	Hs cDNA FLJ37485 fis, clone BRAWH2014379.		0	786612	4.023167	+
H50622	major histocompatibility complex, class II, DR beta 3	HLA-DRB3	3125	186767	3.795509	-
AI985920	immunoglobulin heavy constant mu	IGHM	3507	2562279	3.653476	-
AA465462	neutrophil cytosolic factor 4, 40kDa	NCF4	4689	814123	3.59236	-
AI811492	anti-Mullerian hormone	AMH	268	2262455	3.399218	-
AA001749	microtubule-associated protein, RP/EB family, member 1	MAPRE1	22919	428223	3.272358	+
AA448277	forkhead box O1A (rhabdomyosarcoma)	FOXO1A	2308	782835	2.997103	-
W89077	CREB binding protein (Rubinstein-Taybi syndrome)	CREBBP	1387	417694	2.962224	+
T66799	CD3G antigen, gamma polypeptide (TiT3 complex)	CD3G	917	66322	2.844527	+
AA682402	major histocompatibility complex, class II, DR beta 3	HLA-DRB3	3125	461769	2.801258	-
AI611956	immunoglobulin lambda-like polypeptide 1	IGLL1	3543	2245295	2.799232	-
H59915	CD24 antigen (small cell lung carcinoma cluster 4 antigen)	CD24	934	204335	2.670467	-
H18531	Hs, clone IMAGE:5728597, mRNA		375159	50877	2.598472	-
H72875	GATA binding protein 3	GATA3	2625	214068	2.540146	+
T87012	CD79A antigen (immunoglobulin-associated alpha)	CD79A	973	115281	2.5202	-
AW071125	peroxiredoxin 1	PRDX1	5052	2568563	2.458696	-
AA775091	delta sleep inducing peptide, immunoreactor	DSIPI	1831	868575	2.456803	-
AA775803	peroxiredoxin 1	PRDX1	5052	878259	2.43711	-
H73590	Multiple Cluster Hits:153261&448936		0	214441	2.425385	-
BX090473	major histocompatibility complex, class II, DM alpha	HLA-DMA	3108	183337	2.424208	-
R31521	protein-kinase, interferon-inducible double stranded RNA dependent inhibitor, repressor of (P58 repressor)	PRKRIR	5612	135247	2.414324	+
AA505045	hypothetical protein LOC90925	LOC90925	90925	825648	2.341436	-
AA453473	Hs mRNA full length insert cDNA clone EUROIMAGE 25206		0	795181	2.320213	-
BX108804	paired box gene 5 (B-cell lineage specific activator protein)	PAX5	5079	2388080	2.244319	-
AW075510	four and a half LIM domains 1	FHL1	2273	2577002	2.204763	-
H67202	chaperone, ABC1 activity of bc1 complex like (S. pombe)	CABC1	56997	238907	2.201742	-
AA159578	leucine-rich repeats and immunoglobulin-like domains 1	LRIG1	26018	592594	2.200784	-
AA079182	hypothetical protein BC008217	LOC92906	92906	545423	2.199306	+
AI952615	cyclin-dependent kinase inhibitor 1A (p21, Cip1)	CDKN1A	1026	2549557	2.185337	-
AW005179	ribosomal protein S28	RPS28	6234	2565497	2.132997	-
R13941	phosphoinositol 3-phosphate-binding protein-2	PEPP2	54477	27388	2.011434	+
H57180	phospholipase C, gamma 2 (phosphatidylinositol-specific)	PLCG2	5336	204897	1.980047	-
AA485865	interleukin 7 receptor	IL7R	3575	840460	1.968195	-
AA644224	KIAA1416 protein	KIAA1416	55636	845516	1.932549	-
AA903500	TGFB-induced factor 2 (TALE family homeobox)	TGIF2	60436	1518581	1.907759	-
H57180	phospholipase C, gamma 2 (phosphatidylinositol-specific)	PLCG2	5336	204897	1.906924	-
W84592	hypothetical protein MGC10500	MGC10500	83719	356835	1.878602	-
BX110231	chromosome 10 open reading frame 24	C10orf24	219736	788575	1.868253	-
H23421	ribosomal protein L7a	RPL7A	6130	51981	1.856462	-
AA693791	GRB2-related adaptor protein 2	GRAP2	9402	434166	1.85621	+
AI650641	hypothetical protein CLONE24945	CLONE24945	27106	2306668	1.839029	-
W52888	serine (or cysteine) proteinase inhibitor, clade B (ovalbumin), member 1	SERPINB1	1992	338736	1.837734	-
T57221	Hs transcribed sequence with weak  similarity to protein prf:2109260A (H.sapiens) 2109260A B cell growth factor [Hs]		0	73222	1.818016	-
AA490249	arginine-glutamic acid dipeptide (RE) repeats	RERE	473	840062	1.814935	-
AA399320	lysosomal-associated protein transmembrane 4 alpha	LAPTM4A	9741	726684	1.795688	-
AA134749	forkhead box O1A (rhabdomyosarcoma)	FOXO1A	2308	502360	1.779287	-
AA486556	CD81 antigen (target of antiproliferative antibody 1)	CD81	975	840978	1.769292	-
AI968338	HIR histone cell cycle regulation defective homolog A (S. cerevisiae)	HIRA	7290	2515754	1.738774	+
AA455795	ribosomal protein S5	RPS5	6193	809578	1.731878	-
AA459213	polymyositis/scleroderma autoantigen 1, 75kDa	PMSCL1	5393	814270	1.673676	+
AA171463	sorting nexin 2	SNX2	6643	610113	1.665814	-
BX118038	spermatid perinuclear RNA binding protein	STRBP	55342	814915	1.663524	-
AA029838	potassium large conductance calcium-activated channel, subfamily M, beta member 1	KCNMB1	3779	470122	1.662583	-
W73371	Hs transcribed sequences		0	344362	1.658152	-
AA454770	rab interacting lysosomal protein	RILP	83547	809739	1.655829	-
AA683102	RAD21 homolog (S. pombe)	RAD21	5885	970613	1.63633	+
AA018066	Multiple Cluster Hits:524425&18879	C12orf22	81566	362532	1.632657	+
AA436506	nuclear factor I/X (CCAAT-binding transcription factor)	NFIX	4784	753034	1.629974	-
AA465424	histone deacetylase 1	HDAC1	3065	814080	1.619745	+
AA598987	chromosome 1 open reading frame 8	C1orf8	9528	897730	1.617599	-
T65739	interleukin 7 receptor	IL7R	3575	80344	1.611318	-
AA420981	lymphocyte-specific protein tyrosine kinase	LCK	3932	730410	1.587252	+
AA453531	phosphodiesterase 4B, cAMP-specific (phosphodiesterase E4 dunce homolog, Drosophila)	PDE4B	5142	788136	1.582898	-
AA443899	scavenger receptor class B, member 1	SCARB1	949	756687	1.581977	-
AA486728	vinculin	VCL	7414	841203	1.581755	-
BX113571	ras homolog gene family, member H	ARHH	399	302591	1.579986	+
N23996	SWAP-70 protein	SWAP70	23075	268700	1.576068	-
W76319	ribonuclease T2	RNASET2	8635	345032	1.57419	-
W74293	hypothetical protein MGC20262	MGC20262	138311	346545	1.57396	-
R19158	serine/threonine kinase 6	STK6	6790	129865	1.572516	+
AA131908	chromosome 10 open reading frame 3	C10orf3	55165	504308	1.567435	+
AA424996	tyrosinase-related protein 1	TYRP1	7306	768344	1.563139	+
BX100591	mob protein	MOB	259230	810901	1.546624	-
BX101037	Multiple Cluster Hits:153026&502171	SWAP70	23075	263916	1.539108	-
AA007515	hypothetical protein DJ971N18.2		56255	429352	1.537417	-
AA455197	glutathione peroxidase 4 (phospholipid hydroperoxidase)	GPX4	2879	809981	1.522667	-
AA465295	activating transcription factor 5	ATF5	22809	814158	1.517858	-
T87012	CD79A antigen (immunoglobulin-associated alpha)	CD79A	973	115281	1.515693	-
AA455693	COP9 constitutive photomorphogenic homolog subunit 3 (Arabidopsis)	COPS3	8533	813983	1.51542	+
AA420981	lymphocyte-specific protein tyrosine kinase	LCK	3932	730410	1.508244	+
AA405000	ribonuclease T2	RNASET2	8635	712341	1.504536	-
AA634006	actin, alpha 2, smooth muscle, aorta	ACTA2	59	868304	1.502468	-
N62936	Hs transcribed sequences		0	278729	1.501806	+
AA489151	karyopherin alpha 2 (RAG cohort 1, importin alpha 1)	KPNA2	3838	824962	1.498746	+
AA873351	ribosomal protein L35a	RPL35A	6165	1471829	1.495181	-
AA044347	ubiquitin-conjugating enzyme E2E 1 (UBC4/5 homolog, yeast)	UBE2E1	7324	486607	1.495072	-
T63324	Multiple Cluster Hits:289095&387679	HLA-DQA2 / HLA-DQA1	3118, 3117	80109	1.492946	-
BX103023	discs, large homolog 7 (Drosophila)	DLG7	9787	357373	1.485869	+
BX104661	phosphoinositide-3-kinase adaptor protein 1	PIK3AP1	118788	139558	1.473548	-
AA704492	transducin-like enhancer of split 4 (E(sp1) homolog, Drosophila)	TLE4	7091	450745	1.473104	-
T63461	RNA binding motif, single stranded interacting protein 1	RBMS1	5937	80030	1.468861	+
T54544	ASF1 anti-silencing function 1 homolog A (S. cerevisiae)	ASF1A	25842	73702	1.467844	+
T67053	Hs cDNA FLJ26905 fis, clone RCT01427, highly similar to Ig lambda chain C regions		0	66560	1.46638	+
AA405000	ribonuclease T2	RNASET2	8635	712341	1.465702	-
H96090	potassium channel tetramerisation domain containing 9	KCTD9	54793	250797	1.462794	+
AI951501	ribosomal protein L12	RPL12	6136	2548854	1.457152	-
AA280691	diacylglycerol kinase, delta 130kDa	DGKD	8527	705274	1.456084	-
AA775899	FXYD domain containing ion transport regulator 2	FXYD2	486	453641	1.451139	+
