Affy metrix Identifier	Common Name	Genbank Accession	Gene Description#	Centroidscore†
211005_at	LAT	AF036906	linker for activation of T cells	-0.6998
215772_x_at	SUCLG2	AL050226	succinate-CoA ligase, GDP-forming, beta subunit	-0.6042
212459_x_at	SUCLG2	BF593940	succinate-CoA ligase, GDP-forming, beta subunit	-0.5550
205590_at	RASGRP1	NM_005739	RAS guanyl releasing protein 1 (calcium and DAG-regulated)	-0.5363
205831_at	CD2	NM_001767	CD2 antigen (p50), sheep red blood cell receptor	-0.5248
235824_at		BF238392	Homo sapiens transcribed sequences	0.5199
209881_s_at	LAT	AF036905	linker for activation of T cells	-0.4970
225386_s_at	LOC92906	AI559701	hypothetical protein BC008217	-0.4181
221526_x_at	PARD3	AW452651	par-3 partitioning defective 3 homolog (C. elegans)	-0.3911
201518_at	CBX1	NM_006807	chromobox homolog 1 (HP1 beta homolog Drosophila )	-0.3727
224428_s_at	CDCA7	AY029179	cell division cycle associated 7	-0.3614
205449_at	HSU79266	NM_013299	protein predicted by clone 23627	-0.3532
221521_s_at	Pfs2	BC003186	DNA replication complex GINS protein PSF2	-0.3339
203085_s_at	TGFB1	BC000125	transforming growth factor, beta 1 (Camurati-Engelmann disease)	0.3322
215447_at	TFPI	AL080215	Homo sapiens mRNA; cDNA DKFZp586J0323 (from clone)	0.3006
221558_s_at	LEF1	AF288571	lymphoid enhancer-binding factor 1	-0.2902
224553_s_at	TNFRSF18	AF117297	tumor necrosis factor receptor superfamily, member 18	0.2890
214835_s_at	SUCLG2	AF131748	succinate-CoA ligase, GDP-forming, beta subunit	-0.2870
211031_s_at	CYLN2	BC006259	cytoplasmic linker 2	0.2776
1555758_a_at	CDKN3	AF213040	cyclin-dependent kinase inhibitor 3 (CDK2-associated)	-0.2737
209773_s_at	RRM2	BC001886	ribonucleotide reductase M2 polypeptide	-0.2559
212372_at	MYH10	AK026977	myosin, heavy polypeptide 10, non-muscle	-0.2492
201719_s_at	EPB41L2	NM_001431	erythrocyte membrane protein band 4.1-like 2	-0.2465
208749_x_at	FLOT1	AF085357	flotillin 1	-0.2428
202705_at	CCNB2	NM_004701	cyclin B2	-0.2362
238732_at	COL24A1	AI631241	collagen, type XXIV, alpha 1	0.2356
209714_s_at	CDKN3	AF213033	cyclin-dependent kinase inhibitor 3 (CDK2-associated)	-0.2201
1552623_at	HSH2	BC025237	hematopoietic SH2 protein	0.2121
218477_at	TMEM14A	NM_014051	transmembrane protein 14A	-0.2103
206674_at	FLT3	NM_004119	fms-related tyrosine kinase 3	0.2045
207016_s_at	ALDH1A2	AB015228	aldehyde dehydrogenase 1 family, A2	-0.2013
244033_at	C14orf145	AI937080	chromosome 14 open reading frame 145	-0.1972
210115_at	RPL39L	L05096	ribosomal protein L39-like	-0.1940
204026_s_at	ZWINT	NM_007057	ZW10 interactor	-0.1925
201890_at		BE966236	601660172R1 NIH_MGC_71 Homo sapiens cDNA clone IMAGE:3905920	-0.1910
205347_s_at	TMSNB	NM_021992	thymosin, beta, in neuroblastoma cells	-0.1899
210948_s_at	LEF1	AF294627	lymphoid enhancer-binding factor 1	-0.1811
206683_at	ZNF165	NM_003447	zinc finger protein 165	0.1804
202095_s_at	BIRC5	NM_001168	baculoviral IAP repeat-containing 5 (survivin)	-0.1747
201664_at	SMC4L1	AL136877	SMC4 structural maintenance of chromosomes 4-like 1 (yeast)	-0.1722
218802_at	FLJ20647	NM_017918	hypothetical protein FLJ20647	-0.1633
223708_at	C1QTNF4	AF329838	C1q tumor necrosis factor related protein 4	0.1612
223380_s_at	LATS2	AF207547	LATS, large tumor suppressor, homolog 2 (Drosophila)	0.1590
211026_s_at	MGLL	BC006230	monoglyceride lipase	0.1582
221766_s_at	C6orf37	AW246673	chromosome 6 open reading frame 37	0.1566
210427_x_at	ANXA2	BC001388	annexin A2	-0.1556
201540_at	FHL1	NM_001449	four and a half LIM domains 1	-0.1549
201397_at	PHGDH	NM_006623	phosphoglycerate dehydrogenase	-0.1547
210094_s_at	PARD3	AF196186	par-3 partitioning defective 3 homolog (C. elegans)	-0.1467
204612_at	PKIA	NM_006823	protein kinase (cAMP-dependent, catalytic) inhibitor alpha	-0.1464
212022_s_at	MKI67	BF001806	antigen identified by mAb antibody Ki-67	-0.1439
218847_at	IMP-2	NM_006548	IGF-II mRNA-binding protein 2	0.1437
200953_s_at	CCND2	NM_001759	cyclin D2	0.1410
223851_s_at	TNFRSF18	AF241229	tumor necrosis factor receptor superfamily, member 18	0.1341
209464_at	AURKB	AB011446	aurora kinase B	-0.1321
219918_s_at	ASPM	NM_018123	synonyms: MCPH5, FLJ10517, FLJ10549; microcephaly,mRNA.	-0.1272
225102_at	MGLL	BG168471	Homo sapiens cDNA clone IMAGE:4441572, partial cds	0.1262
205758_at	CD8A	AW006735	CD8 antigen, alpha polypeptide (p32)	-0.1235
223307_at	CDCA3	BC002551	cell division cycle associated 3	-0.1233
213503_x_at		BE908217	601500477F1 NIH_MGC_70 Homo sapiens cDNA clone	-0.1217
233177_s_at	MR-1	AB033010	myofibrillogenesis regulator 1	0.1154
219258_at	FLJ20516	NM_017858	timeless-interacting protein	-0.1145
230348_at	LATS2	AI745254	LATS, large tumor suppressor, homolog 2 (Drosophila)	0.1033
225589_at	SH3MD2	AB040927	SH3 multiple domains 2	0.0981
207761_s_at	DKFZP586A0522	NM_014033	DKFZP586A0522 protein	0.0865
213060_s_at	CHI3L2	U58515	chitinase 3-like 2	-0.0846
