Representative  public ID	?Direction  (Rel/Rem)	Gene   symbol	Gene title
AA457021	1	BAG5	BCL2-associated athanogene 5
AA740754	1	BCLAF1	BCL2-associated transcription factor 1
AA745954	1	AXIN1	Axin 1
AA764988	1	PDCD2	Programmed cell death 2
AA812215	1	EBAG9	Estrogen receptor binding site associated, antigen, 9
AB009358	1	MAP3K7	Mitogen-activated protein kinase kinase kinase 7
AB028839	1	UBE4B	Ubiquitination factor E4B
AB037736	1	CASP8AP2	CASP8-associated protein 2
AF090891	1	TAX1BP1	Human T cell leukemia virus type I-binding protein 1
AF149794	1	APAF1	Apoptotic protease-activating factor
AF218074	1	MAP3K7	Mitogen-activated protein kinase kinase kinase 7
AF308601	1	NOTCH2	Notch homolog 2 (Drosophila)
AF333336	1	RTN4	Reticulon 4
AI084226	1	TOSO	Regulator of Fas-induced apoptosis
AI185160	1	PDCD4	Programmed cell death 4
AI817801	1	BIRC1	Baculoviral IAP repeat-containing 1
AI935415	1	TAX1BP1	Tax1-binding protein 1
AK024252	1	PRKAA1	Protein kinase
BE999972	1	SGPL1	Sphingosine-1-phosphate lyase 1
BF224259	1	SMNDC1	Survival motor neuron domain containing 1
BG547855	1	PLAGL1	Pleiomorphic adenoma gene-like 1
D13413	1	HNRPU	Heterogeneous nuclear ribonucleoprotein U
M87507	1	CASP1	Caspase 1, apoptosis-related cysteine protease
NM_000657	1	BCL2	B cell CLL/lymphoma 2
NM_000660	1	TGFB1	Transforming growth factor,   1
NM_000733	1	CD3E	CD3E antigen, epsilon polypeptide
NM_001224	1	CASP2	Caspase 2, apoptosis-related cysteine protease
NM_001228	1	CASP8	Caspase 8, apoptosis-related cysteine protease
NM_001230	1	CASP10	Caspase 10, apoptosis-related cysteine protease
NM_001348	1	DAPK3	Death-associated protein kinase 3
NM_002598	1	PDCD2	Programmed cell death 2
NM_004052	1	BNIP3	BCL2/adenovirus E1B 19kDa interacting protein 3
NM_004216	1	DEDD	Death effector domain containing
NM_004324	1	BAX	BCL2-associated X protein
NM_004708	1	PDCD5	Programmed cell death 5
NM_004760	1	STK17 A	Serine/threonine kinase 17 a (apop-tosis-inducing)
NM_004783	1	TAOK2	TAO kinase 2
NM_005163	1	AKT1	v-akt murine thymoma viral oncogene homolog 1
NM_006265	1	RAD21	RAD21 homolog (S. pombe)
NM_006333	1	C1D	Nuclear DNA-binding protein
NM_006595	1	API5	Apoptosis inhibitor 5
NM_012238	1	SIRT1	Sirtuin
NM_012324	1	MAPK8IP2	Mitogen-activated protein kinase 8 interacting protein 2
NM_013247	1	PRSS25	Protease, serine, 25
NM_014245	1	RNF7	Ring finger protein 7
NM_014456	1	PDCD4	Programmed cell death 4
NM_015367	1	BCL2L13	BCL2-like 13 (apoptosis facilitator)
NM_021975	1	RELA	NF k light polypeptide gene enhancer in B cells 3
U13698	1	CASP1	Caspase 1, apoptosis-related cysteine protease
U20537	1	CASP6	Caspase 6, apoptosis-related cysteine protease
U32974	1	BIRC4	Baculoviral IAP repeat-containing 4
U34349	1	PSEN2	Presenilin 2 (Alzheimer’s disease 4)
U66879	1	BAD	BCL2-antagonist of cell death
U83410	1	CUL2	Cullin 2
W22924	1	ELMO2	Engulfment and cell motility 2
