AffymetrixID	Commonname	Map	No. of patients; n =55	RA;n =18	RARS;n =19	RAEB;n =18	Gene Expression
203153_at	IFIT1	10q25-q26	37	13	15	9	Up-regulate
214022_s_at	IFITM1	11p15.5	37	13	11	13	Up-regulate
219777_at	hIAN2	7q36.1	35	12	10	13	Up-regulate
209560_s_at	DLK1	14q32	33	9	14	10	Up-regulate
228708_at	RAB27B	18q21.2	32	10	11	11	Up-regulate
206772_at	PTHR2	2q33	31	8	12	11	Up-regulate
202382_s_at	GNPDA1	5q21	30	6	14	10	Up-regulate
1554242_a_at	COCH	14q12-q13	30	8	16	6	Up-regulate
221081_s_at	FLJ22457	1p13.2	30	10	14	6	Up-regulate
206698_at	XK	xp21.1	30	10	14	6	Up-regulate
230493_at	TMEM46	13q12,13	45	16	13	16	Down-regulated
241679_at	AKAP12	6q24-q25	44	13	13	18	Down-regulated
231935_at	ARPP-21	3p22.3	44	13	13	18	Down-regulated
221969_at	PAX5	9p13	43	14	12	17	Down-regulated
227846_at	GPR	15q14	43	14	13	16	Down-regulated
210450_at	LOC90925	14q32.33	43	13	12	18	Down-regulated
208078_s_at	TCF8	10p11.2	43	16	14	13	Down-regulated
220068_at	VPREB3	22q11.23	43	13	12	18	Down-regulated
232204_at	EBF	5q34	42	13	12	17	Down-regulated
203434_s_at	MME	3q25.1-q25.2	42	12	12	18	Down-regulated
