U133A probe set	Gene	MLL-rearranged	MLL-wild type	Fold	t statistic	P	q
209905_at	HOXA9	1851.8	551.1	3.4	10.8	<0.0001	<0.0001
214651_s_at	HOXA9	3126.6	975.8	3.2	10.3	<0.0001	<0.0001
213147_at	HOXA10	1726	587.8	2.9	9.7	<0.0001	<0.0001
213150_at	HOXA10	1618.6	448.4	3.6	9.6	<0.0001	<0.0001
218856_at	TNFRSF21	39.7	484.2	-12.2	-9.6	<0.0001	<0.0001
201105_at	LGALS1	21259.3	8722.9	2.4	7.5	<0.0001	<0.0001
206622_at	TRH	50.8	1793.6	-35.3	-7.6	<0.0001	<0.0001
214671_s_at	ABR	320.2	130.4	2.5	7.6	<0.0001	<0.0001
208769_at	EIF4EBP2	313.4	171.7	1.8	7.1	<0.0001	<0.0001
212175_s_at	AK2	3582.5	1852.4	1.9	8.8	<0.0001	<0.0001
209488_s_at	RBPMS	18.7	234.5	-12.6	-6.8	<0.0001	<0.0001
208789_at	PTRF	38.8	300.2	-7.7	-6.7	<0.0001	<0.0001
204494_s_at	DKFZP434H132	1275	798	1.6	6.4	<0.0001	<0.0001
204202_at	IQCE	251	146.2	1.7	6.1	<0.0001	0.0001
204069_at	MEIS1	976.8	399.4	2.4	6.6	<0.0001	0.0001
221581_s_at	WBSCR5	5597.6	2663.1	2.1	6.2	<0.0001	0.0001
201904_s_at	CTDSPL	33.5	181.6	-5.4	-6.1	<0.0001	0.0001
203733_at	DEXI	593.2	206.2	2.9	6.8	<0.0001	0.0002
211549_s_at	HPGD	16.1	132.1	-8.2	-6.1	<0.0001	0.0002
210405_x_at	TNFRSF10B	215.5	112.7	1.9	6.3	<0.0001	0.0002
216015_s_at	CIAS1	384.8	217.5	1.8	5.9	<0.0001	0.0002
218376_s_at	NICAL	2856.8	1164.6	2.5	6.6	<0.0001	0.0002
336_at	TBXA2R	288.5	632.9	-2.2	-6.8	<0.0001	0.0002
201850_at	CAPG	5089.9	1431.2	3.6	6.8	<0.0001	0.0003
204495_s_at	---	899.4	613.9	1.5	5.6	<0.0001	0.0003
216667_at	RNASE2	1587.4	941	1.7	5.7	<0.0001	0.0003
208967_s_at	AK2	2914.3	1547.2	1.9	7	<0.0001	0.0003
219789_at	NPR3	137.3	462.5	-3.4	-7	<0.0001	0.0003
213547_at	TIP120B	165.9	114.2	1.5	5.5	<0.0001	0.0004
206111_at	RNASE2	14917.3	6187.5	2.4	6.1	<0.0001	0.0004
213737_x_at	DKFZp434P162	12580.4	6827.4	1.8	6.1	<0.0001	0.0004
219452_at	DPEP2	923.5	497.3	1.9	5.5	<0.0001	0.0004
206851_at	RNASE3	7043.5	1683.7	4.2	6.8	<0.0001	0.0004
209288_s_at	CDC42EP3	1276.1	482.8	2.6	6.2	<0.0001	0.0005
204082_at	PBX3	2726.6	1021.6	2.7	6.3	<0.0001	0.0005
205707_at	IL17R	2897.5	1628.4	1.8	5.7	<0.0001	0.0005
206940_s_at	POU4F1	144.5	1747.9	-12.1	-5.3	<0.0001	0.0005
203111_s_at	PTK2B	655	432.6	1.5	5.3	<0.0001	0.0005
206470_at	PLXNC1	300.3	121.1	2.5	6.2	<0.0001	0.0006
214196_s_at	CLN2	2393.8	1447.1	1.7	5.7	<0.0001	0.0006
221755_at	EHBP1L1	560.5	352.4	1.6	5.4	<0.0001	0.0006
205857_at	SLC18A2	29.2	217.9	-7.5	-5.7	<0.0001	0.0006
205099_s_at	CCR1	621.9	261.7	2.4	5.8	<0.0001	0.0006
212173_at	AK2	840.1	400.7	2.1	6.3	<0.0001	0.0006
202545_at	PRKCD	1705.5	1092.4	1.6	5.2	<0.0001	0.0007
215087_at	DKFZP434H132	338.3	215.1	1.6	5.6	<0.0001	0.0007
218404_at	SNX10	892	387.9	2.3	5.7	<0.0001	0.0007
201307_at	11-Sep	740.5	1607.2	-2.2	-6.1	<0.0001	0.0008
203914_x_at	HPGD	97.5	472.4	-4.8	-5.7	<0.0001	0.0008
204438_at	MRC1	95.9	567	-5.9	-5.2	<0.0001	0.0008
203909_at	SLC9A6	977.8	704.6	1.4	5.3	<0.0001	0.0008
207540_s_at	SYK	1360.7	849.6	1.6	5.2	<0.0001	0.0009
212174_at	AK2	5021.7	2440.9	2.1	6.5	<0.0001	0.0012
204210_s_at	PCYT1A	81.9	33.5	2.4	5.8	<0.0001	0.0012
210506_at	FUT7	172.2	90.3	1.9	5.5	<0.0001	0.0012
