Probe set	Representative publicID	Gene title
206502_s_at	NM_002196	Insulinoma-associated 1
217281_x_at	AJ239383	IgM rheumatoid factor RF-TT9, variable heavy chain
217098_s_at	Z98745	Zinc finger protein 96
218736_s_at	NM_017734	Palmdelphin
207894_s_at	NM_020552	T-cell leukemia/lymphoma 6
220657_at	NM_018143	Kelch-like 11 (Drosophila)
206142_at	NM_003436	Zinc finger protein 135 (clone pHZ-17)
203702_s_at	AL043927	Tubulin tyrosine ligase-like family, member 4
207940_x_at	NM_001840	Cannabinoid receptor 1 (brain)
207979_s_at	NM_004931	CD8 beta polypeptide 1
218986_s_at	NM_017631	Hypothetical protein FLJ20035
215717_s_at	X62009	Fibrillin 2 (congenital contractural arachnodactyly)
212419_at	AA131324	Chromosome 10 open reading frame 56
219364_at	NM_024119	Likely ortholog of mouse D11lgp2
209760_at	AL136932	KIAA0922 protein
218033_s_at	NM_003498	Stannin
216444_at	AK024138	SMAD-specific E3 ubiquitin protein ligase 2
203276_at	NM_005573	Lamin B1
209502_s_at	BC002495	BAI1-associated protein 2
205888_s_at	AI962693	Jak and microtubule interacting protein 2
203422_at	NM_002691	Polymerase (DNA directed), delta 1, catalytic subunit 125 kDa
211717_at	BC005853	Ankyrin repeat domain 40
203963_at	NM_001218	Carbonic anhydrase XII
218115_at	NM_018154	ASF1 antisilencing function 1 homolog B (Scerevisiae)
219165_at	NM_021630	PDZ and LIM domain 2 (mystique)
209499_x_at	BF448647	Tumor necrosis factor (ligand) superfamily, member 13
202326_at	NM_006709	Euchromatic histone-lysine N-methyltransferase 2
222201_s_at	AB037736	CASP8-associated protein 2
38158_at	D79987	Extra spindle poles-like 1 (Scerevisiae)
218586_at	NM_018270	Chromosome 20 open reading frame 20
204804_at	NM_003141	Tripartite motif-containing 21
204599_s_at	NM_006428	Mitochondrial ribosomal protein L28
