Accession No.	Fold change W vs H	Fold change W1 vs H1	Fold change W1 vs H2	Fold change W2 vs H1	Fold change W2 vs H2	Symbol	Chromosome	Gene description	Gene Function	Regulation
AA867778	2.1	2.4	2.6	1.7	1.8	Actn1	12	Actinin, alpha 1	Cell structure/cell adhesion	Down-regulated
AJ223782	2.0	1.8	1.7	2.5	2.3	Sept7	9	Septin7 (Cdc10)	Cell cycle/cell proliferation/cell death	Down-regulated
X05475	2.1	2.5	1.8	2.6	1.9	C9	15	Complement component C9	Immune response	Down-regulated
L42996	3.0	1.7	3.7	2.7	5.8	Dbt	3	Nuclear-encoded mitochondrial acyltransferase	Metabolism	Down-regulated
AF026075	2.4	1.8	4.3	1.7	4.0	Sult3a1	10	Sulfotransferase-related protein (SULT-X2)	Metabolism	Down-regulated
M27347	3.2	3.4	3.2	3.1	3.0	Ela1	15	P6-5 gene, 3 end (elastase 1)	Protein biosynthesis/degradation	Down-regulated
AI563623	2.3	2.9	1.9	2.9	1.8	Pkn2	3	Protein kinase N2	Signaling	Down-regulated
AF010405	4.9	6.8	3.2	8.5	4.1	Hfh-1L	13	HNF-3/forkhead homolog 1 like	Transcription/replication	Down-regulated
L20450	3.7	3.1	2.7	5.0	4.3	Zfp97	17	Zinc finger protein 97	Transcription/replication	Down-regulated
AW048355	2.1	1.6	1.9	2.3	2.8	Phf17	3	PHD finger protein 17	Transcription/replication	Down-regulated
AI848996	2.1	2.2	2.3	2.0	2.1	Dhx40	11	DEAH box polypeptide 40	Transcription/replication	Down-regulated
AW123909	2.1	1.5	1.9	2.2	2.9	Rbpms	8	RNA binding protein gene with multiple splicing	Transcription/replication	Down-regulated
D86066	3.2	2.3	4.4	2.6	4.8	Rab5ep - pending	11	Rabaptin-5	Transport	Down-regulated
AI835016	2.4	2.1	2.3	2.5	2.7	Hps4	5	Light ear protein (1e)	Others	Down-regulated
AI848841	2.1	2.2	1.6	2.7	2.0	A23010 6A15Rik	13	Unknown	Unknown	Down-regulated
X95280	3.0	2.8	2.7	3.4	3.2	G0s2	1	GOS2-like protein	Cell cycle/cell proliferation/cell death	Up-Regulated
AI132491	2.1	1.9	2.6	1.6	2.2	Bysl	17	Bystin-like	Cell structure/cell adhesion	Up-Regulated
J00475	3.1	9.2	2.8	4.2	1.3	Iga	12	Germline IgH chain gene, DJC region-segment D-FL16.1	Immune response	Up-Regulated
M63245	3.2	2.8	4.0	2.6	3.7	Alas1	9	Amino levulinate synthase (ALAS-H)	Metabolism	Up-Regulated
AW121625	2.5	2.8	2.4	2.6	2.3	Galnt11	5	Polypeptide GalNAc transferase 11	Metabolism	Up-Regulated
Y15003	2.1	1.8	1.9	2.3	2.5	St3gal5	6	Beta-galactoside alpha-2,3-sialyltransferase 5	Metabolism	Up-Regulated
L76567	4.1	1.8	2.3	5.5	7.0	Shp1	4	Shp gene	Signaling	Up-Regulated
AI553024	2.4	2.4	1.5	3.8	2.4	Zbtb16	9	Zinc finger and BTB domain containing 16	Transcription/replication	Up-Regulated
AI042964	7.1	7.1	8.4	5.9	7.1	061000 5C13Rik	7	Hypothetical protein	Unknown	Up-Regulated
AI593759	3.7	3.0	4.0	3.4	4.6	953005 1K01Rik	7	Hypothetical protein	Unknown	Up-Regulated
AI019679	2.3	10.0	1.4	9.4	1.3	110000 1G20Rik	11	Hypothetical protein	Unknown	Up-Regulated
