Probe Set	Gene Symbol	p-Value	Gene Title	GO Biological Process	GO Molecular Function	GO Cellular Component	Pathway	Pathway Hyperlink	L1.24h._Signal	L3.24h_Signal	L4.24h_Signal	L1.C._Signal	L3.C_Signal	L4.C_Signal
1053_at	RFC2	0.019241	replication factor C (activator 1) 2, 40kDa	DNA replication	nucleotide binding	nucleus	DNA_replication	GENMAPP/KEGG	-0.65	-0.66	-0.02	0.31	0.39	0.65
200020_at	TARDBP	0.017158	TAR DNA binding protein	nuclear mRNA splicing, via spliceosome	transcription factor activity	nucleus			-0.81	-0.25	-0.52	0.12	0.59	0.85
200077_s_at	OAZ1	0.030039	ornithine decarboxylase antizyme 1		ODC_AZ;enzyme inhibitor activity;1.9e-153		Nucleotide_Metabolism	GENMAPP/KEGG	-1.23	-0.18	-0.28	0.52	0.46	0.83
200624_s_at	MATR3	0.02176	matrin 3		RNA binding	nucleus			-1.5	0.01	-0.87	1.04	0.75	0.78
200681_at	GLO1	0.049635	glyoxalase I		4.4.1.5;lactoylglutathione lyase activity;6.95e-67		Pyruvate metabolism	GENMAPP/KEGG	-0.69	-0.72	-0.03	0.95	0.08	0.39
200709_at	FKBP1A	0.004455	FK506 binding protein 1A, 12kDa	protein folding	peptidyl-prolyl cis-trans isomerase activity		TGF_Beta_Signaling_Pathway	GENMAPP/KEGG	-1.09	-0.5	-0.98	1.17	0.4	0.97
200718_s_at	SKP1A	0.020787	S-phase kinase-associated protein 1A (p19A)						-1.36	-0.8	-0.45	0.24	1.54	0.73
200740_s_at	SUMO3	0.01942	SMT3 suppressor of mif two 3 homolog 3 (yeast)				Circadian_Exercise	GENMAPP/KEGG	-0.73	-0.17	-0.4	0.25	0.3	0.76
200751_s_at	HNRPC	0.043471	heterogeneous nuclear ribonucleoprotein C (C1/C2)	RNA splicing	RNA binding	heterogeneous nuclear ribonucleoprotein complex			-0.59	-0.62	0.05	0.41	0.11	0.64
200872_at	S100A10	0.028694	S100 calcium binding protein A10 (annexin II ligand, calpactin I, light polypeptide (p11))		S_100;calcium ion binding;7.8e-16				-0.3	-0.71	-0.55	0.77	0.81	-0.06
200881_s_at	DNAJA1	0.041755	DnaJ (Hsp40) homolog, subfamily A, member 1	protein folding	chaperone activity		Circadian_Exercise	GENMAPP/KEGG	-0.14	-0.55	-0.78	0.36	0.09	0.98
200893_at	SFRS10	0.044084	splicing factor, arginine/serine-rich 10 (transformer 2 homolog, Drosophila)	nuclear mRNA splicing, via spliceosome	RNA binding	nucleus			-1.53	-0.7	0.15	0.61	0.66	1.04
200993_at	IPO7	0.038597	importin 7	protein-nucleus import, docking	small GTPase regulatory/interacting protein activity	soluble fraction			-0.74	-1.19	-0.16	0.44	0.25	1.35
201218_at	CTBP2	0.042208	C-terminal binding protein 2	L-serine biosynthesis	oxidoreductase activity	nucleus			-0.68	-0.33	-0.12	0.65	0.5	-0.01
201225_s_at	SRRM1	0.002895	serine/arginine repetitive matrix 1	mRNA processing					-0.71	-0.29	-0.57	0.37	0.71	0.49
201267_s_at	PSMC3	0.048637	proteasome (prosome, macropain) 26S subunit, ATPase, 3	protein catabolism	nucleotide binding	proteasome complex (sensu Eukarya)	Proteasome_Degradation	GENMAPP/KEGG	-1.57	-0.59	-0.82	0	0.59	1.99
201388_at	PSMD3	0.034872	proteasome (prosome, macropain) 26S subunit, non-ATPase, 3			proteasome complex (sensu Eukarya)	Proteasome_Degradation	GENMAPP/KEGG	-1.21	-0.76	-0.1	0.3	0.49	1.27
201472_at	VBP1	0.040573	von Hippel-Lindau binding protein 1	protein folding	chaperone activity	prefoldin complex			-0.79	-0.32	-0.02	0.64	0.27	0.25
201528_at	RPA1	0.01546	replication protein A1, 70kDa	DNA-dependent DNA replication	single-stranded DNA binding	nucleus	DNA_replication	GENMAPP/KEGG	-0.55	-0.4	-0.16	0.22	0.24	0.66
201584_s_at	DDX39	0.013607	DEAD (Asp-Glu-Ala-Asp) box polypeptide 39		nucleic acid binding	nucleus			-0.77	-0.55	-0.11	0.28	0.47	0.69
201589_at	SMC1L1	0.028709	SMC1 structural maintenance of chromosomes 1-like 1 (yeast)	mitotic chromosome segregation	chromatin binding	kinetochore	Cell_cycle	GENMAPP/KEGG	-1.23	-0.12	-0.75	0.28	1.22	0.62
201611_s_at	ICMT	0.0498	isoprenylcysteine carboxyl methyltransferase	protein modification	C-terminal protein carboxyl methyltransferase activity	membrane fraction			-1.59	-0.87	-0.85	-0.05	0.53	2.2
201761_at	MTHFD2	0.018201	methylene tetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase	one-carbon compound metabolism	magnesium ion binding	mitochondrion	One carbon pool by folate	GENMAPP/KEGG	-0.88	-0.39	-1.71	1.35	0.32	1.39
201829_at	NET1	0.030877	neuroepithelial cell transforming gene 1						-0.19	-0.86	-1.01	1.05	0.01	0.97
201865_x_at	NR3C1	0.00474	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	regulation of transcription, DNA-dependent	transcription factor activity	nucleus	Apoptosis	GENMAPP/KEGG	-0.52	-0.28	-0.53	0.35	0.27	0.7
201961_s_at	RNF41	0.047057	ring finger protein 41						-0.77	-0.21	-0.24	0.01	0.43	0.77
201979_s_at	PPP5C	0.038867	protein phosphatase 5, catalytic subunit	transcription	protein serine/threonine phosphatase activity	nucleus			-0.78	-0.79	-0.55	0.14	0.25	1.49
202030_at	BCKDK	0.027023	branched chain alpha-ketoacid dehydrogenase kinase	signal transduction	two-component sensor molecule activity	mitochondrion			-0.19	-0.07	-0.6	0.23	0.26	0.38
202082_s_at	SEC14L1	0.012959	SEC14-like 1 (S. cerevisiae)	transport	transporter activity	intracellular			-0.17	-0.23	-0.38	0.21	0.11	0.46
202110_at	COX7B	0.042967	cytochrome c oxidase subunit VIIb		cytochrome-c oxidase activity	mitochondrion	Oxidative phosphorylation	GENMAPP/KEGG	-0.54	-0.15	-1.67	1.31	0.23	0.99
